SubscriberID,FullName,PhoneNumber,Network,PlanType,RegistrationDate,DataBundle,DataUsed_MB,CallMinutesUsed,SMSCount,MonthlySpend,State,SIM_Status,NIN_Linked
SUB600140,Amara Nnamdi,(995) 527-1774,mtn,Prepaid,27 December 2024,2GB,6253.5,-10,335,"₦15,419.57",Ibadan,Active,1
SUB600210,BOLA EZE,234-527-420-549,mtn,POSTPAID,17-Jun-2024,1GB,-50,-10,372,"₦3,253.11",Ogun,Inactive,yes
SUB600122,OBINNA OKEKE,06576615654,glo,Prepaid,16-Aug-2018,500MB,1335.1,-10,127,"NGN 18,147",Abuja,Active,TRUE
SUB600045,  Adaeze Yusuf,(680) 443-6995,9mobile,Pay As You Go,07/05/2018,1000MB,7967.4,-10,-,5823.11 naira,Kano,Active,true
SUB600126,Aliyu Eze,05851493689,MTN,Postpaid,2021-07-10,-,4287.4,2912,202,"NGN 17,091",Port Harcourt,active,TRUE
SUB600117,  Ngozi Lawal,+234268117758,AIRTEL,PAYG,13 October 2025,  ,-50,1438,77,15593.86 naira,Kano,Inactive,No
SUB600162,Wale Mohammed,(067) 065-4051,AIRTEL,PAYG,15/11/2021,500MB,99999,-10,457,"7,505.24 ",Cross River,Active,TRUE
SUB600213,GRACE YUSUF,(990) 453-0174,Glo,Postpaid,26-Dec-2021,--,99999,2777,293,Unknown,rivers,BLACKLISTED,TRUE
SUB600426,Adaeze Nwosu,(660) 728-3268,AIRTEL,PAYG,22-Aug-2025,2GB,7671.8,-10,87,"NGN 9,017",Ogun,Suspended,false
SUB600184,Ibrahim Suleiman,06471027677,Glo,Postpaid,01/03/2024,null,-50,-10,416,6628.47 naira,Enugu,BLACKLISTED,0
SUB600331,  FATIMA BELLO   ,(427) 010-3930,glo,prepaid,,10GB,1474.0,1073,283,"₦5,301.70",Oyo,Active,true
SUB600147,Kunle Suleiman,25462914865,MTN,Postpaid,2026/02/18,1.5GB,6103.3,-10,237,"12,028.15 ",Ogun,BLACKLISTED,FALSE
SUB600015,Adaeze Chukwu,invalid,glo,Prepaid,02/13/2024,10GB,4660.1,-10,383,"23,282.08 ",Cross River,Inactive,1
SUB600446,adaeze eze,09922809202,MTN,Postpaid,10.02.2026,1000MB,99999,nil,193,11028.11 naira,Rivers,BLACKLISTED,no
SUB600439,Wale Chukwu,09275037314,Airtel,prepaid,24.06.2018,5 gb,-50,-10,89,9120.74,Kaduna,active,false
SUB600216,Aliyu Nwosu,0187 851 9108,glo,Pay As You Go,2021-01-10,2 GB,5938.9,-10,201,"N18,690",Anambra,Active ,false
SUB600181,Femi Suleiman,234-249-818-299,mtn,prepaid,20-Aug-2022,5GB,-50,-10,486,5754.22 naira,Kaduna,BLACKLISTED,FALSE
SUB600179,Tobi Mohammed,89226801824,AIRTEL,POSTPAID,2023-05-30,1GB,99999,-10,411,"N19,158",FCT,active,N
SUB600012,IFEOMA OKEKE,66978480184,AIRTEL,prepaid,07-May-2019,5GB,99999,?,288,"NGN 2,295",Oyo State,Active,N
SUB600403,Kemi Adeyemi,0798 270 8086,Airtel,Pay As You Go,18/01/2023,10GB,99999,-10,328,"₦20,548.10",Rivers,active,1
SUB600123,Ifeoma Adeyemi,02711116152,9mobile,prepaid,2025-07-20,unknown,NULL,-10,124,14996.43 naira,Cross River,Inactive,false
SUB600425,Obinna Nnamdi,234-158-144-914,MTN,POSTPAID,28/04/2018,1GB,-50,1730,206,"N7,260",Anambra,active,No
SUB600391,Ibrahim Olawale   ,234-697-972-965,MTN,Pay As You Go,31-Oct-2019,NULL,--,1578,146,"NGN 22,035",Imo,Active ,No
SUB600284,BISI NNAMDI,42232536729,AIRTEL,Postpaid,07/05/2024,5GB,2014.5,-10,441,"NGN 12,514",Fct Abuja,active,true
SUB600009,Fatima Eze   ,04139537672,9mobile,PAYG,26.07.2022,2GB,-50,1837,142,"₦21,924.91",Cross River,BLACKLISTED,No
SUB600358,Segun Bello,01373678508,MTN,POSTPAID,08-Sep-2020,N/A,3027.5,1144,316,21811.40 naira,Edo,Inactive,Yes
SUB600156,Blessing Adeyemi,36153051522,glo,prepaid,2022/08/12,  ,99999,-10,328,"N21,056",Ogun,Active,Yes
SUB600004,Bola Abubakar,35116155940,9mobile,POSTPAID,2021/01/01,2 GB,99999,-10,219,"NGN 10,285",Rivers,Active,Yes
SUB600429,kemi chukwu,0222 394 3129,MTN,prepaid,2023/06/16,1GB,-50,902,15,NIL,Fct Abuja,Active ,No
SUB600303,aliyu okafor,(990) 421-0202,glo,PAYG,10/28/2025,1.5GB,99999,-10,409,"NGN 4,470",Plateau,Active ,No
SUB600095,Amaka Nwosu,0171 870 2621,AIRTEL,POSTPAID,not set,5 gb,NIL,NIL,345,"₦23,522.94",Imo,Active,TRUE
SUB600025,EMEKA ABUBAKAR,234-474-687-234,Airtel,Pay As You Go,2018/05/08,2GB,99999,1274,475,NIL,KANO,Active ,N
SUB600280,Halima Olawale,(078) 361-3407,Airtel,prepaid,2023-07-28,No active bundle,-50,376,nil,13511.06 naira,Kaduna,Active,true
SUB600080,musa lawal,36183242102,AIRTEL,POSTPAID,2020-12-18,5 gb,1538.1,-10,346,"NGN 22,446",Kaduna,Inactive,yes
SUB600392,  Yusuf Eze,(027) 716-7014,Airtel,Postpaid,2023-07-08,No active bundle,-50,-10,146,3046.1,Imo,Suspended,false
SUB600293,Ifeoma Lawal,0426 221 8909,9mobile,Prepaid,21.04.2019,5GB,-50,1163,383,7183.39,Ogun,Active,TRUE
SUB600050,amara suleiman,234-788-957-986,mtn,prepaid,03 September 2018,5 gb,99999,918,284,"N19,184",Cross River,active,TRUE
SUB600306,adaeze nnamdi,0079 252 4191,AIRTEL,Prepaid,2024-04-22,500MB,99999,-10,393,"6,510.24 ",Kaduna,Suspended,TRUE
SUB600093,Kemi Chukwu,86753396360,9mobile,prepaid,2021-06-17,500MB,-50,Unknown,478,"NGN 18,140",kano,BLACKLISTED,N
SUB600114,Chidi Adekunle,(053) 293-1839,MTN,PAYG,13-Oct-2023,500MB,-50,1629,422,"7,079.15 ",Kaduna,BLACKLISTED,FALSE
SUB600051,Musa Suleiman,+234277434873,Glo,PAYG,2024-12-21,n/a,99999,1641,324,2748.06 naira,Enugu,active,0
SUB600382,Chinedu Ajayi,00167618472,mtn,POSTPAID,2022-10-13,2GB,1597.1,-10,,N513,Kaduna,Inactive,yes
SUB600192,Grace Yusuf,0849 912 1655,glo,prepaid,21 July 2021,2 GB,99999,94,338,18724.95,Kano,Active,No
SUB600422,  Sadiq Adeyemi,234-861-207-501,AIRTEL,Postpaid,20 September 2025,2 GB,2077.5,-10,342,"N13,426",Edo,active,yes
SUB600096,Emeka Abubakar,0459 615 8657,MTN,prepaid,02-Sep-2019,No active bundle,-50,1228,439,1276.27 naira,Enugu,BLACKLISTED,0
SUB600098,ngozi bello,24005045562,Airtel,PAYG,01 August 2024,--,-50,-10,314,10219.22,Lagos,active,0
SUB600339,Amara Okafor,234-267-658-617,mtn,PAYG,28 August 2021,No active bundle,4540.6,--,96,8556.61,Oyo,Active ,TRUE
SUB600402,Yusuf Ogundimu,0637 351 6091,AIRTEL,Postpaid,19 October 2018,null,-50,2538,262,"NGN 23,825",Edo,active,TRUE
SUB600308,Aliyu Adeyemi,(086) 353-6541,MTN,PAYG,05.11.2019,5 gb,3146.1,-10,160,NGN 694,Anambra,BLACKLISTED,Y
SUB600158,Tunde  Lawal   ,(328) 986-1434,AIRTEL,prepaid,18 July 2021,10GB,5961.9,-10,418,"N11,634",Ogun,BLACKLISTED,0
SUB600055,Funmilayo Okonkwo,+234668893734,Airtel,Prepaid,06/26/2020,5GB,99999,2684,395,"N11,867",Ogun,active,true
SUB600109,Emeka Yusuf,0098 593 1746,mtn,Postpaid,28-Apr-2019,5GB,-50,2642,250,"5,083.92 ",Ogun,Active,no
SUB600187,Segun Ajayi,(469) 632-5953,Glo,POSTPAID,30 May 2023,nil,99999,2214,201,19509.65 naira,Abuja,active,no
SUB600089,Emeka Abubakar   ,+234861317127,mtn,Postpaid,06.03.2018,1GB,99999,-10,395,"NGN 8,356",Rivers,BLACKLISTED,N
SUB600172,Obinna Ogundimu,07192856543,Glo,Postpaid,2021/07/25,1000MB,99999,-10,236,19481.79 naira,ABUJA,Active,yes
SUB600356,Bisi Afolabi,(653) 074-5054,MTN,POSTPAID,10/14/2018,5GB,99999,-10,446,"N15,858",Akwa Ibom,Active ,Y
SUB600455,Tunde Ajayi,(063) 565-1269,glo,Pay As You Go,04/15/2018,1000MB,NIL,-10,N/A,23986.32,Ogun,Active ,TRUE
SUB600327,Adaeze Suleiman,0856 420 5930,Airtel,Pay As You Go,07 August 2025,1GB,-50,1753,480,1136.32 naira,Ogun,Inactive,No
SUB600094,Femi Olawale,0576 627 0289,9mobile,Postpaid,2023-08-08,5GB,-50,753,429,"N23,657",Cross River,Active,1
SUB600222,Bola Yusuf,(512) 868-2300,9mobile,Pay As You Go,03/04/2024,?,3766.5,2576,352,19810.53,Enugu,BLACKLISTED,no
SUB600409,Blessing Afolabi,0620 034 2442,Glo,PAYG,22-Dec-2019,1.5GB,99999,406,53,NIL,Cross River,BLACKLISTED,TRUE
SUB600046,FEMI CHUKWU,(773) 872-1489,MTN,Prepaid,02/13/2022,5GB,-50,2270,416,"₦8,549.71",Imo,BLACKLISTED,Yes
SUB600090,Ibrahim Adekunle,84677378263,AIRTEL,POSTPAID,21/08/2022,500MB,99999,-10,209,9723.27,Delta,Inactive,N
SUB600167,Wale Nnamdi,0775 841 6169,MTN,prepaid,04/12/2018,500MB,-50,685,107,"19,452.77 ",Enugu,Active,N
SUB600112,Kunle Okeke,(405) 377-3515,Airtel,Postpaid,09.05.2020,1GB,99999,2444,360,14532.02,Imo,Active ,No
SUB600231,Zainab Olawale,0000000000,MTN,prepaid,22.01.2020,5GB,-50,2353,207,"NGN 20,021",Edo,Active,yes
SUB600261,Kunle Adekunle,07416724342,Airtel,prepaid,12/05/2019,No active bundle,-50,1168,429,22665.42,Rivers,Suspended,FALSE
SUB600454,Adaeze Ajayi,98643009818,9mobile,Prepaid,2026-01-21,?,1877.6,-10,191,"N24,351",Rivers State,Inactive,FALSE
SUB600176,Segun Chukwu,N/A,9mobile,Postpaid,21 July 2022,1.5GB,-50,1483,212,18146.26 naira,Delta,active,N
SUB600423,Bisi Lawal,234-248-193-466,mtn,Postpaid,2021/08/11,10GB,-50,2025,343,"₦20,553.53",ABUJA,BLACKLISTED,TRUE
SUB600431,Ibrahim Eze,55231491357,Airtel,Pay As You Go,22 November 2021,5 gb,-50,1180,7,"5,824.47 ",FCT,Active,1
SUB600227,Blessing Nnamdi,234-283-644-089,9mobile,PAYG,2019-01-15,500MB,-50,2114,18,17985.10 naira,Lagos,Active ,FALSE
SUB600224,Adaeze  Olawale,(310) 690-3311,Glo,Prepaid,2022-08-23,500MB,99999,119,426,16975.59,Edo,Inactive,0
SUB600463,Obinna Adekunle,00214656693,Glo,Prepaid,11/06/2022,2GB,694.9,-10,262,"N2,315",Imo,Active,1
SUB600143,Fatima Adekunle,07935978207,AIRTEL,Prepaid,26-Nov-2025,No active bundle,-50,-10,428,"N18,850",Oyo,Inactive,FALSE
SUB600404,Chioma Olawale,78292216995,AIRTEL,POSTPAID,28-Mar-2020,1GB,-50,596,16,"₦19,468.04",Cross River,Suspended,1
SUB600110,Obinna Mohammed,0200 471 1382,9mobile,PAYG,2018/02/09,2 GB,-50,126,140,7572.42,Ogun,Active ,0
SUB600041,Grace Afolabi,0401 965 5698,glo,POSTPAID,10-May-2021,No active bundle,-50,  ,202,"N14,365",Plateau,Active,FALSE
SUB600442,Amara Suleiman,+234184638655,Airtel,PAYG,23.02.2025,5 gb,-50,2384,342,"₦1,314.36",Lagos State,BLACKLISTED,TRUE
SUB600346,Wale Nwosu,234-741-862-565,glo,Postpaid,15/03/2022,10GB,1599.9,2720,22,"NGN 3,138",Anambra,Active ,N
SUB600182,  TOBI ADEYEMI,+234995900109,Glo,Prepaid,2025/10/26,1000MB,99999,-10,nil,"N20,596",Delta,Active,N
SUB600296,Sadiq Abubakar   ,234-999-404-389,AIRTEL,Pay As You Go,2018/03/26,2GB,-50,-10,243,"₦15,208.35",Enugu,Suspended,FALSE
SUB600198,Yusuf Abubakar,06230913075,glo,PAYG,10.04.2023,2 GB,-50,-10,48,24561.84 naira,Edo,Suspended,no
SUB600194,Sadiq Suleiman,57872982595,mtn,Postpaid,29-Mar-2023,No active bundle,99999,-10,246,20215.34 naira,Kaduna,active,yes
SUB600202,Ifeoma Okafor,43757584419,MTN,PAYG,30.01.2020,1000MB,-50,2258,165,"₦8,389.59",Edo,Active,Yes
SUB600124,Bisi  Nwosu,09885165604,9mobile,PAYG,17/02/2024,10GB,-50,2015,72,2779.15,Anambra,active,false
SUB600386,Chioma Ajayi   ,(530) 011-9721,AIRTEL,PAYG,2022-05-18,10GB,2172.0,487,273,"₦1,457.72",Imo,Suspended,Y
SUB600257,Kunle Abubakar,03712406596,mtn,PAYG,14/06/2024,2GB,6301.5,-10,331,2141.64,kano,Inactive,TRUE
SUB600155,Tunde Mohammed,06137506068,9mobile,Pay As You Go,15 November 2019,2 GB,5569.4,1468,450,"₦24,349.39",Imo,active,No
SUB600168,Amaka Afolabi,0845 115 4479,AIRTEL,prepaid,,1GB,5172.5,288,208,15940.32 naira,Lagos,BLACKLISTED,Yes
SUB600362,Funmilayo Bello,85524140602,glo,Pay As You Go,22-Mar-2025,10GB,99999,359,379,5109.83,Rivers,active,FALSE
SUB600399,Fatima Adeyemi,(503) 758-9975,glo,POSTPAID,unknown date,2GB,-,-10,161,18279.36,ABUJA,Active,TRUE
SUB600226,Chioma Suleiman,00284395995,glo,prepaid,2021-10-21,1GB,99999,-10,486,"₦13,364.96",Kaduna,Active,N
SUB600262,Blessing Adekunle,invalid,Glo,Postpaid,03 June 2019,5GB,2957.4,-10,393,"NGN 11,722",Lagos,BLACKLISTED,TRUE
SUB600071,Amara Okonkwo,05182337498,glo,Prepaid,2025-03-05,5GB,6142.3,-10,265,"NGN 21,225",Edo,BLACKLISTED,yes
SUB600027,Blessing Afolabi   ,0208 121 9136,mtn,Pay As You Go,2023-06-04,1GB,99999,1997,132,22067.84,Oyo,BLACKLISTED,N
SUB600313,Halima Nnamdi,N/A,mtn,prepaid,25/11/2025,No active bundle,944.5,n/a,60,"NGN 24,780",Delta,Active,Y
SUB600419,Halima Abubakar,93056164840,MTN,Pay As You Go,19-May-2020,1000MB,-50,807,null,"₦10,820.31",Rivers,BLACKLISTED,1
SUB600001,Tunde  Okafor,01043321819,MTN,Postpaid,04 March 2025,1GB,5932.4,-10,301,21797.86,Rivers,Suspended,yes
SUB600244,Yusuf Lawal,66687002176,MTN,POSTPAID,28/05/2022,?,99999,1826,76,₦521.26,Enugu,Suspended,Y
SUB600357,IBRAHIM BALOGUN,invalid,glo,Prepaid,23.11.2018,Unknown,-50,-10,242,"NGN 15,307",Edo,Suspended,no
SUB600202,Ifeoma Okafor,43757584419,MTN,PAYG,30.01.2020,1000MB,-50,2258,165,"₦8,389.59",Edo,Active,Yes
SUB600076,chioma adeyemi,(869) 993-8677,AIRTEL,Pay As You Go,05/07/2018,1000MB,4562.3,-10,101,"₦10,333.98",LAGOS,active,TRUE
SUB600047,SADIQ  MOHAMMED   ,+234343320037,mtn,prepaid,unknown date,1GB,99999,465,398,15044.82 naira,Kano,Active,false
SUB600309,Chioma Ogundimu,0518 023 8061,AIRTEL,prepaid,08.11.2025,1000MB,99999,345,199,"₦18,631.28",Anambra,Suspended,N
SUB600013,Ibrahim Okonkwo,51462704828,mtn,Prepaid,22 February 2022,1.5GB,99999,-10,54,"NGN 4,308",Kano,Inactive,true
SUB600002,Fatima Olawale,0001 338 9083,MTN,Pay As You Go,2019/09/29,No active bundle,-50,NULL,395,"NGN 2,455",Fct Abuja,Active ,no
SUB600260,Tobi  Suleiman,+234193982807,glo,Pay As You Go,03-Sep-2022,No active bundle,-50,-10,356,13937.48 naira,Ogun,Inactive,yes
SUB600360,Ibrahim Ajayi,03070534578,mtn,Prepaid,26.04.2022,2GB,1560.6,-10,228,12313.13 naira,KANO,Active ,No
SUB600355,ifeoma afolabi,0970 246 2996,glo,PAYG,13/02/2020,No active bundle,-50,-10,476,"₦17,625.72",Rivers,Active,No
SUB600142,Fatima Ogundimu,234-119-986-798,glo,Prepaid,01/01/2019,2GB,-50,555,448,"NGN 21,006",Delta,Active,no
SUB600295,Chinedu Olawale,19656523413,AIRTEL,Pay As You Go,19.05.2025,1GB,99999,227,308,"₦10,272.03",Cross River,active,No
SUB600340,Adaeze Ajayi,0327 104 0541,MTN,prepaid,12/29/2019,500MB,3908.9,643,214,2184.69,Rivers,Suspended,1
SUB600197,Chinedu Mohammed   ,,Airtel,Prepaid,2021-08-06,1000MB,99999,-10,16,nil,Enugu,Active,TRUE
SUB600301,Chinedu Eze,0241 418 3285,9mobile,Prepaid,25 September 2022,10GB,1328.8,1604,52,17970.77,Plateau,BLACKLISTED,FALSE
SUB600459,Zainab Yusuf,89026012796,MTN,Prepaid,2020-09-15,2 GB,-50,-10,358,4994.54,Imo,BLACKLISTED,No
SUB600065,Ngozi Adeyemi,87769453147,9mobile,PAYG,09/23/2021,nil,-50,-10,405,1526.7,Akwa Ibom,BLACKLISTED,0
SUB600364,Ngozi Ajayi,22903494466,MTN,Pay As You Go,10 February 2023,2GB,99999,-10,110,"NGN 17,751",Cross River,Suspended,Y
SUB600418,Chioma Okafor,+234987801573,MTN,Postpaid,2021-12-13,5GB,-50,1304,109,19983.37,Enugu,Suspended,FALSE
SUB600135,Chioma Eze,+234596966416,9mobile,Prepaid,15/02/2024,null,99999,-10,192,2337.56,Kaduna,BLACKLISTED,FALSE
SUB600370,Yusuf Ajayi,02824172482,MTN,Postpaid,2019/04/26,null,5561.7,143,259,"₦24,173.77",Edo,Active,N
SUB600144,Sadiq Nwosu,0518 203 7788,Airtel,PAYG,27.05.2020,1GB,99999,-10,192,"NGN 11,745",Oyo,BLACKLISTED,1
SUB600111,Halima Eze,234-586-926-179,mtn,Prepaid,01-Mar-2024,5 gb,-50,2677,16,"9,040.14 ",Delta,Active,N
SUB600053,tobi okeke   ,+234623166587,glo,prepaid,06/03/2021,1GB,99999,-10,117,"20,917.18 ",Abuja,active,Yes
SUB600079,Halima Ajayi,(740) 344-7134,Airtel,Pay As You Go,2022/08/08,2 GB,99999,-10,175,"17,058.78 ",Edo,Active ,false
SUB600468,ngozi ajayi,01416335658,AIRTEL,Prepaid,2021-09-12,5 gb,99999,-10,117,"NGN 4,454",Enugu,Inactive,TRUE
SUB600413,Ngozi Okafor,0347 212 2816,MTN,PAYG,27-Aug-2024,500MB,99999,-10,430,19610.71,Cross River,Suspended,true
SUB600104,Femi Nnamdi,invalid,AIRTEL,Pay As You Go,30/06/2022,2GB,99999,1454,22,"N16,303",Cross River,Suspended,1
SUB600278,Amara Bello,09034043842,MTN,Pay As You Go,unknown date,500MB,-50,-10,219,"NGN 9,255",Edo,Inactive,N
SUB600433,Musa Yusuf,(205) 336-4525,Airtel,PAYG,2021-05-22,5GB,-50,1249,474,"NGN 13,873",Imo,active,No
SUB600131,  Segun Okeke,0643 815 6149,mtn,prepaid,28/10/2025,?,99999,?,103,"₦8,848.60",Cross River,Suspended,Yes
SUB600464,Wale Nnamdi,00118489554,AIRTEL,PAYG,N/A,No active bundle,99999,2758,77,5084.07 naira,Rivers,BLACKLISTED,false
SUB600189,Yusuf Okeke,33950047974,Glo,Postpaid,21.01.2023,1000MB,99999,-10,90,3794.56,Anambra,Active ,no
SUB600157,Wale Okonkwo,00472779010,glo,POSTPAID,2025-03-20,NULL,-50,-10,40,20130.90 naira,Akwa Ibom,active,0
SUB600300,Chidi Lawal,06848666188,Airtel,Prepaid,2024/10/01,10GB,99999,2656,223,21525.64 naira,Fct Abuja,Inactive,0
SUB600219,Zainab Eze,(087) 406-4039,AIRTEL,POSTPAID,03 November 2019,No active bundle,99999,1558,467,"21,846.98 ",Rivers,Inactive,false
SUB600146,Tobi Olawale,(518) 644-9251,AIRTEL,Pay As You Go,2022-07-14,10GB,99999,-10,432,"N16,612",oyo,Active ,yes
SUB600141,Zainab Nwosu,09058147700,Glo,prepaid,19.09.2021,2 GB,-50,933,380,"NGN 20,733",Enugu,BLACKLISTED,true
SUB600099,Segun Suleiman,03869222196,MTN,prepaid,2020/07/23,5GB,-50,null,227,"₦7,109.28",Port Harcourt,Active,Yes
SUB600008,Emeka Balogun,07648350305,MTN,PAYG,10/12/2020,2GB,99999,290,248,3741.64,Delta,Inactive,0
SUB600322,Kunle Balogun,0013 721 5107,glo,Pay As You Go,11/29/2018,1GB,99999,NIL,10,17173.58,KANO,Active ,yes
SUB600177,  Yusuf Afolabi,+234829114678,Glo,Postpaid,16-Aug-2024,No active bundle,179.6,-10,110,"24,823.01 ",Port Harcourt,BLACKLISTED,Y
SUB600116,Segun Adekunle,0102 053 9502,AIRTEL,prepaid,05.05.2025,10GB,99999,389,39,"N6,042",LAGOS,Active,1
SUB600287,Chinedu Adeyemi,+234374545892,MTN,POSTPAID,2025-10-18,500MB,5131.0,1022,351,23515.75 naira,Akwa Ibom,Active ,Y
SUB600326,Amaka Olawale,(838) 065-7875,9mobile,Prepaid,11 August 2018,,4157.4,-10,n/a,"2,019.05 ",Lagos State,Active,No
SUB600180,IBRAHIM AJAYI   ,0225 358 4143,AIRTEL,Postpaid,2018-12-10,1000MB,-50,-10,274,"NGN 9,458",Edo,active,N
SUB600348,Tunde Ajayi,11586938068,Airtel,prepaid,28.10.2020,500MB,99999,?,229,"NGN 16,194",Ogun,Active ,Yes
SUB600081,Ibrahim Balogun,+234994717464,Airtel,Pay As You Go,22 June 2018,1.5GB,-50,2403,342,"NGN 6,029",Fct Abuja,Active,true
SUB600305,Femi Nwosu,(648) 149-1778,Glo,Postpaid,10.05.2019,5 gb,-50,-10,492,"₦3,217.81",Ogun,BLACKLISTED,No
SUB600240,Tobi Ogundimu,+234099770088,9mobile,POSTPAID,01-Sep-2020,5 gb,5808.0,-10,271,  ,Kaduna,BLACKLISTED,true
SUB600320,yusuf okafor,(678) 831-7121,Glo,Prepaid,28 April 2025,N/A,-50,503,143,5665.83 naira,Cross River,Suspended,true
SUB600032,ibrahim yusuf,+234084124118,9mobile,Prepaid,2020/08/06,5GB,-50,292,157,unknown,Plateau,Suspended,false
SUB600343,Chidi Abubakar,234-884-443-106,MTN,Prepaid,23.02.2026,500MB,-50,849,37,17052.74 naira,Kaduna,Active ,1
SUB600414,Kemi Balogun   ,+234484229405,Glo,prepaid,31/07/2018,2GB,99999,-10,N/A,"N12,420",Kano,active,no
SUB600235,  CHIOMA BELLO,0175 355 6093,Airtel,prepaid,2025/12/25,5GB,99999,64,249,"₦24,386.89",Rivers,active,0
SUB600276,  Yusuf Bello   ,0225 790 5072,Airtel,prepaid,20-Apr-2018,5 gb,-50,2214,16,"₦22,063.08",Delta,Suspended,1
SUB600196,Bola Afolabi,47055169409,AIRTEL,prepaid,2020/12/13,5 gb,99999,280,56,"NGN 15,634",Ogun,active,N
SUB600103,Bisi Suleiman,0406 409 0974,glo,prepaid,24/08/2025,1000MB,99999,1240,78,"₦19,832.38",Ogun,active,FALSE
SUB600097,Grace Okafor,234-913-431-611,mtn,Prepaid,18/08/2018,10GB,5622.8,-10,null,"N22,533",LAGOS,Active,N
SUB600449,Ibrahim Suleiman,04257991366,Airtel,PAYG,02.08.2020,2 GB,,-10,153,"NGN 2,570",Ogun,active,0
SUB600438,Ibrahim Yusuf,0803 928 2722,9mobile,PAYG,22-May-2023,1000MB,99999,-10,null,"N1,335",Edo,BLACKLISTED,0
SUB600035,bisi  adeyemi,+234801128059,AIRTEL,Postpaid,16/12/2022,5 gb,99999,-10,331,12710.2,Anambra,Active ,yes
SUB600241,Tunde Suleiman,234-084-840-862,Glo,prepaid,18/06/2018,1.5GB,-50,2765,301,"N13,239",Rivers,Active ,Yes
SUB600077,Ngozi Ajayi,234-649-909-133,mtn,Pay As You Go,2023/02/15,No active bundle,7145.1,-10,213,20020.49,Plateau,Active ,Yes
SUB600092,fatima okeke,+234997278755,AIRTEL,Prepaid,26.10.2018,2 GB,99999,2882,122,"NGN 19,500",Anambra,Active ,no
SUB600214,Kunle Abubakar,+234841459332,9mobile,Postpaid,02 September 2025,5GB,-50,2946,429,18313.45,Imo,active,1
SUB600163,chinedu bello,03195205852,AIRTEL,prepaid,13 March 2019,1GB,99999,2523,287,13017.6,Plateau,Suspended,false
SUB600006,Bisi Okonkwo,10341316475,mtn,Pay As You Go,2023-08-13,5GB,4061.5,2172,-,"22,028.69 ",oyo,BLACKLISTED,No
SUB600461,Chioma Olawale,(849) 027-7038,Glo,Prepaid,08/15/2021,2GB,6058.4,916,469,"₦15,351.17",Kano,Inactive,No
SUB600204,Kemi Nnamdi,+234733848421,mtn,Prepaid,12/01/2024,5 gb,325.2,2690,485,18855.26 naira,Abuja,BLACKLISTED,no
SUB600374,  SEGUN OKEKE,97252175250,AIRTEL,Pay As You Go,07.12.2023,1000MB,99999,38,73,"₦18,517.85",Plateau,Active ,no
SUB600070,Chinedu Chukwu,+234855744431,mtn,Prepaid,17-Jul-2023,2 GB,-50,2354,162,"N11,524",Kaduna,Inactive,TRUE
SUB600170,Ngozi Yusuf,06582029702,mtn,Pay As You Go,10/02/2025,1GB,99999,2242,383,"NGN 18,285",Imo,Active ,TRUE
SUB600435,Ifeoma Okeke,0283 411 0809,AIRTEL,Prepaid,04.02.2024,5 gb,,1106,49,"N14,353",Akwa Ibom,Active,No
SUB600424,Bisi Yusuf,(665) 061-8091,mtn,Postpaid,07/07/2021,2GB,99999,1258,448,"₦3,199.88",Delta,Inactive,yes
SUB600242,Chinedu Afolabi,18233984546,Glo,prepaid,06/10/2018,?,781.6,888,61,"NGN 15,315",Cross River,Active ,FALSE
SUB600129,Adaeze Balogun,(675) 254-5991,Airtel,PAYG,17 May 2023,1GB,2238.2,-10,248,"NGN 14,358",Oyo State,BLACKLISTED,N
SUB600310,Halima Suleiman,04451870534,glo,Pay As You Go,01/16/2019,1.5GB,-50,452,132,"₦9,184.60",Edo,Active,0
SUB600266,Aliyu Adekunle,+234071461125,Airtel,Postpaid,2018-01-28,5 gb,99999,-10,378,"₦1,157.58",Ibadan,Active,true
SUB600377,Emeka Nnamdi,05830033542,glo,Pay As You Go,11/14/2021,2GB,5472.6,1447,194,"NGN 24,258",Edo,Inactive,TRUE
SUB600366,Tunde Mohammed,08589944171,Glo,POSTPAID,01 June 2022,5GB,99999,593,383,"NGN 16,455",Akwa Ibom,BLACKLISTED,No
SUB600378,Ibrahim Yusuf,16894210447,mtn,Prepaid,28 April 2019,,-50,-10,2,18199.62 naira,Lagos State,Inactive,No
SUB600105,Chinedu Eze,09521456232,mtn,Postpaid,10-Mar-2019,2 GB,99999,2049,12,NIL,Rivers State,active,N
SUB600351,BOLA OKONKWO,+234061632945,mtn,Postpaid,30 May 2019,2 GB,4741.0,1970,184,4610.27 naira,Anambra,BLACKLISTED,false
SUB600448,Tobi Balogun,234-723-692-929,Glo,Pay As You Go,2019/05/17,10GB,99999,--,361,"₦12,412.09",Imo,Inactive,TRUE
SUB600149,Ngozi Ajayi,0573 322 1418,MTN,Prepaid,2018/12/27,500MB,-50,,320,"6,043.51 ",Ibadan,BLACKLISTED,FALSE
SUB600465,Chinedu Afolabi,09376904268,9mobile,PAYG,27-May-2020,No active bundle,99999,2172,430,7656.84 naira,Cross River,Active ,1
SUB600085,WALE YUSUF,(512) 567-4680,9mobile,Pay As You Go,01.03.2025,10GB,2940.4,2440,270,"N2,414",Lagos,BLACKLISTED,N
