ListingID,PropertyTitle,PropertyType,ListingType,Bedrooms,Bathrooms,SizeSqm,Price,PricePeriod,Area,State,AgentName,AgentPhone,ListedDate,Furnished,ServiceCharge
RE-4128,5-Bedroom Bungalow in Magodo   ,BUNGALOW,Lease,5,4,n/a,9453720.0,,Magodo   ,LAGOS,ibrahim ogundimu,invalid,00/00/0000,0,?
RE-4009,4-Bedroom Terrace in Yaba,Duplex,For Rent,4,3,1170.7,"N3,152,590",,Yaba,Lagos,sadiq lawal,+234139537672,2025/06/16,N,"₦453,974.00"
RE-4200,0-Bedroom Bungalow in Magodo,duplex,for sale,0,3,98.9,"2,351,301.00 ",per annum,magodo,Lagos,YUSUF OKEKE   ,85786527858,2026/04/19,No,"NGN 1,097,494"
RE-4141,6-Bedroom BUNGALOW in Ikoyi,Terrace,Shortlet,6,2,455.2,,,  IKOYI,Lagos,Segun Nwosu   ,(905) 814-7700,19.09.2025,N,975220.0
RE-4123,  4-Bedroom Terrace in Maitama,duplex,FOR RENT,NULL,-1,205.9,17763262.0,N/A,Maitama   ,ABUJA,IFEOMA NNAMDI,02711116152,22/10/2025,No,"443,400.00 "
RE-4110,1-Bedroom Flat/Apartment in Ikorodu,Duplex,For Sale,1,4,642.8,"N14,091,915",One-off,IKORODU,lagos,obinna afolabi,+234004711382,14 April 2026,true,null
RE-4168,6-Bedroom Self-Contain in Gwarinpa,Land,FOR RENT,6,1,1003.3,18499878.00 naira,,GWARINPA,abuja,Emeka Nnamdi,0845 115 4479,2025-12-27,0,"NGN 1,116,000"
RE-4157,2-Bedroom Land in Wuse 2,Terrace,For Rent,2,2,61.3,"N14,291,667",N/A,Wuse 2,Abuja,Tunde Mohammed,(047) 277-9010,2026-05-12,Y,"91,701.00 "
RE-4196,4-Bedroom Terrace in Ajah   ,Detached House,FOR RENT,4,2,422.7,"N12,397,842",per annum,Ajah,Lagos,yusuf  ogundimu,(470) 551-6940,19/01/2026,yes,"₦192,693.00"
RE-4100,3-Bedroom  Bungalow in Asokoro   ,duplex,for sale,3,2,104.4,unknown,One-off,Asokoro,FCT,ALIYU OKONKWO,234-792-374-740,2025/03/16,no,"NGN 721,130"
RE-4241,1-Bedroom Terrace in Lugbe,BUNGALOW,FOR RENT,1,4,89.7,"N22,704,307",per year,Lugbe,abuja,ALIYU NWOSU,00848408621,10.12.2025,TRUE,N/A
RE-4077,3-Bedroom Detached House in Jabi,Land,Shortlet,3,n/a,9.5,13280038.0,N/A,Jabi,Abuja,funmilayo yusuf,0964 990 9133,01/01/2025,false,1055663.0
RE-4003,-1-Bedroom Self-Contain in Magodo,Bungalow,For Sale,-1,2,52.0,1547227.00 naira,Per Annum,magodo,Lagos,Chinedu Eze,0637 940 2654,06/01/2026,false,431914.00 naira
RE-4276,4-Bedroom Self-Contain in Ikoyi   ,duplex,FOR RENT,4,1,84.8,"NGN 6,944,773",One-off,Ikoyi,Lagos State,Segun  Suleiman,0225 790 5072,08 October 2025,No,"532,031.00 "
RE-4263,2-Bedroom Bungalow in Gwarinpa,BUNGALOW,for sale,2,2,83.9,"N3,756,691",N/A,GWARINPA,Abuja,Fatima Mohammed,05891135290,08/14/2025,Yes,"N1,062,596"
RE-4109,3-Bedroom BUNGALOW in Maitama,Detached House,For Rent,3,2,284.7,3151534.0,Per Annum,Maitama,Abuja,Femi Adeyemi,(098) 593-1746,26-May-2026,Y,"NGN 1,378,210"
RE-4158,  4-Bedroom Flat/Apartment in Victoria Island,Terrace,For Sale,  ,-1,555.8,null,,  VICTORIA ISLAND   ,Lagos,  Fatima Okonkwo   ,(328) 986-1434,03/21/2025,TRUE,938787.00 naira
RE-4323,2-Bedroom Bungalow in Ajah,Detached House,Lease,2,-1,154.5,"NGN 7,266,629",per year,Ajah,Lagos,OBINNA LAWAL,02966706625,20 September 2025,no,"N257,000"
RE-4065,-1-Bedroom Duplex in Ikeja GRA,Self-Contain,For Rent,-1,2,571.8,"N8,044,750",N/A,ikeja gra,LAGOS,Sadiq Nnamdi   ,08776945314,03.08.2025,true,NULL
RE-4016,-1-Bedroom Detached House in Ikoyi,Detached House,Lease,-1,3,58.9,"₦3,985,313.00",per year,Ikoyi,Lagos,  Obinna Ogundimu,(117) 182-2782,06 July 2025,TRUE,"N1,495,116"
RE-4172,-1-Bedroom Duplex in Victoria Island,duplex,FOR RENT,-1,2,null,"₦5,794,721.00",per year,Victoria Island,Lagos,HALIMA OKEKE,234-192-856-543,,1,"₦1,397,265.00"
RE-4048,2-Bedroom Duplex in Ajah,Terrace,for sale,2,1,?,"NGN 11,505,931",,Ajah,Lagos,Yusuf Adeyemi,234-769-367-632,21/02/2026,yes,  
RE-4167,6-Bedroom Flat/Apartment in Ikeja GRA,BUNGALOW,FOR RENT,6,3,103.6,3258045.00 naira,per year,Ikeja GRA,Lagos,KEMI YUSUF,0775 841 6169,25.02.2025,true,"99,128.00 "
RE-4031,2-Bedroom Terrace in Wuse 2   ,Terrace,For Rent,2,3,NIL,1331673.00 naira,per year,wuse 2,Abuja,  Bola Bello   ,(251) 354-2784,09-Feb-2026,false,469797.00 naira
RE-4264,-1-Bedroom  Duplex in Maitama,Self-Contain,FOR RENT,-1,2,416.5,2527239.00 naira,Per Annum,  Maitama,Abuja,Bisi Olawale,234-656-101-438,13 October 2025,1,1184788.0
RE-4329,  -1-Bedroom Duplex in Magodo,Flat/Apartment,For Sale,-1,2,1186.4,4750873.0,Per Annum,magodo,Lagos,Yusuf Chukwu,0803 965 2239,07/01/2025,Yes,"NGN 1,065,747"
RE-4005,4-Bedroom BUNGALOW in Ikorodu,BUNGALOW,For Rent,4,-1,101.6,15534123.00 naira,per annum,  IKORODU,Lagos,TOBI EZE,(781) 618-4959,14-Mar-2025,Y,N/A
RE-4304,6-Bedroom Terrace in Lekki,Flat/Apartment,For Rent,6,2,87.3,11824442.00 naira,Per Annum,Lekki,lagos,tobi abubakar,234-884-252-410,00/00/0000,No,593915.00 naira
RE-4179,-1-Bedroom duplex in Lekki,Terrace,for sale,-1,3,955.5,24140884.00 naira,Per Annum,LEKKI,Lagos State,bisi okafor,234-922-680-182,12-Feb-2025,no,405904.0
RE-4284,  0-Bedroom Land in Asokoro,BUNGALOW,FOR RENT,0,?,38.1,7197089.00 naira,per year,Asokoro,FCT,Zainab Nnamdi,+234223253672,28/09/2025,No,965115.00 naira
RE-4183,3-Bedroom duplex in Magodo,Self-Contain,For Sale,3,-1,857.8,"₦24,264,732.00",One-off,Magodo,Lag,Aliyu Adeyemi,03969078447,2025-06-10,No,"N655,484"
RE-4235,6-Bedroom BUNGALOW in Victoria Island,Terrace,Lease,6,2,96.5,"₦1,483,982.00",Per Annum,VICTORIA ISLAND,Lagos,BOLA LAWAL,234-753-556-093,10/02/2025,Y,718075.0
RE-4054,1-Bedroom Self-Contain in Ikeja GRA   ,Bungalow,Shortlet,1,4,97.9,22093271.0,per annum,Ikeja GRA,Lagos,segun  yusuf,0036 690 9670,2025-11-07,N,"N650,199"
RE-4078,0-Bedroom Flat/Apartment in Ikorodu,Terrace,Shortlet,0,4,7.6,"NGN 9,056,934",One-off,IKORODU   ,Lagos,Ifeoma  Olawale,01232812067,03/02/2025,1,"₦658,497.00"
RE-4324,4-Bedroom Terrace in Ogudu,Self-Contain,FOR RENT,4,3,42.9,"N18,672,934",One-off,Ogudu,Lag,IBRAHIM SULEIMAN,(244) 720-9993,29 June 2025,false,-
RE-4334,4-Bedroom Flat/Apartment in Victoria Island,Detached House,For Rent,4,-1,28.0,  ,Per Annum,  victoria island,Lagos,Ngozi Nwosu,54522675289,2026/02/06,yes,"₦672,046.00"
RE-4316,0-Bedroom BUNGALOW in Asokoro,Terrace,for sale,0,1,81.0,"7,164,531.00 ",,asokoro   ,Abuja,  Halima Lawal,55743132912,27 September 2025,N,"₦882,676.00"
RE-4019,4-Bedroom Detached House in Ajah,Detached House,FOR RENT,4,3,1097.4,11778196.00 naira,per annum,Ajah,Lagos,chinedu balogun,invalid,03.03.2025,Y,?
RE-4037,3-Bedroom duplex in Garki,Bungalow,for sale,3,--,1094.6,"N19,453,347",Per Annum,GARKI,Abuja,  emeka mohammed,58692322602,2025-06-03,No,838919.0
RE-4127,-1-Bedroom  Bungalow in Ogudu,Detached House,FOR RENT,-1,3,660.9,"₦12,508,710.00",One-off,  Ogudu,Lagos,  Blessing Balogun,+234094024455,2026-02-01,0,NIL
RE-4261,0-Bedroom Land in Lekki   ,Duplex,for sale,0,4,64.4,"₦8,000,265.00",N/A,  Lekki,lagos,Grace Chukwu,,N/A,TRUE,"N600,113"
RE-4278,3-Bedroom Bungalow in Ogudu,Self-Contain,For Sale,3,4,123.7,-,N/A,Ogudu,Lagos,Kunle Ajayi,234-034-043-842,2026/06/22,Y,unknown
RE-4290,6-Bedroom Bungalow in Maitama,Duplex,For Rent,6,3,507.7,"₦10,574,293.00",per annum,Maitama,Abuja,  Femi Nwosu,234-206-436-110,12.12.2025,Y,?
RE-4049,  -1-Bedroom BUNGALOW in Asokoro,Terrace,For Rent,-1,4,55.2,"₦6,566,104.00",,ASOKORO,Fct Abuja,Emeka Ogundimu,invalid,10/07/2025,true,--
RE-4260,6-Bedroom duplex in Ajah   ,Bungalow,For Sale,6,1,53.1,"NGN 10,199,159",One-off,Ajah,Lagos,Ibrahim Balogun,(519) 398-2807,,FALSE,"NGN 1,380,217"
RE-4040,-1-Bedroom Flat/Apartment in Lekki,Bungalow,Lease,-1,3,485.6,"NGN 1,004,250",Per Annum,LEKKI,LAGOS,zainab ogundimu,+234586850142,07-Jun-2025,Y,"₦695,411.00"
RE-4117,-1-Bedroom Flat/Apartment in Ajah,Land,FOR RENT,-1,1,146.9,"₦4,102,236.00",Per Annum,Ajah,lagos,femi chukwu,+234268117758,05/09/2025,0,-
RE-4273,1-Bedroom Terrace in Ogudu,BUNGALOW,Shortlet,1,3,11.5,"N11,989,332",per annum,Ogudu,Lagos,Ifeoma Yusuf,234-792-499-125,2026-01-25,false,235684.0
RE-4164,4-Bedroom Self-Contain in Ikeja GRA,Detached House,Lease,4,4,35.9,16365163.00 naira,One-off,Ikeja GRA,Lag,Sadiq Okonkwo,72217043030,14 March 2026,1,"₦1,103,592.00"
RE-4328,  2-Bedroom Detached House in Ajah,Flat/Apartment,For Rent,2,-1,80.6,"N7,319,342",,Ajah,Lagos,  Tobi Mohammed   ,0078 593 2133,07/11/2025,FALSE,1236030.0
RE-4028,1-Bedroom Detached House in Victoria Island,Duplex,Shortlet,1,-1,57.0,"₦4,915,447.00",per annum,Victoria Island   ,Lagos,  FUNMILAYO AJAYI,0939 909 1699,10 June 2026,yes,"₦927,869.00"
RE-4177,1-Bedroom Land in Maitama,duplex,For Rent,1,?,95.7,"₦6,857,221.00",,Maitama,Fct Abuja,chinedu okonkwo,78291146786,07 February 2025,false,"NGN 240,180"
RE-4006,2-Bedroom BUNGALOW in Garki,Duplex,For Rent,2,4,1165.3,3163532.00 naira,per annum,Garki,abuja,Ibrahim Abubakar,(103) 413-1647,20.06.2025,TRUE,N/A
RE-4270,-1-Bedroom Self-Contain in Gwarinpa,duplex,FOR RENT,-1,2,864.1,null,per annum,gwarinpa,Abuja,aliyu yusuf,60937966033,2025/06/05,N,"453,472.00 "
RE-4219,5-Bedroom Flat/Apartment in Gwarinpa,Terrace,Shortlet,5,4,22.3,2218442.0,N/A,gwarinpa,Abuja,  Emeka Yusuf,08740640391,2025/02/24,N,"₦289,414.00"
RE-4057,3-Bedroom Duplex in Maitama,duplex,for sale,N/A,3,713.8,"₦6,839,973.00",One-off,MAITAMA   ,Abuja,wale balogun,(699) 016-2720,25.06.2026,false,NIL
RE-4101,2-Bedroom BUNGALOW in Gwarinpa,Duplex,Lease,2,-1,1041.8,"NGN 5,049,707",Per Annum,Gwarinpa,Abuja,segun bello,(482) 175-9464,2025-09-27,TRUE,nil
RE-4169,4-Bedroom Detached House in Garki,Terrace,For Sale,4,2,1061.6,"₦3,256,997.00",N/A,Garki   ,Abuja,Tunde Okafor,02757059640,01/22/2025,N,"NGN 1,229,448"
RE-4233,5-Bedroom  BUNGALOW in Jabi,Self-Contain,For Rent,5,-1,NIL,18315115.00 naira,One-off,Jabi,Fct Abuja,  FATIMA ADEKUNLE,invalid,09/05/2025,No,null
RE-4267,2-Bedroom BUNGALOW in Maitama   ,Land,for sale,2,3,1008.6,"N2,943,418",per year,maitama,abuja,Kunle Olawale,+234738757177,13 March 2026,Yes,267608.0
RE-4208,0-Bedroom Flat/Apartment in Surulere,Flat/Apartment,for sale,0,4,n/a,"2,766,647.00 ",Per Annum,SURULERE,Lagos State,yusuf okonkwo,0067 240 0499,04/22/2025,Y,nil
RE-4096,4-Bedroom Detached House in Lekki,Flat/Apartment,Shortlet,4,2,102.3,"₦6,356,937.00",One-off,  Lekki,lagos,Adaeze Mohammed,234-596-158-657,21 July 2025,TRUE,"NGN 1,186,846"
RE-4188,  6-Bedroom Land in Asokoro   ,BUNGALOW,Shortlet,6,4,97.8,"N7,692,445",Per Annum,Asokoro,Fct Abuja,amaka ajayi,0000000000,05/03/2026,0,nil
RE-4277,3-Bedroom BUNGALOW in Ikoyi,duplex,for sale,3,3,NIL,"N6,776,682",per annum,Ikoyi,Lagos State,funmilayo nwosu,06887676772,20-Jun-2026,false,
RE-4030,  6-Bedroom Bungalow in Asokoro,Land,for sale,n/a,-1,NIL,"N3,256,708",Per Annum,ASOKORO,FCT,Chidi  Olawale   ,(107) 991-1838,,yes,"N664,821"
RE-4126,4-Bedroom Terrace in Jabi,Flat/Apartment,For Rent,4,4,null,  ,per year,  Jabi,Abuja,Obinna Olawale,0585 149 3689,18-Jan-2026,FALSE,879305.00 naira
RE-4086,5-Bedroom Land in Lugbe,Terrace,for sale,5,3,56.4,"NGN 21,444,643",N/A,lugbe,Abuja,Musa Balogun   ,0154 516 8087,N/A,Y,546871.0
RE-4182,4-Bedroom Land in Magodo,Terrace,for sale,4,2,472.4,"₦20,523,914.00",Per Annum,   Magodo,Lagos,Chioma Okeke,0299 590 0109,22-Jan-2026,false,"₦1,244,527.00"
RE-4176,-1-Bedroom duplex in Victoria Island   ,Terrace,For Sale,-1,2,92.0,"N7,015,854",,victoria island,Lagos State,  Ngozi Lawal,0313 237 0589,09.02.2026,0,"N341,941"
RE-4059,2-Bedroom Duplex in Maitama,Terrace,Lease,2,4,8.7,"NGN 1,197,982",per year,MAITAMA,FCT,Emeka Lawal   ,234-080-531-003,02-Feb-2026,no,"674,394.00 "
RE-4190,  -1-Bedroom BUNGALOW in Lugbe,BUNGALOW,For Sale,-1,--,41.0,"NGN 2,044,964",per annum,   LUGBE,Abuja,Zainab Afolabi,80162456506,08-Oct-2025,1,"N909,170"
RE-4298,3-Bedroom duplex in Ajah   ,duplex,FOR RENT,3,1,182.3,"₦5,068,533.00",Per Annum,Ajah   ,Lagos,IBRAHIM OKEKE,18055269658,16.05.2025,true,"₦711,569.00"
RE-4256,  3-Bedroom Terrace in Asokoro,BUNGALOW,For Sale,3,1,982.3,8920521.00 naira,Per Annum,Asokoro,ABUJA,Kemi Ajayi,+234647154379,2025/04/28,true,NIL
RE-4141,6-Bedroom BUNGALOW in Ikoyi,Terrace,Shortlet,6,2,455.2,,,  IKOYI,Lagos,Segun Nwosu   ,(905) 814-7700,19.09.2025,N,975220.0
RE-4066,0-Bedroom Terrace in Yaba,Land,FOR RENT,0,3,783.2,"4,830,691.00 ",Per Annum,Yaba,Lag,Chioma Abubakar,(379) 965-0752,06 April 2025,0,1346524.0
RE-4002,2-Bedroom Terrace in Jabi,Land,for sale,2,3,1183.4,"₦2,209,237.00",,JABI,Abuja,grace  suleiman,234-013-389-083,25/01/2026,N,872411.0
RE-4148,0-Bedroom Terrace in Garki,Terrace,Shortlet,0,3,140.9,"N1,051,473",Per Annum,  garki,Abuja,Emeka Yusuf,(281) 685-0542,11/04/2026,1,759359.0
RE-4027,  6-Bedroom Bungalow in Yaba,Duplex,For Sale,6,2,147.8,"NGN 7,833,819",N/A,yaba,Lag,  Chinedu Adekunle   ,20812191361,04/11/2026,Yes,"N1,193,226"
RE-4134,1-Bedroom duplex in Jabi,duplex,Lease,1,3,13.0,"N4,991,702",N/A,JABI,Fct Abuja,tunde ogundimu,+234388516060,06 February 2026,yes,"N618,512"
RE-4082,-1-Bedroom Detached House in Garki   ,BUNGALOW,for sale,-1,3,206.0,"N592,728",Per Annum,GARKI,Fct Abuja,  Ifeoma Olawale,234-771-906-594,2025-04-19,yes,NIL
RE-4294,6-Bedroom duplex in Victoria Island,duplex,FOR RENT,6,-1,103.3,"₦2,294,865.00",per annum,  Victoria Island,Lagos,Yusuf  Nwosu   ,(753) 269-7311,16.05.2025,1,null
RE-4129,-1-Bedroom Self-Contain in Gwarinpa   ,Flat/Apartment,For Sale,-1,-1,1068.0,"₦3,826,313.00",per annum,Gwarinpa,Abuja,AMARA SULEIMAN,234-752-545-991,20-Feb-2025,No,"₦1,272,799.00"
RE-4029,0-Bedroom Terrace in Ogudu,Flat/Apartment,Shortlet,0,1,--,"₦2,213,702.00",,  ogudu   ,Lagos,Tobi Eze,05435346247,17 November 2025,yes,"NGN 887,982"
RE-4108,5-Bedroom Duplex in Jabi,Detached House,Shortlet,5,4,643.5,6025800.0,per annum,Jabi,Fct Abuja,Grace Nwosu,08175496513,2026-06-10,N,NIL
RE-4211,1-Bedroom BUNGALOW in Victoria Island,BUNGALOW,For Rent,1,2,111.1,"₦6,476,156.00",per annum,  Victoria Island,LAGOS,Emeka Adekunle,29668516122,22/06/2025,false,"N374,519"
RE-4021,1-Bedroom Detached House in Victoria Island,Self-Contain,FOR RENT,1,2,596.8,"₦14,701,782.00",N/A,Victoria Island,Lagos,Aliyu Olawale,(311) 656-6701,2026/05/26,0,697494.00 naira
RE-4102,-1-Bedroom  Flat/Apartment in Ogudu,Land,For Rent,NULL,-1,57.7,5662116.00 naira,per annum,  Ogudu,Lagos,Grace Adekunle,234-367-136-959,11.02.2025,No,595677.0
RE-4266,4-Bedroom duplex in Yaba,Detached House,FOR RENT,4,2,70.9,"₦11,398,050.00",Per Annum,Yaba,Lag,ZAINAB NWOSU,234-071-461-125,07/03/2025,FALSE,Unknown
RE-4306,5-Bedroom Duplex in Gwarinpa   ,Duplex,For Sale,5,2,237.6,"NGN 18,781,470",per annum,Gwarinpa,abuja,  Segun Eze,234-792-524-191,12/05/2025,Yes,"₦1,338,790.00"
RE-4053,5-Bedroom Detached House in Surulere,BUNGALOW,for sale,5,4,51.9,3402026.0,per annum,surulere,Lagos,Femi Afolabi   ,36231665876,18-Feb-2025,no,NULL
RE-4203,  2-Bedroom Self-Contain in Lekki,Flat/Apartment,For Sale,2,NULL,104.6,"₦20,759,360.00",One-off,Lekki   ,Lag,Obinna Eze,08665240415,2026/03/15,false,1390602.0
RE-4262,1-Bedroom duplex in Ogudu,Land,for sale,1,4,561.3,"₦10,903,870.00",Per Annum,ogudu,Lagos,Kunle  Okafor   ,234-179-796-886,unknown date,FALSE,"NGN 404,154"
RE-4036,0-Bedroom Self-Contain in Garki   ,Bungalow,for sale,0,2,12.9,"₦24,224,168.00",per annum,GARKI,Abuja,aliyu  adeyemi,234-620-450-533,16.01.2026,false,"₦1,197,502.00"
RE-4283,3-Bedroom Bungalow in Ikeja GRA,Bungalow,Lease,3,1,NIL,"₦12,198,174.00",One-off,Ikeja GRA,LAGOS,Blessing Balogun,+234544948126,2025/11/15,Y,"NGN 600,000"
RE-4205,4-Bedroom Terrace in Wuse 2,Bungalow,FOR RENT,4,n/a,977.6,"₦14,404,170.00",per year,Wuse 2,Fct Abuja,Ibrahim Okonkwo,0933 083 3016,01/26/2026,yes,--
RE-4218,4-Bedroom Duplex in Gwarinpa,Terrace,for sale,--,2,49.8,NIL,One-off,Gwarinpa   ,Abuja,  ibrahim suleiman   ,+234187072867,2025/04/02,true,"N820,939"
RE-4041,2-Bedroom Land in Lugbe   ,Flat/Apartment,For Rent,2,1,1033.5,2677717.00 naira,N/A,LUGBE   ,Abuja,Obinna Nnamdi,04019655698,2026/01/06,TRUE,1323042.0
RE-4268,0-Bedroom Terrace in Ikoyi,Terrace,for sale,0,3,76.0,14396250.0,per annum,Ikoyi,Lagos,Wale Chukwu,+234401051238,11/21/2025,1,"N1,015,559"
RE-4213,6-Bedroom Duplex in Asokoro,Land,For Rent,6,2,95.6,"NGN 9,104,503",,ASOKORO,abuja,chinedu suleiman,09904530174,2025-08-09,yes,"332,884.00 "
RE-4162,5-Bedroom Flat/Apartment in Lekki,BUNGALOW,Lease,5,-1,81.9,"NGN 1,731,082",per annum,Lekki,Lagos,CHINEDU OKEKE,invalid,23-Apr-2025,no,"₦647,298.00"
RE-4249,  5-Bedroom Flat/Apartment in Gwarinpa,duplex,Shortlet,5,3,245.0,"₦23,884,376.00",per annum,gwarinpa,FCT,Tunde Adeyemi,(996) 504-7735,04 September 2025,0,"₦208,318.00"
RE-4243,1-Bedroom  duplex in Maitama,Flat/Apartment,Shortlet,1,-1,51.1,"NGN 11,516,138",One-off,Maitama,Abuja,  WALE EZE   ,234-567-933-410,04/07/2026,Yes,368654.0
RE-4154,2-Bedroom BUNGALOW in Victoria Island,Detached House,For Rent,Unknown,4,579.5,unknown,One-off,Victoria Island   ,Lagos State,segun bello,08181412478,19-Jul-2025,false,"NGN 1,215,344"
RE-4038,1-Bedroom duplex in Surulere,Land,For Rent,Unknown,3,917.0,7857796.0,per annum,Surulere,Lagos,   blessing adeyemi,(563) 421-6073,20.12.2025,TRUE,"N103,100"
RE-4161,   5-Bedroom BUNGALOW in Gwarinpa   ,Duplex,For Rent,5,3,360.8,"₦5,389,604.00",Per Annum,Gwarinpa,Fct Abuja,obinna nnamdi,06218518888,31/01/2025,1,1286668.00 naira
RE-4248,-1-Bedroom Land in Wuse 2   ,Terrace,For Sale,-1,4,876.7,"₦2,478,590.00",per year,Wuse 2,Abuja,Zainab Ogundimu   ,0218 501 6315,30.07.2025,FALSE,"₦1,181,031.00"
RE-4236,2-Bedroom Flat/Apartment in Lugbe,Land,For Sale,2,-1,1042.1,  ,Per Annum,Lugbe,Abuja,IBRAHIM BELLO   ,00489964235,28-Mar-2026,true,"₦1,236,520.00"
RE-4258,0-Bedroom Detached House in Ikeja GRA,Land,Lease,0,3,501.7,"₦6,794,941.00",Per Annum,Ikeja GRA   ,Lagos,Obinna Olawale,+234569245937,04-Jun-2026,1,"NGN 139,794"
RE-4088,1-Bedroom Bungalow in Asokoro,Flat/Apartment,FOR RENT,NULL,2,Unknown,"₦2,681,208.00",One-off,Asokoro,Abuja,  Musa Adeyemi   ,,17-Dec-2025,No,"₦737,875.00"
RE-4011,4-Bedroom Flat/Apartment in Jabi,Land,FOR RENT,4,2,769.4,11670266.0,,JABI,Abuja,Bisi  Nwosu,0287 101 2269,08.11.2025,No,"N1,334,899"
RE-4228,  3-Bedroom duplex in Ajah,Self-Contain,For Sale,3,2,1071.5,"N16,893,978",per annum,  ajah   ,Lagos,Ngozi Nwosu,06870568566,13/03/2025,TRUE,540665.0
RE-4043,  5-Bedroom BUNGALOW in Magodo   ,duplex,FOR RENT,5,-1,78.7,"NGN 16,763,868",One-off,  Magodo,Lagos State,  Tunde Adekunle   ,0615 951 4846,10.04.2026,Y,1403940.0
RE-4175,2-Bedroom Duplex in Jabi   ,Bungalow,Shortlet,2,2,55.8,"₦4,350,609.00",per annum,Jabi,Abuja,musa adekunle,(551) 884-4225,2025/12/30,No,"NGN 75,977"
RE-4221,-1-Bedroom  Detached House in Ikeja GRA,Duplex,Lease,-1,3,NIL,"₦2,097,995.00",One-off,IKEJA GRA,Lagos,  Aliyu Eze,234-265-676-618,20-Apr-2026,Y,440748.0
RE-4321,1-Bedroom duplex in Maitama   ,Detached House,Lease,1,-1,39.3,2911359.0,N/A,MAITAMA,Abuja,Amaka Afolabi,+234323651994,02/26/2025,N,"NGN 155,797"
RE-4193,4-Bedroom Land in Surulere,Land,Lease,4,3,43.0,24459748.0,Per Annum,Surulere,lagos,Emeka Lawal,+234239868000,24/04/2026,no,Unknown
RE-4116,0-Bedroom Terrace in Ikoyi,Detached House,for sale,0,1,303.1,"₦19,738,183.00",per annum,Ikoyi,Lagos,emeka afolabi,01020539502,18 June 2026,false,"NGN 914,508"
RE-4120,6-Bedroom Land in Wuse 2,Land,FOR RENT,6,,1005.3,"N3,592,575",N/A,WUSE 2   ,FCT,Chinedu Adekunle,0124 998 5698,08/08/2025,yes,"NGN 894,126"
RE-4166,2-Bedroom Land in Surulere,BUNGALOW,for sale,2,1,344.4,"11,128,586.00 ",One-off,Surulere,Lagos,FATIMA MOHAMMED,00541566765,2026-06-19,false,508910.00 naira
RE-4092,1-Bedroom Detached House in Yaba,duplex,for sale,1,4,--,4628717.00 naira,N/A,Yaba,Lagos,Ifeoma Nnamdi,+234997278755,2026-03-31,TRUE,919929.0
RE-4237,  0-Bedroom Self-Contain in Ikoyi,duplex,For Rent,0,3,463.5,2965405.0,Per Annum,Ikoyi,Lagos,bisi  afolabi   ,234-937-854-777,03-May-2026,1,"NGN 1,020,984"
RE-4171,0-Bedroom Detached House in Lekki,duplex,For Rent,0,-1,228.1,"NGN 3,460,226",per year,Lekki,LAGOS,Musa Adekunle,+234556909275,2025/07/03,true,"₦127,172.00"
RE-4071,5-Bedroom Bungalow in Jabi,Bungalow,Lease,5,1,635.7,"₦18,383,435.00",Per Annum,jabi,Abuja,Sadiq Adeyemi,0518 233 7498,2026-05-27,yes,"₦878,727.00"
RE-4130,5-Bedroom Bungalow in Asokoro,Detached House,FOR RENT,5,3,859.3,"N9,571,796",per year,Asokoro,Abuja,ifeoma ajayi,02290147679,06/26/2026,FALSE,"NGN 650,360"
RE-4327,4-Bedroom Terrace in Maitama,Detached House,Shortlet,4,2,52.4,"7,174,435.00 ",per year,Maitama,Abuja,Funmilayo Ajayi,08564205930,25/01/2025,Yes,NIL
RE-4308,4-Bedroom Bungalow in Wuse 2,Duplex,Shortlet,4,4,108.8,  ,Per Annum,Wuse  2,FCT,Fatima Okeke,08635365419,15.05.2025,TRUE,nil
RE-4185,1-Bedroom BUNGALOW in Magodo,Bungalow,Lease,1,4,1157.9,n/a,per annum,MAGODO,Lagos,femi okonkwo,59255562588,09 September 2025,no,null
RE-4271,5-Bedroom Land in Maitama,Detached House,For Rent,5,-1,99.6,"₦2,658,824.00",Per Annum,Maitama,Abuja,chinedu chukwu,0419 182 5537,23/09/2025,false,1274879.00 naira
RE-4254,-1-Bedroom Duplex in Asokoro,Self-Contain,Shortlet,-1,-1,553.3,"NGN 2,365,464",per annum,Asokoro   ,Abuja,femi okonkwo,234-046-618-398,2025/09/25,false,563581.00 naira
RE-4076,3-Bedroom Detached House in Gwarinpa,Flat/Apartment,For Sale,3,2,1083.3,NULL,N/A,Gwarinpa,Abuja,Yusuf Nwosu,invalid,29 April 2026,Y,322939.0
RE-4150,  6-Bedroom Flat/Apartment in Surulere,BUNGALOW,Lease,6,1,14.8,16416652.0,,  surulere,LAGOS,Yusuf Suleiman,(805) 929-6222,28-Jun-2026,false,NIL
RE-4272,2-Bedroom Detached House in Gwarinpa,BUNGALOW,Shortlet,2,3,N/A,21883563.0,One-off,GWARINPA,Abuja,grace okafor,0478 596 9691,18.03.2025,Y,"₦459,770.00"
RE-4240,2-Bedroom Detached House in Lugbe,Bungalow,Shortlet,2,-1,9.1,"24,893,354.00 ",per year,lugbe,Abuja,Segun Ogundimu,invalid,17 April 2025,yes,null
RE-4275,4-Bedroom BUNGALOW in Yaba,Duplex,For Sale,4,-1,1042.9,6786118.00 naira,per year,  yaba,Lagos,  Amaka Bello,09662782827,2026/01/18,false,"71,376.00 "
