TransactionRef,AccountNumber,CustomerName,BankBranch,TransactionType,Channel,Amount,Date,Time,Status,BeneficiaryAccount,PhoneNumber,State,Currency
REF200042,0047338124,Segun Suleiman,FIDELITY BANK Apapa,POS Payment,Agent Banking,867088.82,2025/08/06,05:16,SUCCESSFUL,,+234934060883,Oyo,ngn
REF200500,0010872248,grace okeke,First Bank Port Harcourt Main,POS Payment,Branch,"-NGN 114,132",11/07/2025,10:58 AM,Pending,nil,04618723460,Edo,NGN 
REF200312,0041244663,Tobi Bello,First Bank Port Harcourt Main,Withdrawal,POS,"249,152.50 ",03/14/2026,08:37,successful,n/a,00603850506,Fct Abuja,USD
REF200291,0039587039,Yusuf Nwosu,ACCESS BANK Victoria Island,Airtime Purchase,Mobile App,"1,369,106.79 ",2026/01/04,01:29,Successful,0070291817,+234129387005,Kaduna,ngn
REF200258,0070291817,Yusuf Okonkwo,First Bank Port Harcourt Main,POS Payment,Mobile App,1268834.61 naira,01-Jun-2025,04:13,Failed,,07569245937,Oyo,NGN
REF200281,0040587988,Kemi Bello,FIRST BANK Port Harcourt Main,Withdrawal,mobile app,"N1,458,137",2025/01/01,02:03,Pending,Unknown,234-171-339-596,Imo,ngn
REF200323,0042857966,  grace ogundimu   ,UBA Garki,Salary Credit,USSD,1486750.36,02-Apr-2025,15:49,Reversed,0057683626,234-966-706-625,Abuja,USD
REF200178,0061019678,Chidi Nwosu,Access Bank Garki,Loan Repayment,POS,"N1,101,583",08-Nov-2025,02:39,Failed,Unknown,+234912517785,Anambra,USD
REF200082,0049349722,Halima Adekunle,Sterling Bank Victoria Island,Withdrawal,Agent Banking,"₦989,096.87",17 January 2025,12:13 AM,Pending,0020576383,0877 190 6594,Delta,USD
REF200431,0045503389,Femi Bello,UBA Ikeja,Loan Repayment,Internet Banking,"NGN 367,476",2026-01-19,00:10,Reversed,Unknown,0552 314 9135,Edo,USD
REF200388,0045551614,Emeka Eze,Zenith Bank Port Harcourt Main,Salary Credit,ATM,522468.78,02/18/2026,02:18 AM,Failed,--,00455611002,Ogun,ngn
REF200470,0038317637,Obinna Suleiman,Sterling Bank Port Harcourt Main,N/A,USSD,"N332,472",21.03.2026,10:43 PM,SUCCESSFUL,,0553 942 3733,Plateau,NGN
REF200330,0023756669,Ibrahim Suleiman   ,Access Bank Garki,Withdrawal,ATM,115501.47,2025/09/03,03:11,Pending,0014308421,(590) 599-2937,Edo,USD
REF200295,0089254563,Wale Nwosu,ZENITH BANK Apapa,Deposit,POS,"₦442,129.47",2026-05-29,17:30,failed,NIL,+234965652341,Akwa Ibom,USD
REF200501,0088320463,Zainab Ajayi,Zenith Bank Port Harcourt Main,Bill Payment,ussd,"NGN 1,116,531",01-Apr-2025,10:52,Reversed,0099949389,36730371837,Kaduna,NGN 
REF200142,0013999315,Tobi Suleiman,UBA Garki,Loan Repayment,Branch,"N443,063",00/00/0000,12:14,failed,Unknown,41199867980,Ibadan,Naira
REF200306,0056164955,Wale Okeke,gtbank Garki,Withdrawal,mobile app,953212.5,22/11/2025,10:44 PM,successful,0013561597,07925241913,Lag,NGN 
REF200147,0039345092,GRACE AJAYI   ,Fidelity Bank Ikeja,Airtime Purchase,Branch,"N606,970",20-Nov-2025,00:34,failed,Unknown,25462914865,Enugu,USD
REF200497,0023556182,Kunle Afolabi,Sterling Bank Victoria Island,Bill Payment,Agent Banking,"₦1,008,019.92",20/01/2026,11:27,Reversed,0072043515,(973) 502-0802,Imo,NGN
REF200514,0042857966,Bisi Adeyemi,UBA Port Harcourt Main,Deposit,ussd,"₦1,112,898.81",2026/01/17,02:35 AM,failed,,03910371705,Plateau,USD
REF200057,0060992979,ZAINAB AFOLABI,Fidelity Bank Wuse 2,Airtime Purchase,Mobile App,"₦482,156.54",2025-03-23,11:11,Reversed,,(699) 016-2720,Edo,NGN 
REF200418,0020709497,Kunle Nnamdi,FIRST BANK Apapa,Airtime Purchase,POS,"N656,683",2025-04-27,01:19,Failed,,(398) 780-1573,oyo,ngn
REF200439,0013561597,Yusuf Ajayi,Fidelity Bank Wuse 2,Deposit,Branch,"N1,126,411",04/08/2026,23:01,SUCCESSFUL,0096977837,09275037314,abuja,NGN
REF200111,0088320463,Chinedu Balogun,UBA Wuse 2,Transfer,POS,"₦1,406,393.56",28/03/2025,07:52 PM,SUCCESSFUL,0017507864,07586926179,Enugu,NGN 
REF200073,0045833156,Bola Nnamdi,Wema Bank Apapa,Withdrawal,USSD,"₦1,203,091.49",12 August 2025,08:26 AM,SUCCESSFUL,0058181396,0400 842 7109,Abuja,USD
REF200227,0013356886,Emeka Nnamdi,Fidelity Bank Apapa,Bill Payment,Agent Banking,"630,484.89 ",2025-01-22,09:57,failed,0052235350,0428 364 4089,Kaduna,ngn
REF200160,0087490893,  sadiq nnamdi,UBA Port Harcourt Main,Deposit,Mobile App,null,2025-02-28,05:58,successful,NIL,08932460953,Anambra,ngn
REF200087,0017507864,Ifeoma Nwosu,Access Bank Victoria Island,Transfer,Branch,19004.75 naira,28-Feb-2026,01:14 PM,Pending,0021668732,+234385977034,Plateau,NGN 
REF200036,0013999315,Obinna Okafor,Fidelity Bank Victoria Island,Withdrawal,ussd,--,26/01/2026,21:47,Pending,NULL,+234620450533,Enugu,NGN 
REF200508,0041227216,CHINEDU EZE,Sterling Bank Port Harcourt Main,Loan Repayment,mobile app,"₦297,072.14",10.04.2026,09:43 AM,Pending,0063843426,(392) 855-7498,Lagos,Naira
REF200327,0058537831,  MUSA NWOSU   ,zenith bank Ikeja,Bill Payment,Branch,"₦629,819.87",2025-06-07,10:47 AM,successful,N/A,08564205930,Rivers,ngn
REF200473,0039476249,Funmilayo Ogundimu,ZENITH BANK Apapa,Airtime Purchase,Agent Banking,"₦959,392.77",27/01/2026,06:54 AM,Successful,,234-728-463-920,Rivers,USD
REF200170,0070855700,Segun Lawal,FIRST BANK Ikeja,Deposit,Internet Banking,"NGN 953,959",22/03/2026,17:52,successful,,234-582-029-702,Ogun,Naira
REF200512,0022575562,Kunle Eze,First Bank Port Harcourt Main,POS Payment,Branch,"NGN 905,250",N/A,13:50,failed,0023556182,,Kano,ngn
REF200053,0088461803,Kemi Abubakar,Zenith Bank Victoria Island,Airtime Purchase,ATM,208619.64 naira,26-Apr-2026,03:18 PM,failed,,(362) 316-6587,Kano,ngn
REF200109,0014308421,blessing adekunle   ,ZENITH BANK Victoria Island,Salary Credit,mobile app,"₦391,855.91",19.11.2025,01:24 PM,Pending,0045551614,+234985931746,Cross River,ngn
REF200297,0045551614,   Segun Mohammed,fidelity bank Wuse 2,Loan Repayment,mobile app,282175.9,2026-03-04,07:09,Successful,n/a,234-640-376-137,Ogun,USD
REF200406,0018883684,ibrahim lawal,sterling bank Wuse 2,Bill Payment,Internet Banking,"₦658,161.27",2026/06/05,08:04 PM,SUCCESSFUL,0085345555,02698485833,Kaduna,ngn
REF200025,0038538251,Aliyu Eze,UBA Apapa,Transfer,Internet Banking,350519.0,28.09.2025,21:20,Pending,0016150444,64746872343,Enugu,ngn
REF200303,0042868828,Femi Abubakar,Wema Bank Port Harcourt Main,Withdrawal,Branch,230667.97 naira,02/01/2026,06:04,failed,0066722344,+234904210202,kano,NGN
REF200329,0032969840,Zainab Nwosu,Sterling Bank Victoria Island,Salary Credit,ussd,851557.38 naira,01-Oct-2025,01:48,Reversed,,08039652239,Oyo State,NGN
REF200510,0081691040,Chinedu Adeyemi,Uba Ikeja,POS Payment,Internet Banking,-,25.09.2025,07:45,successful,0045935572,06209593518,Edo,NGN 
REF200230,0081691040,Halima  Nwosu,Wema Bank Ikeja,Loan Repayment,POS,"-N669,236",05/04/2025,11:08,Pending,0053524491,234-668-826-343,Enugu,ngn
REF200216,0023756669,Chidi Adeyemi,Access Bank Victoria Island,n/a,ussd,"N749,776",06 April 2026,12:33 AM,Reversed,  ,invalid,Akwa Ibom,NGN
REF200296,0086125617,Chioma Okeke,Gtbank Garki,Transfer,ATM,"NGN 13,297",03-Nov-2025,09:37 AM,SUCCESSFUL,,0899 940 4389,Kaduna,NGN
REF200236,0041227216,Bola Afolabi   ,STERLING BANK Ikeja,Deposit,Agent Banking,"N1,285,294",2025-05-26,11:29 PM,Pending,,(048) 996-4235,Kano,Naira
REF200483,0052339391,Femi Okonkwo,Fidelity Bank Garki,null,mobile app,"₦62,928.00",02/04/2025,10:28,Reversed,,+234587716947,Anambra,ngn
REF200468,0013999315,Musa Lawal,UBA Apapa,Withdrawal,ussd,"₦16,648.17",01.05.2025,17:46,Pending,,invalid,Abuja,NGN 
REF200195,0022981052,  amara ajayi,Wema Bank Victoria Island,POS Payment,ATM,"₦1,033,137.09",,14:34,Failed,,234-694-958-887,Kaduna,USD
REF200093,0019335534,Tobi Lawal,zenith bank Wuse 2,Transfer,Branch,1199353.78,2025-07-11,12:29 PM,Pending,0081971316,(867) 533-9636,Enugu,NGN 
REF200242,0031831063,Bisi Yusuf,Access Bank Victoria Island,Airtime Purchase,ussd,564816.68,16-Apr-2026,01:13,Reversed,Unknown,(182) 339-8454,Lagos State,USD
REF200420,0081691040,Bola Okeke,ACCESS BANK Victoria Island,Airtime Purchase,USSD,"₦458,972.61",2026/02/17,08:41,Pending,,85887704358,Akwa Ibom,USD
REF200036,0013999315,Obinna Okafor,Fidelity Bank Victoria Island,Withdrawal,ussd,--,26/01/2026,21:47,Pending,NULL,+234620450533,Enugu,NGN 
REF200040,0058966946,Chioma Ajayi,First Bank Garki,Loan Repayment,USSD,"98,990.51 ",09.10.2025,21:18,failed,0035808537,0458 685 0142,Kaduna,NGN 
REF200336,0038898923,Wale Mohammed,STERLING BANK Victoria Island,Withdrawal,mobile app,223514.79 naira,2025/05/04,04:30,Failed,0040587988,0690 295 9391,Edo,NGN
REF200100,0021668732,  Emeka Nnamdi,Sterling Bank Wuse 2,Withdrawal,USSD,137253.18,2025-04-08,00:02,Pending,0038317637,+234792374740,Edo,Naira
REF200112,0082340307,Musa Ajayi,WEMA BANK Apapa,Loan Repayment,ATM,"N322,467",07/11/2025,09:23,failed,--,234-053-773-515,Delta,USD
REF200122,0085345555,aliyu  adekunle,First Bank Garki,-,ATM,"₦844,244.30",2025-04-14,09:45,Successful,0052235350,234-576-615-654,Akwa Ibom,NGN 
REF200028,0041227216,Blessing Lawal,ZENITH BANK Port Harcourt Main,POS Payment,Branch,"N938,300",22/02/2025,06:56 AM,failed,N/A,+234399091699,Delta,ngn
REF200153,0039958838,Funmilayo Eze,First Bank Apapa,Transfer,mobile app,"NGN 542,196",26.04.2026,03:31 PM,Pending,0067503414,0886 239 2407,Kaduna,ngn
REF200257,0045264581,Chidi Lawal,WEMA BANK Victoria Island,Deposit,Mobile App,1142465.10 naira,28-Sep-2025,17:38,successful,0015831819,(371) 240-6596,Delta,NGN 
REF200304,0047338124,Tunde Okonkwo,ACCESS BANK Garki,Withdrawal,POS,"N506,006",07/16/2025,23:12,successful,NULL,234-884-252-410,Rivers State,NGN
REF200384,0060929647,Zainab Adeyemi,access bank Port Harcourt Main,Transfer,Branch,1036044.06,04.03.2025,04:08,Reversed,0083197857,,Anambra,NGN
REF200014,0090801586,Chinedu Eze,sterling bank Port Harcourt Main,Salary Credit,ATM,n/a,2026/01/29,16:52,SUCCESSFUL,,(148) 932-5288,Akwa Ibom,USD
REF200411,0058181396,ALIYU EZE,Sterling Bank Wuse 2,Salary Credit,ATM,"₦328,786.33",10/22/2025,14:19,failed,0031831063,234-384-066-658,Edo,ngn
REF200410,0052339391,Aliyu  Balogun,First Bank Port Harcourt Main,POS Payment,ussd,298260.17 naira,2025-04-01,17:37,Pending,  ,234-380-571-983,Anambra,NGN 
REF200108,0023756669,Ngozi Adekunle,ZENITH BANK Victoria Island,Loan Repayment,POS,794956.83 naira,01 September 2025,02:19 PM,Failed,?,0817 549 6513,Edo,Naira
REF200518,0086125617,Tunde Olawale,sterling bank Apapa,Loan Repayment,USSD,"NGN 997,123",06/18/2025,07:44,failed,0095822412,(286) 852-8975,Cross River,NGN
REF200131,0066306997,WALE BELLO,GTBank Victoria Island,Withdrawal,Mobile App,"NGN 1,493,211",17.12.2025,16:43,Successful,N/A,06438156149,Lagos,NGN 
REF200305,0042857966,Adaeze Balogun,Uba Garki,Salary Credit,USSD,688434.51,09.03.2025,22:27,Pending,  ,64814917785,Imo,Naira
REF200377,0083197857,  FUNMILAYO OGUNDIMU,Access Bank Ikeja,Transfer,Mobile App,"N458,334",02 September 2025,05:48 AM,failed,0022575562,,Ogun,ngn
REF200264,0077005685,fatima okafor,UBA Wuse 2,Transfer,Mobile App,"₦131,908.88",2025/05/19,00:28,successful,0028740864,+234656101438,kano,NGN
REF200252,0083140807,Kunle Mohammed,Gtbank Port Harcourt Main,Airtime Purchase,USSD,"₦680,166.00",2025/01/29,01:46,failed,?,234-541-212-678,Delta,NGN 
REF200324,0070855700,Halima Lawal,Zenith Bank Garki,Withdrawal,ATM,1219395.47,21 January 2025,13:26,Successful,,+234447209993,Ogun,Naira
REF200097,0070855700,zainab yusuf,ZENITH BANK Wuse 2,Deposit,Internet Banking,1208258.02,12/26/2025,18:10,failed,0071586053,0091 343 1611,Rivers,ngn
REF200374,0029175900,wale mohammed,UBA Victoria Island,Withdrawal,Internet Banking,"N470,382",16 November 2025,15:29,Failed,0013999315,+234725217525,Lagos,Naira
REF200208,0023718431,Musa Okafor,First Bank Victoria Island,Withdrawal,Branch,"NGN 944,135",2025-06-23,19:33,Successful,,06724004991,Rivers,ngn
REF200049,0089254563,Chioma Olawale,Zenith Bank Wuse 2,null,Internet Banking,nil,02/06/2026,04:24,Failed,0029175900,(163) 287-0831,Cross River,USD
REF200248,0023756669,Bola Olawale,First Bank Wuse 2,Bill Payment,USSD,"NGN 264,390",13.02.2025,04:35 PM,Successful,N/A,(218) 501-6315,Cross River,USD
REF200001,0063843426,Tunde  Mohammed,Sterling Bank Wuse 2,Airtime Purchase,Mobile App,"N329,371",22 May 2025,17:23,failed,--,01043321819,Plateau,ngn
REF200432,0091030736,Chinedu Ajayi   ,WEMA BANK Victoria Island,Airtime Purchase,POS,"NGN 1,328,439",07/02/2025,08:01 AM,successful,null,0759 492 9955,Rivers,NGN 
REF200141,0032969840,Tunde Chukwu,First Bank Wuse 2,Deposit,Mobile App,"NGN 975,305",,05:11 PM,failed,,+234058147700,Akwa Ibom,NGN
REF200339,0053524491,Aliyu Balogun,Access Bank Port Harcourt Main,Transfer,Mobile App,1139153.06,2025/12/22,12:29,successful,,+234267658617,Delta,USD
REF200274,0099949389,Bisi Bello,Wema Bank Wuse 2,Transfer,Internet Banking,669523.05 naira,2026/01/14,23:06,SUCCESSFUL,0089089901,03412528669,Plateau,Naira
REF200032,0023756669,SEGUN AFOLABI,ACCESS BANK Garki,Loan Repayment,ATM,1041154.74 naira,01/30/2025,01:34,Pending,0072043515,0000000000,Imo,ngn
REF200065,0020576383,Funmilayo Suleiman,GTBANK Victoria Island,Bill Payment,Agent Banking,419941.16 naira,02 May 2025,04:23 AM,SUCCESSFUL,0020576383,87769453147,Akwa Ibom,ngn
REF200019,0039587039,ZAINAB NWOSU,Zenith Bank Garki,Deposit,mobile app,"N1,362,085",2026/01/20,13:32,failed,0048840994,234-010-310-518,Edo,NGN 
REF200314,0039345092,Funmilayo Okafor,gtbank Ikeja,Deposit,Agent Banking,954832.24,23 March 2025,10:00,failed,0048840994,234-865-719-182,Ogun,NGN 
REF200343,0081691040,Tunde Nnamdi,Access Bank Ikeja,Withdrawal,Mobile App,"₦215,711.78",,08:22 AM,failed,0090801586,(688) 444-3106,Lagos,NGN
REF200367,0066629388,Femi Yusuf,uba Victoria Island,Airtime Purchase,USSD,"N1,409,802",2025-10-02,09:20 AM,Failed,unknown,54544432830,Oyo,USD
REF200088,0020576383,Musa Bello,access bank Garki,POS Payment,Internet Banking,293724.56,2025/04/20,04:37,SUCCESSFUL,null,0247 710 9324,Kaduna,NGN
REF200292,0085345555,Kunle Abubakar,UBA Port Harcourt Main,Bill Payment,mobile app,,21 March 2026,02:13 AM,SUCCESSFUL,0013561597,06271361115,Edo,ngn
REF200488,0026753883,IBRAHIM NNAMDI,WEMA BANK Wuse 2,Withdrawal,Agent Banking,"NGN 525,501",25 July 2025,21:59,Successful,0083197857,(149) 216-4334,Lagos,Naira
REF200146,0084752529,Chidi Afolabi,Zenith Bank Victoria Island,Deposit,POS,"₦636,602.07",04/17/2025,07:01,SUCCESSFUL,0063100814,234-186-449-251,Enugu,NGN 
REF200239,0045264581,Obinna Chukwu,ACCESS BANK Port Harcourt Main,Salary Credit,mobile app,611219.69 naira,15/03/2026,06:26 AM,successful,0099949389,00623120387,Imo,Naira
REF200070,0018883684,Amara Nwosu,Access Bank Victoria Island,Deposit,mobile app,431223.93,2025/10/20,22:02,Pending,?,234-855-744-431,Ibadan,Naira
REF200445,0098753260,Tobi Yusuf,Access Bank Port Harcourt Main,Transfer,Branch,"437,181.84 ",06/12/2025,07:22 PM,Failed,,77739260302,Anambra,USD
REF200089,0046913810,Blessing Abubakar,Wema Bank Port Harcourt Main,Withdrawal,mobile app,"N300,100",2025-07-04,11:16 PM,Reversed,0093016315,00861317127,Delta,USD
REF200347,0083140807,Segun Olawale,Wema Bank Port Harcourt Main,Loan Repayment,POS,"₦418,074.98",04/03/2025,11:01,SUCCESSFUL,0070855700,(704) 774-3490,Akwa Ibom,Naira
REF200126,0031931511,Amaka Chukwu,first bank Ikeja,Salary Credit,Branch,"N596,030",2025-04-15,00:15,Reversed,0013561597,+234851493689,Imo,NGN
REF200348,0095899313,Emeka Balogun,uba Victoria Island,Deposit,ussd,871655.42,unknown date,17:59,failed,,+234158693806,Akwa Ibom,USD
REF200430,0063606628,MUSA NNAMDI,Fidelity Bank Ikeja,Withdrawal,Internet Banking,"601,424.82 ",01/30/2025,05:35,Reversed,0082340307,234-781-414-139,abuja,NGN 
REF200496,0035808537,Funmilayo Adeyemi,First Bank Port Harcourt Main,Salary Credit,POS,"N78,491",02 September 2025,11:54 PM,SUCCESSFUL,0026753883,0631 224 1797,Enugu,NGN 
REF200506,0038317637,Bisi Adekunle,UBA Apapa,Bill Payment,ussd,"N1,350,696",2025-09-30,02:17,Pending,nil,(812) 735-8573,Ogun,NGN
REF200106,0053524491,Aliyu Nwosu,fidelity bank Port Harcourt Main,Bill Payment,USSD,"N268,852",2025/02/06,18:52,Failed,0061019678,0858 842 4745,Abuja,ngn
REF200364,0046913810,GRACE OKEKE,STERLING BANK Port Harcourt Main,Transfer,POS,"₦239,000.23",11/27/2025,06:57 AM,SUCCESSFUL,,0229 034 9446,Cross River,ngn
REF200150,0060992979,Ngozi Okeke,Fidelity Bank Wuse 2,NULL,ATM,477020.01,2026-04-07,11:12,Failed,unknown,234-059-296-222,Cross River,ngn
REF200061,0022448136,funmilayo nwosu,FIRST BANK Garki,Airtime Purchase,Branch,"N1,366,113",2025/02/26,04:14 AM,SUCCESSFUL,0031931511,(529) 912-4190,Kaduna,USD
REF200505,0041227216,Kunle Okeke,UBA Garki,POS Payment,ATM,866041.09 naira,06/12/2025,23:50,Successful,0090801586,01327195005,Anambra,NGN 
REF200237,0038898923,Segun Chukwu,Access Bank Port Harcourt Main,POS Payment,USSD,"₦527,624.73",03/04/2025,04:58,Reversed,0055176955,(693) 785-4777,Lagos,NGN
REF200105,0047295260,Amara Balogun,Wema Bank Apapa,Deposit,Internet Banking,"NGN 44,520",16/03/2026,09:17,Reversed,Unknown,,kano,NGN 
REF200353,0042868828,NGOZI OGUNDIMU,UBA Port Harcourt Main,Transfer,Internet Banking,1194205.91,04 May 2026,20:00,failed,0086125617,234-861-622-999,Kaduna,USD
REF200409,0058586340,Halima Olawale,UBA Port Harcourt Main,Deposit,Mobile App,"NGN 111,596",19.11.2025,01:18,Reversed,0098753260,+234200342442,Plateau,NGN 
REF200477,0017507864,Kemi Okafor,sterling bank Wuse 2,Airtime Purchase,Branch,"NGN 1,059,610",07 March 2025,23:16,Failed,,07636556472,Ogun,NGN
REF200152,0023556182,SEGUN NNAMDI,Access Bank Victoria Island,Salary Credit,Internet Banking,884606.33,2025-10-25,04:34 AM,failed,0083197857,+234347359774,Lagos,USD
REF200479,0084093639,segun  balogun,GTBank Ikeja,Bill Payment,Mobile App,1318657.27,00/00/0000,03:05,failed,N/A,+234702672885,Edo,USD
REF200389,0096977837,Chinedu Okonkwo,FIDELITY BANK Wuse 2,Loan Repayment,Agent Banking,"₦1,270,279.38",16-Mar-2025,15:04,Failed,0085329037,(557) 941-5521,Cross River,Naira
REF200218,0029175900,Chioma Okonkwo,GTBank Ikeja,N/A,Branch,365845.09 naira,11.02.2025,04:33,Failed,0032969840,0718 707 2867,Enugu,Naira
REF200136,0066722344,TOBI BELLO,GTBank Victoria Island,Salary Credit,Internet Banking,"₦1,032,518.34",04/08/2025,14:46,Pending,0047338124,0529 751 6136,Enugu,Naira
REF200319,0095822412,AMARA SULEIMAN,Access Bank Garki,POS Payment,Mobile App,191562.49 naira,11/17/2025,12:58,Pending,unknown,234-135-680-442,Rivers,NGN
REF200211,0052339391,Tobi Okeke,Fidelity Bank Port Harcourt Main,Deposit,Mobile App,147866.04 naira,2026/02/05,15:44,Failed,,,Lagos,Naira
REF200266,0010872248,Amara Olawale,First Bank Wuse 2,Loan Repayment,POS,432372.17,16.07.2025,04:01 PM,Failed,0052339391,0507 146 1125,rivers,USD
REF200172,0040742311,BOLA MOHAMMED,Wema Bank Wuse 2,Deposit,Internet Banking,"₦153,859.10",03/10/2025,04:16,Failed,0071586053,0719 285 6543,Akwa Ibom,NGN
REF200492,0091030736,Yusuf  Bello,uba Port Harcourt Main,Transfer,Internet Banking,"N1,249,415",27.02.2026,01:44 AM,successful,0066722344,+234424008254,Cross River,NGN 
REF200157,0010872248,Obinna Bello,Fidelity Bank Port Harcourt Main,Withdrawal,Branch,555880.99 naira,14.02.2025,11:48 PM,SUCCESSFUL,NULL,,Ogun,USD
REF200500,0010872248,grace okeke,First Bank Port Harcourt Main,POS Payment,Branch,"-NGN 114,132",11/07/2025,10:58 AM,Pending,nil,04618723460,Edo,NGN 
REF200463,0038119557,Sadiq Adeyemi,Sterling Bank Victoria Island,  ,Mobile App,"197,994.79 ",09-Mar-2026,12:47,SUCCESSFUL,0045551614,02146566938,Akwa Ibom,USD
REF200123,0052339391,amaka olawale,UBA Wuse 2,Salary Credit,POS,"1,027,435.61 ",08/22/2025,04:35 AM,Reversed,Unknown,02711116152,rivers,NGN
REF200166,0097226012,Ngozi Nnamdi,gtbank Port Harcourt Main,Transfer,Branch,294496.79 naira,03-Jun-2025,16:08,Pending,0031831063,234-541-566-765,Kaduna,NGN
REF200161,0038898923,Fatima Ogundimu,Zenith Bank Garki,Airtime Purchase,USSD,"838,891.24 ",23 December 2025,11:51,SUCCESSFUL,0087490893,(621) 851-8888,Delta,Naira
REF200117,0086125617,Grace Nwosu,Access Bank Ikeja,null,USSD,"₦568,379.51",20-Jan-2026,03:27 AM,Successful,,(026) 811-7758,Ogun,NGN 
REF200368,0045264581,Bola Ogundimu,Access Bank Garki,Airtime Purchase,Branch,"N574,877",24 July 2025,19:21,Successful,0097971488,+234652074466,Kaduna,Naira
REF200332,0045264581,Obinna Adeyemi,FIDELITY BANK Wuse 2,Bill Payment,USSD,"₦1,384,623.02",06/12/2026,01:12,Successful,0048840994,(705) 932-5250,Anambra,Naira
REF200139,0099949389,Ngozi Lawal,GTBank Ikeja,Loan Repayment,ussd,621998.28,2025/05/07,15:22,Reversed,  ,234-292-127-799,Anambra,NGN 
REF200138,0031931511,Funmilayo Chukwu,ZENITH BANK Victoria Island,Salary Credit,mobile app,"₦545,260.17",04/09/2026,03:53 AM,failed,0019335534,+234883552312,Plateau,ngn
REF200129,0041244663,Tobi Bello,uba Garki,Salary Credit,Internet Banking,875570.14,2025/03/14,16:07,Pending,null,+234752545991,Ogun,Naira
REF200033,0022448136,Aliyu Adekunle,Wema Bank Victoria Island,Loan Repayment,USSD,"NGN 237,384",29 March 2026,11:47 AM,Reversed,0096282117,234-493-534-874,Lagos,NGN
REF200265,0014308421,  Chidi Suleiman,wema bank Ikeja,Deposit,POS,"N154,444",2026/03/19,14:11,successful,0091756179,234-993-756-798,Delta,NGN 
REF200273,0038119557,Ifeoma Suleiman,Access Bank Garki,POS Payment,Agent Banking,"N8,317",2025-12-14,08:03,Failed,,05792499125,Enugu,Naira
REF200176,--,Ifeoma Okafor,Fidelity Bank Victoria Island,Bill Payment,Agent Banking,"395,392.23 ",2026/01/11,15:29,SUCCESSFUL,0055176955,31323705895,Kaduna,NGN
REF200251,0097971488,Aliyu Adeyemi,First Bank Wuse 2,Salary Credit,POS,1335424.97,26.03.2026,09:33 PM,Failed,-,42626551104,Akwa Ibom,USD
REF200047,0038898923,SEGUN NNAMDI   ,FIRST BANK Ikeja,Loan Repayment,Agent Banking,102895.24,not set,21:33,Pending,,234-343-320-037,Plateau,NGN
REF200173,0087490893,Adaeze Abubakar,wema bank Apapa,Bill Payment,Mobile App,1152334.43,12/09/2025,01:08 PM,Reversed,0071662963,02786814473,Kano,Naira
REF200309,0089254563,Wale Yusuf,Access Bank Victoria Island,Airtime Purchase,Branch,1190441.12 naira,21 January 2025,13:01,Pending,0098753260,+234180238061,Lag,ngn
REF200394,0024942603,Chidi Suleiman   ,GTBANK Victoria Island,Salary Credit,Mobile App,"NGN 1,377,144",09/01/2025,07:55,Failed,N/A,03756289002,Oyo,Naira
REF200294,0057683626,  amaka chukwu,fidelity bank Ikeja,Salary Credit,POS,594152.01 naira,10-Nov-2025,14:30,successful,0026753883,0000000000,Kano,ngn
REF200417,0070291817,Kunle Lawal,wema bank Port Harcourt Main,POS Payment,ussd,1033651.90 naira,2026/02/21,12:11 AM,Successful,0021668732,08861533555,Rivers,NGN
REF200302,0055667651,wale  mohammed,UBA Wuse 2,Transfer,Branch,"599,313.08 ",19/07/2025,13:32,Failed,0070855700,+234146303161,Abuja,NGN
REF200198,0081971316,Ibrahim  Abubakar,UBA Wuse 2,Deposit,Agent Banking,"₦407,610.38",30-Mar-2025,16:57,SUCCESSFUL,0058181396,06230913075,Akwa Ibom,USD
REF200250,0088461803,Amaka Adeyemi,uba Wuse 2,Airtime Purchase,POS,1073649.01,11/12/2025,00:43,successful,0020576383,234-629-619-431,oyo,ngn
REF200372,0039958838,ibrahim balogun,Access Bank Garki,Salary Credit,POS,"1,401,198.48 ",23.02.2025,08:51,successful,,+234170999173,Ogun,NGN 
REF200241,0058181396,  MUSA AJAYI,wema bank Port Harcourt Main,Salary Credit,Branch,40609.96 naira,03 July 2025,13:03,failed,0058537831,00084840862,Enugu,NGN 
REF200158,0049349722,Ngozi Afolabi,Fidelity Bank Port Harcourt Main,Loan Repayment,mobile app,"N11,287",07/30/2025,23:28,SUCCESSFUL,0060992979,32898614341,Enugu,Naira
REF200168,0030868105,Bisi Chukwu,Wema Bank Victoria Island,Deposit,ATM,"N979,693",2025/10/01,20:39,Failed,0013999315,0845 115 4479,Anambra,NGN
REF200476,0013999315,Musa Nwosu,Fidelity Bank Port Harcourt Main,POS Payment,Mobile App,1471526.03 naira,04 June 2026,16:14,Failed,0035808537,04284347955,Imo,ngn
REF200275,0022575562,AMARA YUSUF,first bank Ikeja,Transfer,mobile app,"₦554,313.42",2025-05-02,08:32 PM,failed,Unknown,09662782827,Enugu,NGN 
REF200395,0022448136,Bisi Suleiman,First Bank Victoria Island,Airtime Purchase,Agent Banking,1102960.33 naira,00/00/0000,07:31,SUCCESSFUL,0089254563,+234721753540,Akwa Ibom,USD
REF200494,0095225343,Kemi Nwosu   ,GTBANK Wuse 2,Salary Credit,Internet Banking,178101.48,24.02.2026,05:24,successful,,85368663266,Ogun,ngn
