ShipmentID,DriverName,VehicleType,VehiclePlateNumber,OriginCity,DestinationCity,DispatchDate,DeliveryDate,Distance_km,PackageWeight_kg,DeliveryStatus,DeliveryFee,CustomerPhone,FuelCost,OnTimeDelivery
SHP700129,Halima Mohammed,Van,LND-626KL,Abuja,Kaduna,06/13/2026,14-Jun-2026,457.3,243.69,Cancelled,57882.00 naira,67525459910,"₦2,853.00",FALSE
SHP700214,Funmilayo Nwosu,Truck,LND-105BX,Abuja,Kaduna,28-Jan-2026,30 January 2026,n/a,36.99,Returned to Sender,"NGN 42,652",06841459332,"₦22,156.00",No
SHP700153,Ngozi Adeyemi,Tricycle (Keke),PHC-870KL,Lagos,Ibadan,27-Jan-2026,2026-02-02,?,270.19,Returned to Sender,"₦34,832.00",88623924075,Unknown,N
SHP700277,Halima Chukwu,Tricycle (Keke),PHC-488AA,Lagos,Ibadan,2026/04/05,06-Apr-2026,868.4,87.82,delivered,"NGN 54,203",68876767721,35950.0,0
SHP700311,  amara ogundimu,Tricycle (Keke),PHC-784AA,Lagos,Abuja,28-Sep-2025,2025/10/02,343.7,nil,Delayed,"NGN 60,900",+234937597383,"NGN 29,940",No
SHP700113,Zainab Lawal,VAN,ABJ-215AA,Lagos,Abuja,N/A,,104.7,228541.1,Returned to Sender,"₦58,146.00",234-064-317-139,"34,778.00 ",false
SHP700095,   FEMI YUSUF,Tricycle (Keke),LND-439KL,Lagos,Ibadan,2025/12/27,N/A,853.1,405295.4,DELAYED,10762.00 naira,01718702621,"NGN 37,793",No
SHP700304,Amara Bello,Van,ABJ-768AA,Abuja,Kaduna,04/06/2025,2025/04/12,N/A,14.4,delivered,3432.0,(588) 425-2410,null,Y
SHP700007,Adaeze Suleiman,Bike,ABJ-270BX,Lagos,Benin,13-Oct-2025,15-Oct-2025,419.1,221.84,Cancelled,"N25,318",(255) 341-9283,"₦20,494.00",N
SHP700388,Funmilayo Lawal,Tricycle (Keke),LND-784BX,Enugu,Onitsha,01.05.2025,05/01/2025,unknown,446317.2,Delivered,"NGN 47,464",234-455-611-002,23025.0,TRUE
SHP700243,ibrahim okonkwo,Van,LND-280BX,Lagos,Benin,N/A,10/26/2025,354.0,22.43,DELAYED,"₦32,591.00",(156) 793-3410,"₦35,379.00",Y
SHP700307,Amaka Olawale,bike,PHC-539AA,Port Harcourt,Aba,2025/06/19,26/06/2025,533.2,223355.8,Cancelled,"26,005.00 ",(800) 030-7562,"₦3,138.00",no
SHP700048,SEGUN NNAMDI,Van,  ,Kano,Kaduna,14-Feb-2026,20-Feb-2026,500.3,-,Returned to Sender,"NGN 84,846",01769367632,-,TRUE
SHP700100,Tobi Chukwu,Tricycle (Keke),ABJ-666AA,Port Harcourt,Aba,20-Aug-2025,08/27/2025,754.2,NIL,Delivered,43425.0,(379) 237-4740,unknown,Y
SHP700372,  Tobi Yusuf,Truck,ABJ-128AA,Lagos,Lagos (Intra-city),07/01/2026,01/13/2026,643.9,152718.3,Returned to Sender,"NGN 72,693",0717 099 9173,35090.00 naira,0
SHP700059,  Funmilayo Lawal,Tricycle (Keke),PHC-588KL,Abuja,Kaduna,2025-09-06,06/09/2025,50.4,26719.3,delivered,61880.0,+234080531003,"3,381.00 ",0
SHP700375,Amara Ajayi,Bike,KJA-872BX,Enugu,Onitsha,11/04/2025,2025/11/11,514.5,360.13,In Transit,"N29,985",07432927129,-,TRUE
SHP700183,Musa Ajayi,VAN,PHC-432AA,Lagos,Abuja,04/13/2026,16 April 2026,552.0,null,In Transit,"₦64,755.00",+234969078447,"₦37,176.00",No
SHP700358,Musa Olawale,Tricycle (Keke),KJA-141AA,Enugu,Onitsha,13 April 2026,,389.1,122172.6,Returned to Sender,"₦34,963.00",234-373-678-508,?,Y
SHP700121,Bisi Ajayi,Truck,PHC-908KL,Port Harcourt,Aba,2025/01/06,09 January 2025,Unknown,20.45,Returned to Sender,"₦46,343.00",+234896118367,"NGN 14,581",FALSE
SHP700010,Femi Afolabi,Bike,LND-807AA,Kano,Kaduna,11 October 2025,2025-10-17,44.5,131346.7,DELAYED,"NGN 4,831",23884969653,--,FALSE
SHP700133,Kemi Yusuf,Truck (Big),PHC-853AA,Kano,Kaduna,2025/07/28,30 July 2025,438.7,279767.4,Returned to Sender,"N52,771",0244 510 7622,"₦2,201.00",Y
SHP700316,Tunde Adekunle,VAN,LND-251BX,Enugu,Onitsha,09/17/2025,2025/09/17,10.6,167202.6,In Transit,"₦63,654.00",55743132912,  ,true
SHP700180,ZAINAB ADEKUNLE,Tricycle (Keke),,Enugu,Onitsha,2025-04-22,27 April 2025,NIL,53571.7,Cancelled,41425.00 naira,02253584143,2126.0,0
SHP700128,Tobi Abubakar,Truck (Big),KJA-497BX,Enugu,Onitsha,03/01/2026,08 January 2026,41.2,31.9,delivered,23487.00 naira,22961201836,null,1
SHP700143,Segun Yusuf,Bike,PHC-873BX,Enugu,Onitsha,12.11.2025,15 November 2025,147.5,5.77,Returned to Sender,"NGN 37,998",79359782071,"NGN 16,378",1
SHP700257,Adaeze Mohammed,Van,LND-277KL,Kano,Kaduna,06/18/2026,19-Jun-2026,292.9,32.78,In Transit,"N36,905",(371) 240-6596,"NGN 26,153",0
SHP700378,Chidi Lawal,bike,PHC-147KL,Abuja,Kaduna,2025/08/09,13 August 2025,247.7,121947.3,delivered,30115.00 naira,234-689-421-044,NIL,No
SHP700195,Femi Lawal,Tricycle (Keke),ABJ-127AA,Kano,Kaduna,2025/10/07,2025/10/14,376.0,416225.7,Cancelled,"N77,217",invalid,"N38,884",no
SHP700352,Grace Chukwu,Tricycle (Keke),ABJ-731KL,Lagos,Benin,03/24/2026,26/03/2026,275.5,279173.6,In Transit,"NGN 1,969",234-686-854-870,"₦21,106.00",yes
SHP700028,Funmilayo Ajayi,VAN,LND-972BX,Enugu,Onitsha,16-Jan-2025,23/01/2025,651.6,390871.9,delivered,78398.0,09399091699,"₦28,748.00",Y
SHP700250,Ngozi Abubakar,Truck,ABJ-614KL,Kano,Kaduna,10/06/2025,17-Jun-2025,74.9,239.39,Delayed,"77,510.00 ",(662) 961-9431,  ,0
SHP700146,Kemi Lawal,Van,KJA-153KL,Abuja,Kaduna,2026/04/30,2026-04-30,537.3,79.73,In Transit,"₦2,246.00",0518 644 9251,7890.0,N
SHP700236,BLESSING OKAFOR,Bike,KJA-927KL,Lagos,Lagos (Intra-city),2026-02-01,,163.6,62.82,Returned to Sender,"₦18,959.00",0048 996 4235,Unknown,0
SHP700074,Funmilayo Yusuf,VAN,PHC-689AA,Lagos,Benin,04.11.2025,11/05/2025,292.0,89229.8,delivered,"₦65,596.00",77752047116,"32,312.00 ",No
SHP700302,Tunde Chukwu,Tricycle (Keke),PHC-940KL,Lagos,Ibadan,24/10/2025,2025-10-27,120.9,57693.3,DELAYED,76873.0,0000000000,nil,no
SHP700359,  BLESSING BELLO,Bike,ABJ-341AA,Lagos,Benin,12/08/2025,N/A,710.8,383028.6,delivered,"NGN 34,403",0148 628 9023,28837.0,No
SHP700215,Ifeoma Adekunle,Truck (Big),KJA-629BX,Lagos,Lagos (Intra-city),2025/02/15,2025/02/17,280.6,463155.4,In Transit,"NGN 13,910",invalid,N/A,0
SHP700238,Ifeoma Nwosu,Truck,LND-685AA,Kano,Kaduna,2026/02/21,02/22/2026,381.1,248.04,delivered,"₦53,712.00",05228728080,"NGN 25,799",yes
SHP700353,Sadiq Lawal,VAN,PHC-602AA,Lagos,Ibadan,09.10.2025,,224.5,137.45,delivered,"62,972.00 ",0986 162 2999,6538.00 naira,false
SHP700351,Funmilayo Balogun,Bike,ABJ-623BX,Lagos,Ibadan,2025-08-26,27-Aug-2025,890.2,72.09,Cancelled,"31,142.00 ",02061632945,34003.0,yes
SHP700066,Emeka Nwosu,Tricycle (Keke),ABJ-497AA,Kano,Kaduna,22/06/2026,2026/06/27,290.3,--,delivered,"₦52,015.00",(379) 965-0752,23236.00 naira,no
SHP700283,Ifeoma Chukwu,VAN,LND-546AA,Lagos,Ibadan,11 May 2025,2025/05/13,309.1,379797.9,Returned to Sender,--,(254) 494-8126,"₦38,918.00",TRUE
SHP700322,Amaka Nwosu,VAN,LND-702BX,Port Harcourt,Aba,26-Mar-2026,27.03.2026,346.1,unknown,Delivered,"₦48,611.00",01372151070,26973.00 naira,no
SHP700084,OBINNA BALOGUN   ,Truck,ABJ-491AA,Enugu,Onitsha,10/01/2025,01/10/2025,12.2,494.08,delivered,63980.0,+234429671756,nil,No
SHP700138,Chioma Okonkwo,Bike,  ,Kano,Kaduna,16 August 2025,,74.4,270613.6,In Transit,"NGN 47,305",(188) 355-2312,8989.00 naira,1
SHP700346,Grace Okeke,Truck,PHC-195AA,Port Harcourt,Aba,28-Nov-2025,01-Dec-2025,416.3,101732.0,DELAYED,"₦47,140.00",07741862565,"NGN 10,820",FALSE
SHP700018,Yusuf Ajayi,VAN,LND-896AA,Lagos,Benin,02/09/2025,2025/09/08,118.0,128493.7,DELAYED,"₦53,875.00",71331509839,6600.0,no
SHP700126,zainab afolabi,Tricycle (Keke),KJA-893BX,Lagos,Benin,2026/01/09,01/13/2026,727.9,2.91,delivered,"₦75,509.00",05851493689,"26,002.00 ",FALSE
SHP700041,Amara Suleiman,VAN,LND-560KL,Lagos,Ibadan,13-Jan-2026,13.01.2026,749.4,253780.4,delivered,"N8,541",0000000000,"N21,915",no
SHP700204,Musa Chukwu,Truck,KJA-162AA,Enugu,Onitsha,2026-04-27,2026/04/27,430.9,-,Delayed,"₦35,896.00",+234733848421,null,No
SHP700030,tunde  nwosu,Truck (Big),PHC-381AA,Port Harcourt,Aba,2026/03/11,2026-03-18,257.0,192654.3,DELAYED,"N30,919",10799118384,"N31,164",Y
SHP700290,Aliyu Lawal,Tricycle (Keke),KJA-241KL,Port Harcourt,Aba,29 May 2025,05.06.2025,86.0,NIL,Cancelled,45500.0,+234206436110,"₦10,937.00",Yes
SHP700019,Aliyu Chukwu,Truck (Big),PHC-824AA,Kano,Kaduna,2026/01/15,22.01.2026,66.7,424.86,DELAYED,unknown,0301 031 0518,"NGN 27,391",0
SHP700058,Funmilayo Lawal,VAN,PHC-504BX,Port Harcourt,Aba,2025-08-19,,549.0,unknown,delivered,22913.00 naira,(653) 755-6464,"NGN 23,357",No
SHP700232,  sadiq nnamdi   ,Van,ABJ-361AA,Lagos,Lagos (Intra-city),2026/02/16,2026/02/21,--,n/a,Cancelled,"NGN 76,066",00139837354,?,FALSE
SHP700263,Sadiq Olawale,Bike,PHC-991KL,Lagos,Lagos (Intra-city),11/19/2025,,526.1,29092.2,delivered,"NGN 64,245",05891135290,20058.00 naira,N
SHP700033,Adaeze Chukwu,Truck,KJA-162BX,Kano,Kaduna,08.06.2025,2025/06/09,367.1,469557.0,Delivered,"NGN 67,197",(449) 353-4874,"N33,533",FALSE
SHP700115,Adaeze Nnamdi,Truck (Big),PHC-190BX,Enugu,Onitsha,23-May-2026,23-May-2026,Unknown,N/A,DELAYED,"N51,951",(352) 904-2284,26875.00 naira,no
SHP700197,Chinedu Mohammed,Truck,PHC-521BX,Port Harcourt,Aba,10/05/2025,08.10.2025,618.5,267.44,DELAYED,"81,033.00 ",74993097289,6331.00 naira,No
SHP700384,Zainab Balogun,Truck (Big),null,Lagos,Lagos (Intra-city),2026-01-05,,468.0,473.0,Delivered,"₦12,184.00",08914117393,NIL,true
SHP700011,Kunle Afolabi,Truck (Big),ABJ-373AA,Lagos,Benin,31.08.2025,,778.8,12880.8,Cancelled,"30,696.00 ",+234871012269,-,yes
SHP700329,Aliyu Suleiman,Truck (Big),LND-994KL,Lagos,Lagos (Intra-city),,2025-07-20,312.1,116.4,In Transit,"₦84,840.00",80396522395,null,TRUE
SHP700178,Chidi Okeke,bike,KJA-793KL,Port Harcourt,Aba,10/12/2025,,449.0,327.34,Delayed,"NGN 19,821",06912517785,"N4,162",N
SHP700241,Ibrahim Okeke,Truck (Big),ABJ-250BX,Abuja,Kaduna,2025-05-21,not set,36.7,256806.3,Delivered,"₦36,742.00",+234084840862,"N14,979",false
SHP700242,Tunde Ogundimu,Bike,PHC-324AA,Enugu,Onitsha,06-Dec-2025,09.12.2025,317.7,308.24,delivered,32889.00 naira,01823398454,"₦4,802.00",No
SHP700339,Obinna Olawale,Truck,KJA-493BX,Lagos,Lagos (Intra-city),26/03/2026,2026-03-29,404.7,48900.9,Delivered,"₦30,503.00",0626 765 8617,"NGN 35,643",yes
SHP700065,  Emeka Suleiman,Truck (Big),KJA-691KL,Lagos,Abuja,02/04/2025,06 February 2025,404.6,22596.2,Delivered,"N47,986",+234776945314,18234.00 naira,no
SHP700125,Fatima Eze,bike,  ,Lagos,Lagos (Intra-city),05/08/2025,2025-08-12,374.3,110783.6,Delivered,"₦25,309.00",0945 198 3273,"NGN 25,421",FALSE
SHP700364,Chioma Nnamdi,Bike,KJA-752KL,Enugu,Onitsha,02/11/2025,2025/02/15,73.5,304.87,Cancelled,82091.0,234-290-349-446,22488.0,false
SHP700210,Sadiq Ogundimu,Bike,ABJ-404AA,Abuja,Kaduna,17-Sep-2025,2025-09-23,175.0,451.63,Cancelled,40836.00 naira,15274205493,"₦36,905.00",Y
SHP700049,Segun Bello,Bike,ABJ-795BX,Lagos,Benin,01.02.2025,,340.8,34083.1,Delayed,"NGN 55,738",16328708317,Unknown,No
SHP700216,Tunde Chukwu,Truck,ABJ-697AA,Lagos,Ibadan,29-Mar-2026,2026/04/01,-,  ,delivered,"NGN 11,686",01878519108,"₦7,843.00",false
SHP700072,Chioma Mohammed,Truck,null,Kano,Kaduna,29.03.2025,31-Mar-2025,696.1,356.7,Cancelled,"₦10,125.00",(413) 435-2408,"NGN 14,328",yes
SHP700292,Chidi Nnamdi,Truck,PHC-521KL,Lagos,Abuja,2025/01/13,,514.4,  ,Delivered,"₦51,948.00",0627 136 1115,"27,836.00 ",TRUE
SHP700383,Bola Okonkwo,bike,LND-266AA,Abuja,Kaduna,25 January 2026,01/30/2026,49.0,103.21,Delayed,41411.00 naira,00461849926,--,No
SHP700211,Grace Okonkwo,Truck (Big),ABJ-103BX,Port Harcourt,Aba,03 June 2026,,237.0,226.9,DELAYED,70857.0,29668516122,37698.00 naira,false
SHP700107,Tobi Olawale,Van,KJA-328KL,Lagos,Benin,2025-10-28,01/11/2025,74.2,362.73,Returned to Sender,"N49,956",+234123685160,"NGN 34,965",yes
SHP700265,  Yusuf Balogun,Tricycle (Keke),KJA-325KL,Enugu,Onitsha,2025/06/22,2025/06/24,533.9,NIL,Delayed,74307.0,89937567982,36586.0,false
SHP700271,Bisi Abubakar,Bike,ABJ-982KL,Lagos,Ibadan,00/00/0000,not set,301.2,32.43,Returned to Sender,22940.0,04191825537,15815.00 naira,1
SHP700297,Segun Balogun,bike,  ,Port Harcourt,Aba,N/A,15/02/2026,371.1,256483.4,Cancelled,"NGN 72,795",36403761379,  ,TRUE
SHP700331,Adaeze Adekunle,Tricycle (Keke),PHC-119BX,Enugu,Onitsha,N/A,2025/05/03,467.9,139.34,Delayed,79758.0,234-270-103-930,24456.0,no
SHP700234,Segun Abubakar,bike,KJA-146AA,Port Harcourt,Aba,2025-06-21,,521.9,125819.0,delivered,"NGN 47,966",(467) 854-4587,32478.0,true
SHP700189,blessing ajayi,Truck (Big),ABJ-241BX,Lagos,Abuja,10-Dec-2025,13.12.2025,33.6,55927.8,Delayed,43548.00 naira,234-395-004-797,20477.00 naira,No
SHP700168,Femi Olawale,VAN,LND-379AA,Port Harcourt,Aba,24 January 2025,2025-01-25,521.9,96676.5,delivered,"N68,634",234-451-154-479,14872.00 naira,Y
SHP700225,chidi eze   ,Tricycle (Keke),LND-351BX,Lagos,Abuja,30/07/2025,2025/08/05,90.4,381101.4,Returned to Sender,"NGN 36,714",0079 030 6738,36126.0,true
SHP700053,Yusuf Ogundimu,Tricycle (Keke),ABJ-448KL,Port Harcourt,Aba,2026-05-10,05/15/2026,451.8,149.07,Delivered,28146.00 naira,+234623166587,--,FALSE
SHP700197,Chinedu Mohammed,Truck,PHC-521BX,Port Harcourt,Aba,10/05/2025,08.10.2025,618.5,267.44,DELAYED,"81,033.00 ",74993097289,6331.00 naira,No
SHP700299,Yusuf Adeyemi,Truck,PHC-593BX,Lagos,Abuja,2025/10/08,14 October 2025,168.9,262626.6,Delivered,"N61,847",27109104300,37681.0,false
SHP700231,Femi Eze,Bike,ABJ-733KL,Enugu,Onitsha,not set,19/10/2025,583.1,398181.3,In Transit,"NGN 81,858",17518304699,"₦24,023.00",TRUE
SHP700222,Adaeze Lawal,Truck (Big),,Lagos,Ibadan,2025-12-08,12-Dec-2025,353.5,424383.8,Returned to Sender,"NGN 79,904",05128682300,unknown,no
SHP700182,chinedu adeyemi,VAN,PHC-794KL,Abuja,Kaduna,16/05/2026,,443.7,482494.4,Cancelled,"N77,249",29959001094,,yes
SHP700147,Ngozi Lawal,Tricycle (Keke),ABJ-121KL,Lagos,Benin,2026-05-27,03 June 2026,86.8,30.36,In Transit,48820.00 naira,0254 629 1486,33591.0,No
SHP700175,Aliyu Chukwu,Truck (Big),?,Lagos,Ibadan,2025/12/18,22-Dec-2025,9.1,234881.6,delivered,"84,195.00 ",234-518-844-225,"₦6,819.00",yes
SHP700109,Bisi Nnamdi,Truck,KJA-232AA,Kano,Kaduna,05/04/2026,,null,475059.3,Returned to Sender,"NGN 51,297",+234985931746,"NGN 36,253",N
SHP700237,Ngozi Adekunle,Truck (Big),ABJ-635KL,Lagos,Benin,2025/07/18,,595.6,33.15,Returned to Sender,"N22,619",0693 785 4777,"₦37,837.00",no
SHP700399,Ibrahim Suleiman,Truck,KJA-338KL,Port Harcourt,Aba,29-Jan-2025,03 February 2025,nil,107994.5,Delivered,"₦66,181.00",0503 758 9975,"NGN 29,837",FALSE
SHP700067,Zainab Ajayi,Tricycle (Keke),ABJ-665BX,Port Harcourt,Aba,16 January 2025,20 January 2025,194.6,373.57,DELAYED,83440.00 naira,+234545494808,"N17,729",N
SHP700172,Wale Afolabi,Truck,LND-696AA,Enugu,Onitsha,20.07.2025,24 July 2025,490.8,Unknown,DELAYED,"₦83,221.00",07192856543,"NGN 28,684",no
SHP700387,  bisi mohammed,VAN,PHC-747AA,Lagos,Abuja,13/09/2025,09/13/2025,105.7,486991.4,Returned to Sender,"41,645.00 ",(114) 374-4701,39723.00 naira,yes
SHP700064,Grace Chukwu   ,Truck (Big),LND-874AA,Kano,Kaduna,2026/01/19,01/25/2026,215.7,188.13,In Transit,79774.0,71657262849,NULL,No
SHP700154,Funmilayo Okeke,bike,LND-888BX,Enugu,Onitsha,09.02.2026,16-Feb-2026,NULL,133495.4,Delayed,14525.0,81814124782,n/a,yes
SHP700037,Chinedu Okonkwo,Van,PHC-171AA,Abuja,Kaduna,16/03/2026,19-Mar-2026,761.4,329086.7,delivered,28586.0,+234869232260,  ,No
SHP700374,Emeka Ogundimu,VAN,LND-235KL,Enugu,Onitsha,06/20/2026,27 June 2026,226.9,nil,delivered,7600.00 naira,0972 521 7525,NULL,FALSE
SHP700282,Chidi Okeke,Truck,ABJ-765BX,Lagos,Lagos (Intra-city),08/11/2025,N/A,104.8,370775.4,Delivered,7752.00 naira,92330958498,30918.00 naira,Y
SHP700206,  zainab okeke,Van,KJA-914AA,Port Harcourt,Aba,29.09.2025,04-Oct-2025,556.8,402.4,delivered,"₦65,247.00",N/A,10092.0,0
SHP700191,Blessing Yusuf,Truck (Big),KJA-275BX,Lagos,Lagos (Intra-city),2026-02-26,2026-02-26,367.6,333094.7,In Transit,"NGN 60,936",09835841687,"₦27,322.00",N
SHP700117,Bisi Ogundimu,bike,ABJ-610AA,Abuja,Kaduna,00/00/0000,21.04.2026,109.0,54.33,Returned to Sender,"16,000.00 ",02681177589,35542.00 naira,1
SHP700373,Musa Eze,Truck,PHC-570KL,Kano,Kaduna,15.01.2025,2025-01-18,603.5,112542.8,Delivered,80994.00 naira,(168) 460-2235,"₦22,434.00",Yes
SHP700397,Aliyu Okonkwo,bike,PHC-742KL,Abuja,Kaduna,2025/01/22,2025-01-27,271.7,207.56,In Transit,"NGN 28,233",+234751701660,33443.0,TRUE
SHP700170,OBINNA OKAFOR,Truck,ABJ-620AA,Lagos,Benin,22/09/2025,23 September 2025,221.0,441260.7,In Transit,53343.00 naira,0658 202 9702,NIL,FALSE
SHP700124,Yusuf Suleiman,VAN,ABJ-405KL,Port Harcourt,Aba,30.03.2025,04/04/2025,518.2,330531.2,Delivered,"N4,988",(098) 851-6560,13578.0,false
SHP700003,Kemi Balogun,Tricycle (Keke),PHC-246BX,Abuja,Kaduna,29 November 2025,05-Dec-2025,759.4,402620.4,In Transit,"₦44,045.00",,  ,1
SHP700149,Tobi Lawal,VAN,KJA-150BX,Lagos,Benin,02/02/2025,05.02.2025,nil,321055.0,Delayed,-,05733221418,"₦12,101.00",No
SHP700366,Funmilayo Olawale,bike,ABJ-789BX,Port Harcourt,Aba,not set,2026-04-24,NIL,270.96,Delayed,26887.0,0085 899 4417,n/a,FALSE
SHP700272,Zainab Olawale,Truck,ABJ-804AA,Lagos,Ibadan,,09/16/2025,529.0,222737.7,In Transit,"NGN 50,914",0478 596 9691,--,true
SHP700196,halima okeke   ,VAN,-,Enugu,Onitsha,2026-03-23,,352.1,409231.3,Delivered,44408.0,04705516940,"NGN 8,351",no
SHP700024,Bisi Adekunle,Truck (Big),ABJ-581KL,Lagos,Ibadan,03/19/2026,25-Mar-2026,662.4,46.12,Cancelled,"N29,331",234-267-736-026,"N20,828",1
SHP700008,ADAEZE NNAMDI,Bike,N/A,Lagos,Ibadan,04 March 2025,03/09/2025,34.9,251.67,Delayed,"N34,548",234-648-350-305,"₦37,558.00",FALSE
SHP700106,Tobi Olawale,VAN,LND-771BX,Port Harcourt,Aba,12-Jul-2025,12 July 2025,139.2,401280.7,delivered,20067.00 naira,85884247451,"₦13,407.00",true
SHP700254,Chidi Okonkwo,bike,ABJ-654BX,Lagos,Ibadan,12/12/2025,,739.4,  ,Delayed,"NGN 2,500",60466183982,"NGN 26,698",No
SHP700105,Aliyu Bello,Tricycle (Keke),KJA-323BX,Lagos,Ibadan,18 August 2025,unknown date,450.6,354829.4,Delayed,"₦26,423.00",234-952-145-623,"NGN 34,737",false
SHP700038,Segun Afolabi,Van,null,Port Harcourt,Aba,30.03.2026,03/04/2026,NIL,207.38,In Transit,33247.0,56342160733,"4,739.00 ",Yes
SHP700164,Aliyu Ajayi,Truck,KJA-232KL,Abuja,Kaduna,2025/03/01,03/03/2025,102.8,344482.8,Delivered,11370.00 naira,72217043030,-,no
SHP700114,Chinedu Nnamdi,bike,ABJ-785BX,Lagos,Benin,10 May 2026,,65.9,32136.4,Delayed,"N56,920",(053) 293-1839,"₦25,291.00",Y
SHP700096,Yusuf Suleiman,bike,KJA-328KL,Lagos,Lagos (Intra-city),2025-11-06,2025/11/10,NIL,480350.7,Cancelled,72538.0,+234596158657,?,No
SHP700235,Chinedu Mohammed,Bike,PHC-104AA,Port Harcourt,Aba,2026/04/09,15.04.2026,371.2,230169.8,Returned to Sender,"4,084.00 ",17535560932,--,FALSE
SHP700348,Chioma Mohammed,Van,LND-270AA,Enugu,Onitsha,11/06/2026,18.06.2026,501.6,460.65,DELAYED,"NGN 47,182",0115 869 3806,-,FALSE
SHP700110,Tunde Chukwu,Truck (Big),LND-484KL,Lagos,Benin,18/02/2026,2026/02/18,22.1,N/A,Cancelled,"₦38,600.00",20047113826,  ,Yes
SHP700023,Ibrahim Adeyemi,Truck,ABJ-535AA,Lagos,Abuja,2025-06-10,unknown date,219.7,225526.6,Delayed,38169.00 naira,0473 178 1080,21018.00 naira,No
SHP700190,fatima  ogundimu,Van,KJA-214KL,Enugu,Onitsha,06/29/2026,2026/06/29,299.3,226.26,Delayed,36581.0,N/A,NULL,TRUE
SHP700287,Tunde Okafor,VAN,LND-235AA,Lagos,Abuja,2026/06/24,24/06/2026,127.9,301.85,DELAYED,"NGN 60,573",(637) 454-5892,"NGN 32,988",0
SHP700092,Tunde Okafor,VAN,LND-696KL,Lagos,Ibadan,19/02/2026,22-Feb-2026,769.9,nil,Delayed,?,49972787558,"N3,120",Y
SHP700269,Chioma Afolabi,Van,LND-198BX,Abuja,Kaduna,10/01/2025,,329.2,339.32,Cancelled,"N82,472",08258673622,null,false
SHP700261,AMAKA LAWAL,VAN,PHC-274AA,Lagos,Lagos (Intra-city),05/27/2025,28.05.2025,119.6,349.65,delivered,16758.0,0741 672 4342,"₦36,693.00",true
SHP700324,wale lawal,Bike,ABJ-845BX,Lagos,Lagos (Intra-city),18/02/2026,,65.5,NIL,Delivered,"NGN 38,368",02447209993,"N14,204",1
SHP700027,Wale Olawale,VAN,ABJ-685BX,Enugu,Onitsha,02/06/2025,09.06.2025,272.3,271943.3,DELAYED,,(208) 121-9136,"5,814.00 ",No
SHP700389,Fatima Chukwu,Truck (Big),ABJ-676KL,Lagos,Benin,2026-02-12,14/02/2026,738.9,71.28,DELAYED,"53,118.00 ",+234579415521,38295.00 naira,N
SHP700181,Segun Suleiman,Truck,LND-961BX,Lagos,Abuja,01/03/2026,2026/01/03,303.4,316.32,Delivered,"NGN 54,157",42498182992,"₦9,200.00",Yes
SHP700306,sadiq chukwu,Van,KJA-380BX,Port Harcourt,Aba,2025/05/05,09.05.2025,177.6,259.24,Cancelled,"NGN 78,516",07925241913,"N16,927",FALSE
SHP700198,Ifeoma Ajayi,Truck,N/A,Lagos,Abuja,15.05.2025,05/18/2025,269.6,NIL,DELAYED,"₦66,966.00",0623 091 3075,nil,true
SHP700156,Emeka Bello,VAN,LND-423BX,Lagos,Abuja,02/02/2026,2026/02/09,NULL,10029.6,Delayed,"NGN 29,353",234-615-305-152,"NGN 15,504",TRUE
SHP700298,Bola Olawale,Tricycle (Keke),LND-658AA,Enugu,Onitsha,04/22/2025,22.04.2025,409.8,100135.8,Delayed,NULL,18055269658,"₦11,579.00",Y
SHP700015,Amaka Suleiman,Van,PHC-560BX,Abuja,Kaduna,2025-05-05,2025-05-12,448.5,445767.2,In Transit,"NGN 24,188",+234570154303,n/a,false
SHP700274,Tunde Bello,Van,PHC-207AA,Lagos,Abuja,2026-01-07,2026-01-14,818.8,434.49,Returned to Sender,"₦24,133.00",invalid,"NGN 16,803",false
SHP700025,Tobi Suleiman,Bike,ABJ-630BX,Lagos,Ibadan,11-Apr-2026,04/14/2026,83.8,485.11,delivered,"₦41,973.00",+234474687234,"₦13,809.00",1
SHP700161,CHIOMA AFOLABI,Tricycle (Keke),LND-356BX,Lagos,Benin,20.04.2026,2026/04/21,747.8,90.3,Returned to Sender,60558.0,(621) 851-8888,"NGN 16,390",Y
SHP700289,ALIYU NNAMDI,bike,KJA-456AA,Lagos,Lagos (Intra-city),2025-05-02,03.05.2025,327.6,447.85,delivered,"₦13,740.00",0063 242 4154,6300.00 naira,false
SHP700278,Chioma Chukwu,Tricycle (Keke),LND-599AA,Lagos,Ibadan,12/31/2025,05-Jan-2026,259.0,177.27,Delayed,10576.00 naira,+234034043842,,no
SHP700293,Ngozi Abubakar,Bike,ABJ-501AA,Port Harcourt,Aba,29 May 2026,2026/06/05,278.9,46422.3,In Transit,"NGN 6,065",234-262-218-909,?,no
SHP700301,HALIMA OLAWALE,bike,PHC-490BX,Lagos,Abuja,27-May-2026,28.05.2026,256.5,,Returned to Sender,"₦79,363.00",(241) 418-3285,5789.00 naira,FALSE
SHP700158,Funmilayo Balogun,VAN,LND-288BX,Port Harcourt,Aba,21/06/2026,2026-06-27,819.1,328.29,delivered,"NGN 79,426",03289861434,?,FALSE
SHP700046,ibrahim afolabi,bike,KJA-169KL,Enugu,Onitsha,06 March 2025,12/03/2025,104.2,316.16,Delayed,"NGN 63,901",+234738721489,25874.0,false
