PlotID,OwnerName,OwnerPhone,LandUseCategory,TenureType,PlotSizeField,LandValueNGN,ZoningStatus,ApplicationDate,ApprovalDate,LGA,State,SurveyNumber,DisputeFlagged,GroundRentPaid
LND800313,Chioma Okeke,234-394-065-578,Industrial,COO,335965.65,"₦187,065,838.07",Under Review,06 April 2018,2020-03-03,Akwa Ibom LGA,Imo,null,yes,Yes
LND800281,Bisi Ogundimu,04010424624,residential,Certificate of Occupancy,46770.97,"N212,838,861",Rejected,22/04/2022,2023/01/16,Edo LGA,Edo,SRV/21135/2010,Yes,Y
LND800430,obinna yusuf,(453) 931-3215,Mixed Use,Deed of Assignment,24551.73,"₦3,680,858,936.78",Revoked,01/03/2016,17-Oct-2016,ANAMBRA LGA,Cross River,SRV/25547/2023,yes,false
LND800307,Musa Eze,(055) 738-5736,Agricultural,c of o,46428.86,nil,Under Review,2015-12-03,2017-05-03,ABUJA LGA,Kaduna,SRV/10196/2016,true,N
LND800022,Emeka Okonkwo,00622723626,Commercial,Right of Occupancy,39224.45,"NGN 1,722,699,576",Pending,15-Aug-2020,13.08.2021,cross river lga,Plateau,SRV/57375/2013,FALSE,false
LND800063,Sadiq Lawal,234-815-899-886,Agric,Certificate of Occupancy,13987.47,"N2,046,436,485",Under Review,15 September 2016,30-Jun-2018,rivers lga,Lagos,SRV/35859/2012,false,TRUE
LND800217,Amaka Eze   ,12198041847,residential,Leasehold ,49069.79,2846041629.35 naira,Rejected ,01-Nov-2022,,PLATEAU LGA,Port Harcourt,SRV/84645/2015,0,1
LND800450,Emeka Lawal,06083200487,Agric,c of o,16089.09,"N588,083,903",Revoked,2021/04/30,06/21/2021,Akwa Ibom LGA,Kano,SRV/73127/2021,0,FALSE
LND800396,Emeka Lawal,+234182856053,Residential,Deed of Assignment,45515.1,"NGN 1,627,463,222",Pending,2017/10/28,,Edo LGA,Fct Abuja,SRV/39871/2016,TRUE,yes
LND800294,ZAINAB ADEYEMI,03016234190,Commercial,C of O,173865.4,35567887.13 naira,Revoked,25/04/2022,19/04/2024,Imo LGA,Kaduna,SRV/97746/2010,no,FALSE
LND800046,kunle balogun,234-785-193-583,COMMERCIAL,COO,84892.87,"NGN 3,186,056,385",Under Review,07-May-2017,,lagos lga,Lag,SRV/58631/2010,Y,1
LND800212,Kunle Okonkwo,19626335564,residential,CofO,43915.85,"NGN 2,658,746,355",Rejected ,21-Jan-2018,,Kaduna LGA,Kaduna,nil,yes,FALSE
LND800435,Tunde  Ajayi   ,0281 231 2392,Commercial,c of o,NIL,NIL,Rejected ,2021-10-30,2022/07/18,Anambra LGA,Rivers,SRV/14057/2025,yes,TRUE
LND800358,Chidi Nwosu,+234050537666,Agric,Leasehold,33596.24,  ,Approved,20-Feb-2015,2015-10-31,Abuja LGA,Anambra,SRV/44967/2025,TRUE,0
LND800096,Amara Okonkwo,52441822261,Govt Reserve,Certificate of Occupancy,  ,2669192987.12 naira,approved,09/21/2015,,Oyo LGA,Kaduna,SRV/72117/2013,1,Yes
LND800137,Chidi Lawal,0680 656 2590,Government Reserve,Leasehold,35834.83,"₦3,129,259,886.20",Approved,14.07.2023,05/06/2025,lagos lga,Akwa Ibom,unknown,Yes,Yes
LND800129,Musa Okeke,02951877941,Industrial ,CofO,Unknown,2971694822.52 naira,PENDING,03 October 2022,14.06.2023,Imo LGA,Akwa Ibom,SRV/11982/2020,false,TRUE
LND800299,Wale Afolabi,04426078197,Agricultural,COO,30084.96,2812564663.04,Approved,23 November 2022,,Cross River LGA,Akwa Ibom,SRV/99229/2012,N,N
LND800104,Zainab Afolabi,80290904637,Agric,CofO,39908.34,2036434452.3,Rejected ,26.12.2023,06.06.2024,delta lga,Plateau,SRV/64117/2018,1,1
LND800215,Adaeze Mohammed,234-645-345-472,Mixed use,Certificate of Occupancy,13588.81,4015724200.37 naira,Rejected ,2018/07/26,2019/07/09,OGUN LGA,Plateau,SRV/69163/2022,yes,true
LND800109,Femi Balogun,97519102312,COMMERCIAL,Certificate of Occupancy,15133.9,"NGN 3,173,191,415",PENDING,01-Aug-2018,30.12.2019,akwa ibom lga,Lagos,SRV/10868/2010,1,No
LND800038,IBRAHIM NWOSU,25013948848,COMMERCIAL,C of O,29684.61,"N1,699,422,663",Rejected,27/12/2018,07.12.2020,PLATEAU LGA,Edo,SRV/98445/2024,N,Yes
LND800233,KEMI ADEKUNLE,(201) 284-0083,COMMERCIAL,Certificate of Occupancy,,"N2,157,101,154",Rejected,06/01/2021,30.07.2022,ENUGU LGA,Abuja,SRV/50357/2017,false,Yes
LND800237,Segun Olawale,0196 463 0040,Mixed Use,Right of Occupancy,25495.84,"₦4,376,345,215.81",Pending,03/01/2020,07.11.2021,Anambra Lga,Edo,SRV/97817/2015,Yes,true
LND800051,Wale Okonkwo,0509 059 1191,Mixed Use,Deed,8613.17,"₦3,168,668,002.32",Under Review,15/09/2021,,imo lga,Edo,SRV/44098/2016,Y,true
LND800187,Amara Ajayi   ,02688122821,COMMERCIAL,Certificate of Occupancy,493895.59,"NGN 154,319,447",Revoked,20.10.2015,09/14/2016,abuja lga,Anambra,SRV/77313/2024,Yes,1
LND800408,Sadiq Olawale,+234829968722,Industrial,Right of Occupancy,380124.09,"₦4,381,995,759.43",approved,04/04/2023,30 November 2024,Plateau Lga,Edo,n/a,N,no
LND800388,Chinedu Ajayi,01703211920,Mixed Use,CofO,39161.14,"NGN 3,944,447,376",Approved,11-Mar-2021,07/30/2021,Anambra Lga,Edo,SRV/30107/2021,1,TRUE
LND800391,Segun Yusuf,234-029-502-648,Agricultural,Deed,45543.9,--,PENDING,2019-08-27,N/A,oyo lga,Cross River,SRV/27403/2017,TRUE,No
LND800199,Funmilayo Balogun,49785249141,Govt Reserve,c of o,47580.67,"N3,860,222,350",Rejected,09 June 2019,,Lagos Lga,Lagos,SRV/13377/2016,No,Yes
LND800103,Kemi Yusuf,+234447650471,Residential,COO,42453.2,4976645324.36 naira,approved,2022-11-22,03/11/2023,Akwa Ibom Lga,Edo,SRV/82896/2023,0,N
LND800098,Fatima Ogundimu,(710) 267-6720,Govt Reserve,Right of Occupancy,28242.32,,Revoked,not set,10 September 2016,Abuja LGA,Enugu,SRV/47516/2025,FALSE,Y
LND800438,Chidi Adeyemi,08172257754,Government Reserve,c of o,42131.01,--,PENDING,2021-06-17,2022-02-22,Abuja LGA,Kaduna,SRV/61778/2022,No,no
LND800155,Bisi Nwosu,(720) 113-7984,Mixed use,CofO,328188.44,704407498.9,Revoked,2018/08/19,12 September 2019,Abuja LGA,Abuja,SRV/13505/2021,TRUE,0
LND800309,Halima Abubakar,234-118-723-335,Agric,COO,53161.57,1707684976.64,Rejected ,03/08/2019,2019-09-17,Cross River LGA,Cross River,SRV/58438/2013,TRUE,TRUE
LND800296,  funmilayo olawale,N/A,COMMERCIAL,CofO,1898.41,2214982878.24,Approved,16.01.2018,21-Sep-2019,Edo LGA,Akwa Ibom,  ,1,FALSE
LND800139,Kunle Adekunle,21823155516,Agric,Certificate of Occupancy,43292.21,"N4,534,458,475",Rejected ,11/07/2017,,cross river lga,lagos,SRV/17874/2022,true,0
LND800362,Bisi Olawale,0269 177 6829,residential,c of o,37782.84,"₦269,159,817.08",Revoked,2021/05/12,2021-11-26,plateau lga,Akwa Ibom,SRV/25793/2021,true,TRUE
LND800350,Chinedu Okafor,75617868800,Industrial,Certificate of Occupancy,15985.8,1939186646.79 naira,Rejected ,09 October 2020,06/11/2021,Plateau LGA,Edo,SRV/94008/2014,FALSE,No
LND800434,  Halima Okonkwo,invalid,Mixed Use,Deed,62166.94,1490678528.09 naira,approved,2016-01-22,28 September 2016,Imo LGA,Lagos,SRV/21984/2024,false,false
LND800318,Amaka Bello,+234261632488,Commercial,Deed of Assignment,18834.52,"₦415,991,319.44",Rejected ,12/20/2020,2021-03-13,Rivers LGA,Abuja,SRV/93778/2020,Y,yes
LND800157,Grace Okonkwo,(767) 620-9014,Mixed Use,COO,28164.98,"NGN 605,388,110",approved,,03/09/2016,Anambra LGA,Anambra,SRV/62144/2021,Yes,0
LND800285,Zainab Chukwu,234-448-818-984,Mixed use,C of O,180.6,"₦4,909,988,763.95",Under Review,2015-04-22,,Plateau LGA,Anambra,SRV/71110/2010,true,Y
LND800077,Zainab Nwosu,234-136-957-279,Mixed use,COO,22443.73,"1,542,445,995.17 ",PENDING,12/01/2020,,KANO LGA,Oyo State,SRV/27077/2024,1,No
LND800067,KEMI NWOSU,(250) 800-4635,residential,CofO,7567.71,"₦1,102,215,320.98",Approved,11/14/2016,unknown date,Akwa Ibom LGA,Cross River,SRV/52738/2011,yes,TRUE
LND800200,Halima Mohammed,06860134778,residential,Certificate of Occupancy,134862.05,"N4,327,252,138",Under Review,2016/04/18,2016-05-21,Abuja LGA,Enugu,SRV/21058/2010,1,yes
LND800161,BISI MOHAMMED,234-965-754-278,COMMERCIAL,Right of Occupancy,44315.82,1321150705.7,Rejected ,22.08.2023,12 August 2025,Akwa Ibom Lga,Kaduna,SRV/68893/2021,no,Y
LND800014,TOBI  ADEYEMI   ,0855 245 7871,Residential,Deed of Assignment,39361.84,"3,686,124,807.76 ",PENDING,23/05/2023,18/04/2025,Lagos LGA,Imo,SRV/72030/2018,yes,no
LND800330,Ibrahim Nnamdi,87478122489,COMMERCIAL,COO,NULL,"N2,311,461,195",Approved,2020-01-16,2021/04/25,Ogun LGA,Enugu,SRV/61302/2024,1,Y
LND800243,Yusuf Yusuf,+234128333721,COMMERCIAL,Deed of Assignment,217184.58,2016332816.02 naira,Under Review,12/02/2015,00/00/0000,EDO LGA,Imo,SRV/75237/2018,yes,Yes
LND800413,FEMI AFOLABI   ,(423) 289-4633,Residential,C of O,?,"4,826,340,829.68 ",Pending,15.11.2016,2017-03-28,lagos lga,Lagos,SRV/11869/2012,true,yes
LND800312,Yusuf Yusuf,+234820736511,Commercial,Leasehold,25836.97,"N2,490,005,834",Rejected ,16/01/2015,,Oyo LGA,Ogun,SRV/75945/2015,Y,yes
LND800306,chioma olawale,(999) 516-7933,Commercial,C of O,139187.45,"₦1,314,767,646.53",Rejected,03 August 2017,07.04.2019,enugu lga,Kaduna,SRV/12251/2017,yes,N
LND800331,Musa Afolabi,(056) 708-6700,Industrial ,Deed of Assignment,18074.48,"N3,960,290,363",approved,14-May-2021,,enugu lga,Ogun,SRV/52945/2018,no,true
LND800405,Aliyu Okafor,(457) 887-0715,Govt Reserve,Leasehold ,9865.09,"3,948,872,397.14 ",Rejected,2015-09-16,28-Feb-2017,cross river lga,Imo,SRV/23814/2010,true,No
LND800086,Funmilayo Adeyemi,26425064207,residential,C of O,1337.75,"₦797,852,219.78",Revoked,05-Jun-2015,20.03.2017,ENUGU LGA,Rivers State,SRV/52336/2016,No,N
LND800194,Wale Mohammed,17588914444,Commercial,Leasehold,346410.38,"2,231,360,211.24 ",Rejected ,not set,19 February 2024,Enugu LGA,Abuja,NULL,FALSE,Yes
LND800218,Tunde Bello,234-426-423-642,Mixed use,Leasehold ,228606.15,"N3,434,890,963",PENDING,2022-04-25,2023-12-11,Rivers LGA,Lagos,SRV/13393/2016,No,N
LND800262,bola afolabi,01783325848,Agricultural,Right of Occupancy,16978.75,3903586128.33 naira,Approved,2022-06-17,08/25/2023,Edo LGA,Enugu,  ,No,TRUE
LND800081,Adaeze Nwosu,(822) 850-1168,Government Reserve,c of o,21038.4,"NGN 1,182,888,376",Pending,31.01.2022,27/01/2024,Cross River LGA,Fct Abuja,NIL,yes,1
LND800117,Blessing Olawale,+234575747583,Industrial ,Deed of Assignment,8239.16,"NGN 4,524,201,207",Approved,28 February 2020,,Anambra LGA,Lagos State,SRV/78576/2013,Yes,TRUE
LND800201,Amara Yusuf,0489 634 0679,Govt Reserve,Deed of Assignment,482229.35,"N1,117,313,554",Rejected,03-Jul-2018,05/01/2019,ENUGU LGA,Kaduna,SRV/45201/2011,1,Yes
LND800148,Aliyu Afolabi,0321 061 3394,residential,Certificate of Occupancy,16693.01,218183504.77,Revoked,2017-11-30,29.11.2019,CROSS RIVER LGA,Oyo State,SRV/80920/2013,Yes,true
LND800348,Yusuf Chukwu,18093391373,Government Reserve,c of o,10577.37,"1,003,599,263.25 ",Rejected ,15-Feb-2016,11.08.2017,KADUNA LGA,Plateau,SRV/60042/2023,1,FALSE
LND800311,  MUSA OGUNDIMU,+234391149830,Mixed Use,Leasehold,28235.52,"₦494,405,798.26",Approved,07 February 2017,24.12.2017,delta lga,Enugu,SRV/35259/2017,true,N
LND800128,chinedu adeyemi,+234337970581,residential,Leasehold,-,"N945,152,019",PENDING,2017/09/22,06 November 2017,Oyo LGA,Kaduna,SRV/60405/2021,0,TRUE
LND800193,HALIMA BALOGUN   ,+234769899927,Agric,CofO,25881.07,"N2,277,856,111",Revoked,31.07.2020,,Kaduna Lga,rivers,SRV/98058/2017,1,No
LND800344,Femi Lawal,98803153888,COMMERCIAL,c of o,30857.67,"NGN 2,103,783,857",Rejected ,23.03.2022,,Plateau LGA,Akwa Ibom,SRV/56362/2011,1,FALSE
LND800393,Halima Yusuf,0781 277 8221,Industrial ,Right of Occupancy,47317.41,819691979.75,Revoked,10.04.2016,29-Aug-2016,Abuja LGA,Akwa Ibom,SRV/63387/2015,no,TRUE
LND800392,Sadiq Yusuf,16440373416,residential,Deed of Assignment,9309.0,1347254542.82,Revoked,2019/10/19,2020/05/21,Kaduna LGA,kano,NULL,no,1
LND800286,Musa Adeyemi,(416) 046-1540,Commercial,Certificate of Occupancy,36156.47,"NGN 1,641,361,985",Approved,27/11/2016,11-Apr-2017,Rivers LGA,abuja,SRV/88308/2024,no,0
LND800070,Bola Nwosu,(631) 403-5263,Mixed use,c of o,,"3,680,684,095.38 ",PENDING,02/09/2021,2022/08/14,Abuja LGA,Plateau,SRV/29665/2017,FALSE,1
LND800293,Emeka Olawale,(342) 929-1320,Industrial ,Leasehold ,15726.07,"4,949,589,155.61 ",Pending,2017-09-11,23.04.2019,Edo LGA,Plateau,SRV/54531/2014,false,0
LND800278,Ngozi Adeyemi,03095055605,Govt Reserve,Right of Occupancy,25001.33,"₦2,818,166,187.14",PENDING,,2023/03/30,Akwa Ibom LGA,Rivers,SRV/17184/2021,no,Y
LND800165,Aliyu Okeke,(048) 235-7155,Agricultural,C of O,21980.62,"NGN 1,117,146,339",Revoked,08-Oct-2021,,Edo LGA,Plateau,SRV/79002/2025,1,yes
LND800132,Kemi Suleiman,234-399-140-388,Mixed Use,Certificate of Occupancy,112882.5,"NGN 1,994,802,231",Pending,10/03/2020,2021/01/28,EDO LGA,abuja,SRV/62109/2025,FALSE,true
LND800332,Blessing Eze   ,(004) 365-5158,Govt Reserve,Leasehold ,36672.14,"1,721,190,021.80 ",Under Review,08/18/2020,15.06.2021,Delta LGA,Enugu,SRV/51997/2018,TRUE,true
LND800377,Kunle Adekunle,234-238-595-143,Govt Reserve,Certificate of Occupancy,44978.98,"₦2,842,433,132.78",approved,2019-10-23,02/08/2021,Kaduna LGA,Delta,SRV/59113/2018,yes,no
LND800376,Segun Lawal,0696 561 3087,Agric,COO,7147.43,"₦2,001,380,898.06",Rejected,2015/11/29,01 August 2016,Edo LGA,Kaduna,?,FALSE,TRUE
LND800402,fatima nnamdi,234-843-699-848,Industrial ,C of O,37648.49,916167263.64,Rejected,2016/06/04,2018-01-07,Rivers LGA,Ogun,SRV/68353/2024,no,no
LND800160,Ifeoma Adeyemi,234-825-588-255,COMMERCIAL,Leasehold,24271.45,"N1,214,458,782",Pending,2020/12/21,,Plateau LGA,Enugu,SRV/42747/2018,yes,true
LND800334,Ibrahim Olawale,0355 054 2960,residential,COO,49163.72,4901110147.34,Rejected ,15.03.2021,07 October 2021,Imo LGA,Edo,SRV/10694/2017,FALSE,TRUE
LND800443,Tobi Lawal,62165914388,COMMERCIAL,CofO,222916.41,4767928923.24 naira,approved,26.08.2019,,Enugu LGA,Kaduna,SRV/45659/2024,TRUE,false
LND800340,  Wale Yusuf,04642036258,Commercial,C of O,27837.05,"N892,950,075",Pending,20.02.2020,2021-10-19,cross river lga,Kano,SRV/95053/2011,0,false
LND800149,ZAINAB CHUKWU   ,09457039438,Agric,Deed of Assignment,40365.59,2436270530.19,Revoked,2017/02/13,03/23/2018,Akwa Ibom LGA,Akwa Ibom,SRV/95494/2017,no,TRUE
LND800100,Wale Lawal,01512294621,Industrial,COO,32618.01,"N1,554,887,105",Approved,30-Jul-2019,20 October 2019,ANAMBRA LGA,Kaduna,SRV/13969/2017,1,0
LND800412,Fatima Adeyemi,0428 679 6325,Government Reserve,Leasehold ,236845.46,"N226,418,085",PENDING,24 October 2018,2019-11-20,Akwa Ibom LGA,Kano,SRV/34686/2013,yes,no
LND800062,Amaka Suleiman,0000000000,Agric,Certificate of Occupancy,31150.27,"2,170,357,939.30 ",Pending,07.01.2022,21-Apr-2022,Imo LGA,Akwa Ibom,SRV/60952/2013,0,true
LND800284,Ifeoma Balogun,0145 512 9391,Government Reserve,Right of Occupancy,17065.56,"NGN 3,195,998,849",Approved,2017/09/16,07 July 2019,Ogun LGA,Rivers State,SRV/81806/2021,false,Y
LND800211,Amaka Okeke,(507) 896-7935,Agric,Deed,15398.04,301448997.10 naira,Revoked,05 September 2021,2022-10-26,OYO LGA,kano,SRV/25913/2019,N,0
LND800203,Aliyu Balogun,234-418-842-163,Agricultural,Right of Occupancy,8893.64,2782512849.49,Revoked,2020/12/20,03.03.2021,Lagos LGA,Delta,SRV/54492/2017,0,FALSE
LND800399,Zainab Eze,(212) 235-5216,Commercial,COO,442.06,"NGN 1,308,949,531",Approved,2015/03/31,03/08/2017,Cross River LGA,Port Harcourt,SRV/39095/2023,no,Yes
LND800263,Ngozi Abubakar,89993607984,Commercial,COO,491237.64,"NGN 19,592,046",PENDING,18.12.2015,21 August 2016,Plateau LGA,Anambra,SRV/54593/2012,0,false
LND800181,KUNLE  LAWAL,0000000000,Commercial,COO,3053.88,"926,234,829.02 ",approved,25-May-2021,12.06.2022,KADUNA LGA,Ogun,SRV/22841/2018,false,no
LND800366,Chioma Okonkwo,0859 914 4920,Residential,Deed,48693.72,"N3,051,842,096",Rejected ,16-Sep-2019,,Cross River LGA,kano,unknown,No,Y
LND800333,Kunle Yusuf,234-266-913-624,Agric,C of O,25031.01,"₦2,970,411,608.00",Approved,03/31/2018,09/08/2018,Enugu Lga,Cross River,SRV/83853/2019,N,TRUE
LND800049,Segun Olawale,+234940976263,Commercial,c of o,41575.6,4788729707.89,Pending,12/25/2023,2025-08-02,imo lga,Abuja,SRV/65446/2013,1,no
LND800018,Aliyu Afolabi,92988085838,Agricultural,Deed,19632.11,"₦3,766,508,606.68",PENDING,26.07.2018,12/29/2018,CROSS RIVER LGA,Rivers State,SRV/57131/2011,Yes,1
LND800156,Bola Adekunle,00971231660,Agric,Leasehold ,1025.68,2935301935.13 naira,PENDING,02/06/2019,06 October 2019,Cross River LGA,Ogun,SRV/99421/2013,yes,TRUE
LND800319,Amaka Ogundimu,99572989376,Mixed use,Deed,17429.84,"₦1,305,937,036.13",Revoked,2015/01/20,25 May 2015,Edo LGA,kano,SRV/44460/2024,FALSE,0
LND800283,CHIOMA OKONKWO,04521289915,Agricultural,Deed of Assignment,19595.54,"NGN 2,828,038,022",Pending,27/01/2017,15/08/2018,EDO LGA,Edo,SRV/57869/2025,1,FALSE
LND800420,Blessing Olawale,+234401536415,Government Reserve,Leasehold,29844.85,"N4,867,628,359",Approved,26-Dec-2022,2023-10-13,ABUJA LGA,Imo,SRV/93972/2012,Yes,Y
LND800144,Bola Olawale,0039 033 9705,Residential,Right of Occupancy,?,3819834173.07 naira,PENDING,2022/08/31,10/17/2022,Oyo LGA,kano,SRV/67031/2011,TRUE,0
LND800039,Amaka Bello,82691311964,COMMERCIAL,Certificate of Occupancy,7976.51,"N1,984,486,017",Rejected ,06/08/2020,27/03/2021,Kano LGA,oyo,SRV/56871/2011,1,yes
LND800326,SADIQ AJAYI   ,(681) 572-4500,Commercial,Deed,8546.78,4143917168.6,Pending,00/00/0000,16 July 2023,Imo Lga,Abuja,nil,1,N
LND800166,Bola Ajayi,68639561372,Commercial,c of o,282263.73,1464925465.42,Approved,02/26/2023,14-Feb-2024,lagos lga,Plateau,  ,TRUE,yes
LND800176,Obinna Okeke,09680491872,Agric,c of o,127727.45,"₦2,930,465,219.80",approved,2017/12/20,28-Nov-2019,cross river lga,Lagos,SRV/80432/2024,no,N
LND800075,Zainab Lawal,+234941163187,Mixed use,Right of Occupancy,452482.07,"₦4,294,486,300.22",Pending,29 September 2023,,oyo lga,Imo,?,0,FALSE
LND800353,Aliyu Okonkwo,(160) 936-5952,Agricultural,c of o,35688.33,"NGN 2,444,806,002",Pending,08/28/2018,14-Feb-2019,Edo LGA,ABUJA,SRV/24380/2024,No,no
LND800397,  HALIMA BALOGUN,234-079-866-177,Government Reserve,Deed of Assignment,4522.65,"NGN 3,146,635,818",approved,2015/01/30,23.11.2016,Kano LGA,Akwa Ibom,SRV/37876/2022,0,Y
LND800387,CHINEDU OKEKE,234-255-235-617,Industrial,C of O,36623.16,"NGN 4,040,232,467",Pending,05.12.2015,00/00/0000,Edo Lga,Edo,SRV/27518/2017,N,true
LND800333,Kunle Yusuf,234-266-913-624,Agric,C of O,25031.01,"₦2,970,411,608.00",Approved,03/31/2018,09/08/2018,Enugu Lga,Cross River,SRV/83853/2019,N,TRUE
LND800171,Chioma Balogun,(070) 755-0476,Residential,Certificate of Occupancy,40158.05,"N227,769,703",Rejected,01.08.2018,03/09/2019,Anambra Lga,Cross River,SRV/59027/2023,true,N
LND800317,Sadiq Mohammed   ,00250826112,Mixed Use,CofO,21905.73,"NGN 1,920,182,924",Rejected,2016-10-14,01/08/2017,Kaduna LGA,Enugu,SRV/44173/2014,FALSE,0
LND800227,Chinedu Balogun,03195419666,Commercial,CofO,10278.85,"4,505,260,168.01 ",Revoked,29-Jan-2021,,enugu lga,Ogun,SRV/49240/2021,N,true
LND800131,Blessing Eze,(597) 824-5759,COMMERCIAL,CofO,23441.13,"4,561,046,942.32 ",Approved,25 March 2019,07/02/2021,delta lga,Edo,SRV/26629/2011,FALSE,Yes
LND800017,Tunde Okafor,+234268323035,Government Reserve,c of o,429484.78,"₦1,081,284,459.27",Pending,21.06.2023,2024/09/07,edo lga,Kano,SRV/58714/2020,FALSE,No
LND800027,NGOZI LAWAL,0743 811 9953,residential,COO,16287.35,"₦3,568,678,506.37",Under Review,17-Jan-2015,,Rivers Lga,Delta,SRV/76353/2023,N,1
LND800143,Emeka Adeyemi,0566 084 7068,Industrial,CofO,36446.91,1112889370.60 naira,Pending,2021/11/03,2022/12/27,Edo LGA,KANO,SRV/48169/2012,true,FALSE
LND800321,Halima Okafor,0468 719 1203,Mixed use,Leasehold ,11705.19,"₦535,408,298.64",Revoked,23.07.2023,,Oyo Lga,Abuja,SRV/94215/2014,Y,N
LND800427,sadiq afolabi,+234442275854,Residential,Deed,9198.94,"₦1,916,263,680.13",Pending,2021/03/08,2022-02-01,Cross River LGA,Edo,SRV/26169/2024,Y,FALSE
LND800031,Adaeze Adekunle,+234191911359,Mixed Use,Deed,45425.6,"NGN 2,755,126,365",Rejected ,24-Nov-2017,13-Sep-2018,LAGOS LGA,KANO,SRV/13873/2023,false,false
LND800026,Blessing Ajayi,0154 064 1769,Agricultural,Right of Occupancy,39509.7,539391248.94,Rejected,2022-11-12,,akwa ibom lga,Akwa Ibom,SRV/39100/2017,FALSE,1
LND800167,Aliyu Okeke,03081721436,COMMERCIAL,COO,18430.88,"4,712,219,127.45 ",Pending,2018/10/08,2020-08-04,ABUJA LGA,Kano,SRV/44296/2020,Y,N
LND800042,Emeka Nwosu,(333) 373-2043,Govt Reserve,C of O,35274.89,3872802383.75 naira,Rejected ,20-Jul-2020,2021/11/30,lagos lga,Akwa Ibom,SRV/71924/2024,true,true
LND800110,BOLA OGUNDIMU,0110 633 0165,Govt Reserve,Leasehold ,43088.46,"₦968,796,545.45",Revoked,2019/07/30,19.07.2021,Ogun LGA,Kaduna,SRV/70053/2020,no,yes
LND800043,  Kunle Nnamdi,97768893628,Commercial,Certificate of Occupancy,?,2404392487.48 naira,approved,07/29/2023,03 October 2024,KANO LGA,Edo,SRV/44035/2014,TRUE,Y
LND800064,Yusuf Mohammed,34527346666,COMMERCIAL,Deed,22421.43,3044502295.9,PENDING,08/22/2019,,KADUNA LGA,Ogun,nil,1,N
LND800304,Bisi Bello,78020586950,Government Reserve,Right of Occupancy,41189.99,"2,285,578,028.84 ",Rejected,2016/07/14,29/11/2016,Edo LGA,FCT,SRV/89395/2022,false,FALSE
LND800082,amaka okafor,09255021306,Agric,C of O,32454.44,1813933454.19,Rejected,not set,,Edo LGA,lagos,SRV/10287/2013,no,No
LND800093,Bisi Olawale,234-657-327-599,Commercial,Right of Occupancy,359217.71,"₦2,045,648,758.29",Under Review,2015/11/19,25 July 2017,Cross River LGA,Enugu,SRV/81736/2012,false,1
LND800003,BLESSING OKEKE   ,+234282251207,residential,c of o,256155.43,"₦3,964,553,433.02",approved,2017/01/04,05/08/2018,Enugu LGA,Plateau,SRV/70472/2025,N,false
LND800072,FATIMA  NNAMDI,(346) 066-6437,Industrial ,Right of Occupancy,29445.51,"NGN 1,933,526,898",Pending,00/00/0000,19 June 2018,PLATEAU LGA,rivers,NIL,Y,0
LND800123,  Wale Chukwu,51157942387,COMMERCIAL,Right of Occupancy,47237.79,"N4,206,242,963",PENDING,08/24/2019,2021-08-07,Plateau LGA,Kaduna,SRV/46889/2023,Y,true
LND800279,Musa Lawal,0121 988 1927,Agricultural,Right of Occupancy,25250.51,140058225.54,approved,12.09.2017,17/02/2019,Kano LGA,Anambra,SRV/36192/2011,yes,No
LND800195,Obinna Bello,0983 553 9354,Residential,COO,9108.41,?,PENDING,00/00/0000,30-Dec-2024,ENUGU LGA,Plateau,  ,Yes,true
LND800386,  sadiq chukwu,0068 841 3337,residential,CofO,18811.24,nil,Under Review,06/05/2019,2021-04-08,delta lga,Delta,SRV/29918/2011,no,Y
LND800339,Zainab Suleiman,234-321-269-428,Residential,CofO,20710.19,"N3,621,203,105",approved,14.05.2023,2023-08-16,Rivers LGA,Ogun,SRV/73481/2015,no,FALSE
LND800389,FUNMILAYO SULEIMAN,13638527789,Agricultural,COO,409511.75,3292157533.45 naira,PENDING,28/05/2019,2020-08-23,Kano LGA,Plateau,SRV/53649/2024,TRUE,true
LND800232,  Zainab Bello,88707155348,Agric,Deed of Assignment,31850.35,505335171.65,Rejected,2015/02/28,20/02/2016,Akwa Ibom LGA,Oyo,SRV/31681/2020,N,false
LND800394,Amaka Adekunle,21798213486,Govt Reserve,CofO,33347.39,"N4,738,540,905",approved,00/00/0000,01.03.2022,DELTA LGA,Delta,SRV/29855/2023,0,no
LND800185,Chioma Adekunle,(508) 018-4980,COMMERCIAL,Certificate of Occupancy,533579.01,"N4,299,618,789",Rejected ,02/02/2017,18.08.2017,KANO LGA,Edo,SRV/13920/2024,false,Yes
LND800079,   Emeka Bello,234-730-662-481,Residential,Leasehold ,19469.54,"₦4,326,598,030.89",Revoked,2015-11-03,2016-09-11,LAGOS LGA,Enugu,SRV/34575/2023,No,Yes
LND800301,adaeze yusuf,(720) 376-3882,Mixed use,Deed of Assignment,41543.8,"NGN 905,656,392",PENDING,05.04.2023,06/25/2023,Edo LGA,Ogun,nil,true,Y
LND800192,Femi Afolabi,0464 754 8954,Mixed Use,COO,N/A,"₦2,396,278,167.31",Pending,08/31/2016,2017/11/18,Imo Lga,Akwa Ibom,--,0,0
LND800429,Femi Okafor,0911 650 2000,Commercial,Deed,4931.23,830875713.28,Rejected,30/11/2016,2018-03-26,AKWA IBOM LGA,Imo,SRV/95823/2023,N,TRUE
