CaseID,CaseNumber,ClientName,ClientPhone,CaseType,CourtName,AssignedLawyer,DateFiled,NextHearingDate,ClosingDate,CaseStatus,Outcome,LegalFeeNGN,AmountPaidNGN,State,ProBonoCase
CASE200132,suit/fhc/1971/2024,Halima Adekunle,99758172461,civil litigation,Supreme Court Nigeria,Obinna Yusuf,22 September 2022,11.01.2023,22-Apr-2025,Struck Out,LOST,21762217.84 naira,"₦11,425,360.65",Kaduna,FALSE
CASE200320,SUIT/fhc/7413/2023,Bola Adeyemi,234-352-478-712,Labour Law,Supreme Court Nigeria,Amara Ogundimu,21-Aug-2022,2024-06-23,N/A,CLOSED,LOST,"23,363,126.03 ","₦15,897,053.95",Kano,FALSE
CASE200031,suit/fhc/1853/2020,FUNMILAYO NNAMDI,,Employment Law,Lagos State High Court,Ifeoma Eze,28-Dec-2021,2022-04-22,09/03/2024,Adjourned ,n/a,"₦2,165,642.79",1731648.7,Abuja,Yes
CASE200321,SUIT/fhc/2724/2023,Sadiq Eze,+234213760375,Criminal Defence,Kano State High Court,Segun Okeke,31/07/2022,03.01.2024,,Closed,won,12490297.59,"N9,938,713",Akwa Ibom,N
CASE200282,suit/fhc/4937/2025,Ifeoma Lawal,80053759900,Employment Law,Court of Appeal Abuja,IFEOMA OKAFOR,01/23/2021,2022-12-11,,Adjourned ,Settled ,"24,958,079.60 ",20276446.18,Kano,true
CASE200306,suit/FHC/9774/2021,BISI AFOLABI,22031030372,Criminal Defence,Lagos State High Court,Ibrahim Abubakar   ,01-Mar-2022,2023/12/02,10/09/2025,Settled Out of Court,Withdrawn,5228051.78,"NGN 4,920,598",Delta,yes
CASE200024,suit/fhc/3928/2019,Chidi Olawale,(256) 996-1125,Criminal Defence,Court of Appeal Abuja,  Segun Adeyemi,01-Apr-2020,06 July 2020,2022/01/04,Adjourned,Settled ,"NGN 485,672",n/a,Delta,TRUE
CASE200044,suit/fhc/9327/2022,Ifeoma Okeke,0916 300 9792,Labour Law,unknown,Zainab Suleiman,12/16/2020,29 January 2021,,Active,Lost,"18,133,985.30 ",11056655.69,Plateau,0
CASE200196,suit/fhc/9498/2019,Kunle Nwosu,+234538179335,Property Law,Supreme Court Nigeria,Chinedu Mohammed,15/10/2020,05-Jun-2021,,Settled,won,"₦13,031,833.38","4,404,579.93 ",Rivers,FALSE
CASE200303,suit/FHC/4758/2020,Femi Nwosu,0977 945 2321,CRIMINAL,Customary Court Enugu,TUNDE OKAFOR,18-Dec-2023,2024/12/13,19.11.2026,Settled,Won,"NGN 15,253,328","NGN 4,003,938",Cross River,Yes
CASE200045,SUIT/fhc/9327/2025,Emeka Ogundimu,+234327195005,Civil Litigation,Supreme Court Nigeria,Kunle Okafor,10-Apr-2021,2022-02-07,,Pending Hearing,won,6835462.91 naira,"NGN 6,731,512",Edo,no
CASE200331,SUIT/fhc/9892/2021,Yusuf Nnamdi,234-753-998-935,Commercial Dispute,Court of Appeal Abuja,Chioma Eze,04.07.2021,15-Mar-2023,,CLOSED,Won,"N5,734,232",2046423.40 naira,KANO,Yes
CASE200402,SUIT/FHC/2299/2021,Ifeoma Abubakar,(407) 553-6668,Civil Litigation,Magistrate Court Ikeja,Blessing Adeyemi   ,19 June 2022,2023/12/07,09/02/2025,Active,Settled,"NGN 13,501,835","NGN 11,287,712",Ogun,true
CASE200271,SUIT/FHC/8674/2021,Fatima Ogundimu,07656124815,civil litigation,Court of Appeal Abuja,Yusuf Ogundimu,11/02/2020,14-Apr-2021,29-Jul-2023,active,Unknown,7228250.47 naira,7400672.2,Delta,FALSE
CASE200198,SUIT/FHC/4342/2024,Adaeze Chukwu,08178847951,CRIMINAL,Customary Court Enugu,ADAEZE OGUNDIMU,08/01/2020,2021/05/17,31 October 2021,Settled,Settled,16564838.99 naira,"₦5,286,875.01",Anambra,No
CASE200112,SUIT/fhc/719/2025,Ibrahim Suleiman,(027) 278-5760,Family Law,Supreme Court Nigeria,Sadiq Okafor,28/12/2024,26-Dec-2026,,Pending Hearing,pending,10777528.82,"₦8,062,293.60",Edo,0
CASE200224,SUIT/fhc/2086/2020,AMARA LAWAL,84576521328,Criminal Defence,Federal High Court Lagos,IBRAHIM MOHAMMED,2019/11/23,02 January 2020,,Settled,Withdrawn,21448342.61 naira,NIL,Kaduna,TRUE
CASE200151,SUIT/FHC/4258/2022,Amaka Lawal,(239) 504-1027,Commercial dispute,Kano State High Court,TUNDE ADEKUNLE,07 September 2019,15 August 2020,07/03/2021,Closed,pending,"NGN 12,056,959","10,040,671.84 ",Imo,FALSE
CASE200319,-,Obinna Ajayi,07119918081,Criminal Defence,Supreme Court Nigeria,Musa Nwosu,2023/12/08,29/11/2025,11/30/2026,Pending Hearing,won,"₦3,218,110.39",914756.68 naira,Delta,No
CASE200014,SUIT/fhc/9997/2020,Kunle Nnamdi,(678) 085-6271,Property Law,Customary Court Enugu,Zainab Lawal,10-Aug-2022,19-May-2023,12/31/2024,Active,pending,"N3,262,679",NIL,Rivers State,No
CASE200003,suit/fhc/1653/2024,Halima Mohammed,+234214656693,Family Law,Magistrate Court Ikeja,Kunle Mohammed,11-May-2024,27 October 2025,2028-03-17,Settled Out of Court,won,"N14,302,426","N4,480,230",Imo,Yes
CASE200229,SUIT/FHC/1946/2021,Chinedu Adekunle,01089071401,Commercial Dispute,Magistrate Court Ikeja,Tunde Nwosu,30/06/2021,26/03/2022,,Pending Hearing,Settled,"NGN 7,134,919","₦4,476,495.88",Lagos,no
CASE200006,SUIT/FHC/3807/2025,Yusuf Chukwu,(818) 451-8489,civil litigation,Court of Appeal Abuja,Yusuf Eze,2019-07-12,06 February 2021,29-Sep-2021,Settled,null,"₦17,357,683.95","NGN 19,049,318",Anambra,true
CASE200134,SUIT/fhc/8770/2022,Grace Ajayi,(022) 784-6997,CRIMINAL,Lagos State High Court,Amaka Lawal,2019-06-23,09-Apr-2020,09/04/2021,Adjourned,Settled ,"₦995,550.33",727429.87 naira,oyo,no
CASE200343,SUIT/FHC/6997/2025,Emeka Okafor,0000000000,civil litigation,Federal High Court Lagos,Amaka Bello,06/12/2019,01 November 2020,01-Sep-2022,CLOSED,Settled,23028484.67,"₦6,911,042.64",Akwa Ibom,true
CASE200017,-,MUSA ADEYEMI,+234636556472,Labour Law,Customary Court Enugu,femi adeyemi,01-Dec-2019,12.12.2020,03/18/2021,Settled,Won,13120488.48,2864998.86,Abuja,yes
CASE200232,suit/fhc/2337/2021,Obinna Ajayi,0000000000,Property Law,Customary Court Enugu,Funmilayo Okafor,00/00/0000,08/06/2022,26 January 2024,CLOSED,Unknown,827872.82 naira,"₦418,131.85",Enugu,0
CASE200421,suit/FHC/2379/2024,Wale Balogun,53310600531,Employment Law,Customary Court Enugu,  Chidi Okafor,00/00/0000,2020-10-21,29 July 2022,Settled,Settled,"₦6,811,202.06",4874380.17 naira,FCT,No
CASE200281,suit/FHC/1940/2024,Bola Balogun,+234256366941,CRIMINAL,Kano State High Court,  ALIYU SULEIMAN   ,2022/10/20,06/19/2024,,CLOSED,Withdrawn,NULL,"NGN 12,436,422",Ogun,1
CASE200300,SUIT/fhc/5020/2025,Grace Nnamdi,0864 908 1081,Criminal Defence,Court of Appeal Abuja,Grace Okeke,2022-07-31,14 December 2023,,Settled,LOST,"₦23,342,716.94","N6,348,209",Lagos,N
CASE200176,SUIT/FHC/743/2023,Ngozi Eze,19467232487,Property law ,Lagos State High Court,Tobi Nnamdi,07/16/2020,01.08.2021,2023/02/20,Adjourned ,,"NGN 17,400,887","NGN 7,654,642",Kaduna,N
CASE200252,SUIT/FHC/6459/2024,Bola Bello,05696591713,Property law ,Federal High Court Abuja,Obinna Chukwu,2019-03-05,,2020-04-08,Settled,LOST,nil,"N1,980,598",Enugu,No
CASE200398,SUIT/fhc/9933/2024,  Ifeoma Olawale,234-439-284-044,CRIMINAL,Kano State High Court,Tunde Ogundimu,2021/06/11,2023/03/21,16.08.2023,Active,Lost,"NGN 22,773,862","N20,484,546",Oyo,N
CASE200059,suit/FHC/6455/2025,  ALIYU NNAMDI,0855 665 9398,Property Law,Court of Appeal Abuja,Funmilayo Olawale,2023-04-07,30-May-2023,03-Mar-2024,Active,,"N5,167,963",4165274.82 naira,Cross River,Yes
CASE200163,suit/FHC/9833/2019,  Chioma Okonkwo,06425690877,Property law ,Lagos State High Court,  FATIMA OKEKE,2019/07/25,unknown date,2022/06/25,Settled,NIL,"₦8,422,310.40","N2,291,336",Enugu,false
CASE200127,SUIT/fhc/3060/2019,Bisi Balogun,56255770171,Employment Law,Customary Court Enugu,Tunde Eze   ,2024-02-29,23/05/2025,30-Mar-2027,Pending Hearing,Pending,"₦3,533,894.48",1073064.67,Oyo,yes
CASE200043,SUIT/FHC/1693/2019,Chinedu Yusuf,35031365024,Employment Law,Lagos State High Court,Blessing Bello,02/01/2019,2019-03-04,28-Jul-2021,Adjourned,Lost,329737.13,"N147,329",Lagos,0
CASE200288,SUIT/fhc/4161/2025,Funmilayo Lawal,+234761707587,Employment Law,Court of Appeal Abuja,Ngozi Yusuf,12 January 2024,02-Nov-2025,12/02/2026,Settled,Settled ,"N23,414,360","₦13,757,156.17",Kaduna,Yes
CASE200120,SUIT/fhc/204/2020,Blessing Ogundimu,+234943533448,Employment Law,Supreme Court Nigeria,Chidi Yusuf,13.08.2020,2022/02/05,12.01.2024,Closed,Settled,"₦24,762,053.04","NGN 9,901,775",Rivers,true
CASE200279,SUIT/FHC/1334/2022,Kemi Nwosu   ,234-393-436-262,Labour Law,Court of Appeal Abuja,Kunle Adeyemi,27 October 2020,31.08.2021,,Active,Lost,"22,815,946.42 ",19809928.0,Plateau,true
CASE200013,SUIT/FHC/9407/2020,Musa Lawal,47284639208,Property law ,Kano State High Court,Amaka Ogundimu,03.06.2021,28-Nov-2021,,active,won,-,"₦1,340,570.76",Plateau,Y
CASE200392,suit/fhc/4829/2024,chidi yusuf,+234333736346,Civil Litigation,Supreme Court Nigeria,Amaka Adeyemi   ,23/02/2024,2024-07-02,,settled out of court,--,21159380.27,"NGN 14,224,978",Imo,1
CASE200170,suit/fhc/2856/2019,Yusuf Nwosu,01027079032,Employment Law,Lagos State High Court,Zainab Suleiman,2020/05/31,01/07/2020,26.10.2020,Closed,pending,2316311.03 naira,"NGN 1,180,918",Anambra,No
CASE200241,SUIT/fhc/237/2021,Ibrahim Okonkwo,(114) 773-2010,Commercial Dispute,Federal High Court Abuja,  Wale Nwosu,30 March 2024,00/00/0000,19/12/2025,Active,Settled ,"NGN 15,947,478","NGN 5,954,598",Enugu,Yes
CASE200367,suit/FHC/363/2019,CHIOMA NNAMDI,03046875063,Employment Law,Court of Appeal Abuja,Sadiq Nwosu,07/08/2023,15/11/2024,26.12.2024,Struck Out,Withdrawn,15201028.64,12937389.88 naira,Kaduna,false
CASE200380,SUIT/FHC/9862/2020,Ibrahim Olawale,01537795995,Civil Litigation,Customary Court Enugu,Kunle  Adeyemi,10/13/2022,13-May-2024,,Settled Out of Court,,"N643,291",547861.16,Edo,Yes
CASE200269,SUIT/fhc/1482/2023,grace adeyemi   ,05183760644,Property law ,Court of Appeal Abuja,CHINEDU NWOSU,19/01/2023,2024-05-03,,CLOSED,Lost,1715495.06,"1,633,766.27 ",Lagos State,Y
CASE200383,SUIT/fhc/2400/2025,Aliyu Ogundimu,0050 150 8124,Family Law,Lagos State High Court,Fatima Nwosu,09 May 2019,08.08.2020,,Pending Hearing,Settled ,"₦4,702,600.64","N4,517,699",lagos,No
CASE200329,SUIT/fhc/7109/2025,Adaeze Afolabi,+234008943468,Civil Litigation,n/a,GRACE SULEIMAN,2024-11-18,10/11/2025,21.03.2026,Settled Out of Court,Settled,"₦8,300,178.70","NGN 5,052,546",Port Harcourt,0
CASE200060,suit/fhc/6106/2021,Blessing Afolabi,0684 577 6004,Employment Law,Federal High Court Lagos,   Bola Afolabi,2023-05-12,2025-01-16,10-Feb-2026,Struck Out,Settled,"NGN 561,328",332678.35 naira,Kano,FALSE
CASE200199,SUIT/fhc/4273/2023,zainab olawale,+234116241124,Criminal Defence,Magistrate Court Ikeja,Chioma Bello,06-Jan-2021,14/07/2021,2021-08-24,settled out of court,LOST,20076478.05,"₦14,584,355.74",Imo,No
CASE200012,SUIT/FHC/4415/2020,Bola Balogun,0790 807 5957,Criminal Defence,Supreme Court Nigeria,Zainab Ajayi,04/28/2022,22/12/2023,02/01/2025,Pending Hearing,NULL,"15,480,850.94 ",NULL,Delta,true
CASE200378,SUIT/FHC/4289/2019,Tobi Ajayi,+234274954508,Employment Law,Supreme Court Nigeria,Segun Afolabi,2024/07/19,20-Nov-2024,09 January 2027,settled out of court,LOST,"6,963,381.75 ","₦3,843,267.51",Plateau,yes
CASE200055,SUIT/fhc/5411/2020,kemi adekunle,0650 948 0141,Labour Law,Court of Appeal Abuja,Sadiq Yusuf,28.06.2024,07/13/2025,2027-04-05,settled out of court,pending,15802578.54,"N6,738,751",Rivers State,true
CASE200138,Unknown,Zainab Eze,234-832-723-865,Labour Law,Court of Appeal Abuja,Kemi Balogun,08-May-2024,18.04.2026,2027/01/16,Pending Hearing,LOST,"N1,126,211",584702.78,Plateau,true
CASE200365,SUIT/FHC/3766/2023,Obinna Mohammed,0843 089 4870,CRIMINAL,Customary Court Enugu,Ifeoma Okafor,28.03.2024,11/08/2024,2024/11/15,Settled,pending,"₦13,402,513.33",9487272.16,Lagos,Y
CASE200035,suit/FHC/8277/2022,Amaka Suleiman,34163894484,Civil Litigation,Federal High Court Abuja,kemi nwosu,14.01.2022,24-Jan-2023,,Active,Pending,"NGN 12,458,195","NGN 4,266,741",Ogun,1
CASE200033,SUIT/FHC/4223/2021,AMAKA CHUKWU,08077406493,Labour Law,NIL,Chidi Nwosu,30.04.2022,2024-02-04,20 November 2025,Pending Hearing,Lost,7170805.22,"NGN 4,186,825",Kaduna,false
CASE200117,SUIT/fhc/1887/2021,Adaeze Okafor,invalid,Commercial Dispute,Customary Court Enugu,Musa Adekunle,2024/11/18,27-Mar-2025,,settled out of court,Won,"10,684,939.52 ",10325961.83,lagos,N
CASE200015,SUIT/fhc/7507/2021,Musa Lawal,(750) 036-9155,Commercial dispute,Kano State High Court,Aliyu Mohammed,2022-02-04,10 October 2023,,Active,won,22418397.11,"₦5,040,087.81",Abuja,false
CASE200219,SUIT/fhc/3074/2019,ibrahim suleiman,(471) 959-7964,Civil Litigation,Lagos State High Court,Aliyu Okonkwo,2019/10/07,2020-11-01,07-Mar-2022,Settled,Lost,13605461.19 naira,"NGN 5,124,760",Rivers,1
CASE200012,SUIT/FHC/4415/2020,Bola Balogun,0790 807 5957,Criminal Defence,Supreme Court Nigeria,Zainab Ajayi,04/28/2022,22/12/2023,02/01/2025,Pending Hearing,NULL,"15,480,850.94 ",NULL,Delta,true
CASE200105,SUIT/FHC/5239/2023,Kunle Afolabi,+234214586833,Family Law,Kano State High Court,Tunde Mohammed,,02/01/2024,05/30/2026,Active,Won,5454971.03 naira,"N3,849,108",Imo,1
CASE200215,SUIT/FHC/7246/2025,Kunle Mohammed,234-851-961-064,Property Law,Court of Appeal Abuja,Tunde Olawale,30.06.2023,00/00/0000,,Struck Out,Settled ,"NGN 23,502,963","NGN 12,692,701",Cross River,no
CASE200286,SUIT/FHC/5096/2024,WALE  BELLO,04494856257,Property Law,Customary Court Enugu,Ngozi Ajayi,01-Apr-2022,01 March 2023,,Adjourned ,pending,"NGN 24,473,274","N20,277,469",oyo,yes
CASE200290,SUIT/fhc/1268/2025,Bola Okafor,+234993908926,Labour Law,Magistrate Court Ikeja,Zainab Lawal,2023-12-24,2025-07-23,,settled out of court,won,"NGN 19,372,948",9370538.50 naira,Abuja,No
CASE200414,SUIT/fhc/6381/2023,Tobi Okafor,invalid,Commercial Dispute,Federal High Court Abuja,Kemi Ogundimu,08/10/2023,10 February 2024,2026/04/02,Settled Out of Court,Withdrawn,"₦16,215,348.97","₦10,702,285.31",Plateau,Y
CASE200324,SUIT/fhc/2117/2023,Yusuf Eze,00811556260,Civil Litigation,Magistrate Court Ikeja,Femi Abubakar,2022-11-25,24/01/2023,15.11.2024,Settled Out of Court,Settled,?,12252271.86 naira,Abuja,N
CASE200095,SUIT/FHC/4877/2024,Ibrahim  Adekunle,+234702793714,Labour Law,Federal High Court Abuja,Bola Ogundimu,18.06.2020,30/07/2021,12-Dec-2023,CLOSED,Pending,"NGN 13,231,610","NGN 5,193,233",Ogun,TRUE
CASE200062,SUIT/FHC/4675/2022,NGOZI MOHAMMED,0888 992 1075,Commercial Dispute,Federal High Court Lagos,Emeka Ajayi,13.08.2024,10 February 2026,20 March 2027,Settled,pending,"N3,416,980",832068.9,Plateau,1
CASE200125,SUIT/fhc/8865/2022,Fatima Chukwu,09545381792,Property Law,Federal High Court Lagos,Tobi Nnamdi,2024/03/22,04 October 2025,06 March 2028,active,Lost,"NGN 14,244,587","7,327,153.69 ",Kano,FALSE
CASE200280,suit/FHC/2657/2022,Bisi Adeyemi,04439735971,CRIMINAL,Magistrate Court Ikeja,Tunde Lawal,04-Aug-2020,2022/07/04,2023-06-05,Struck Out,pending,86743.82,"₦90,693.63",Rivers,true
CASE200426,SUIT/FHC/6640/2021,Aliyu Lawal,234-924-195-625,Family Law,Federal High Court Abuja,Wale Afolabi,10/07/2024,10/23/2025,06-Nov-2027,active,won,7485750.02,"N7,844,389",Rivers,false
CASE200091,,Aliyu Suleiman,99880817703,Civil Litigation,Federal High Court Lagos,Bola Olawale   ,22.06.2021,04.05.2023,,settled out of court,  ,3738164.41,"N2,235,844",Plateau,Y
CASE200263,suit/FHC/4514/2025,Amara Suleiman,(015) 941-6516,Property law ,Magistrate Court Ikeja,grace nwosu,2020-10-30,28/07/2022,04-Aug-2022,Settled Out of Court,,"NGN 20,305,551","₦4,548,180.72",Kano,no
CASE200341,SUIT/fhc/1188/2022,Adaeze Afolabi,234-792-287-772,Commercial Dispute,Customary Court Enugu,Musa Afolabi,unknown date,2019/10/31,2020/01/23,Settled,,23006027.44,"NGN 9,110,743",Anambra,no
CASE200103,SUIT/FHC/3285/2020,Ibrahim Okafor,0224 999 8279,civil litigation,Federal High Court Lagos,Bisi Nnamdi,23-Apr-2023,2025/03/05,14.11.2025,CLOSED,Won,"₦3,715,949.70","NGN 2,633,887",Anambra,false
CASE200379,SUIT/FHC/6923/2025,Wale Chukwu,234-038-806-533,Commercial dispute,Federal High Court Abuja,Grace Suleiman,06 September 2024,04/27/2025,2026/11/23,CLOSED,,"N18,548,163","N7,526,414",Ibadan,FALSE
CASE200109,suit/fhc/7501/2020,Adaeze Eze,(396) 605-5830,Criminal Defence,Magistrate Court Ikeja,Aliyu Adekunle,21 November 2020,08/05/2022,27.12.2022,Settled Out of Court,Lost,21609864.5,"10,040,264.08 ",Abuja,yes
CASE200150,SUIT/fhc/3662/2022,Amaka Suleiman,invalid,Property Law,Lagos State High Court,Ifeoma Chukwu,2023/01/12,05 November 2023,,CLOSED,,1384505.71 naira,"N939,475",Anambra,Y
CASE200141,SUIT/fhc/9393/2022,Grace Adeyemi,+234765326909,Family Law,Federal High Court Lagos,Sadiq Abubakar,22.07.2024,16.01.2025,,settled out of court,N/A,15426176.46 naira,9040139.73 naira,Akwa Ibom,No
CASE200344,SUIT/fhc/2648/2023,Femi Mohammed,234-890-983-780,Civil Litigation,Federal High Court Lagos,Ibrahim Okafor,22.10.2020,13/04/2021,,Adjourned,won,"13,827,744.08 ",-,Cross River,0
CASE200285,SUIT/FHC/6650/2023,Emeka Abubakar,+234241502745,Employment Law,N/A,  Funmilayo Suleiman,24.09.2020,2022-06-18,25 February 2024,Adjourned,n/a,19788581.93 naira,"₦17,030,338.79",Imo,No
CASE200200,SUIT/FHC/4225/2024,Grace Nwosu,02723804682,CRIMINAL,Lagos State High Court,Musa Mohammed,02/05/2024,unknown date,03/09/2025,CLOSED,Settled,"NGN 7,319,134","1,701,320.17 ",Ogun,true
CASE200264,suit/fhc/7039/2025,Emeka Eze,(319) 818-9847,Labour Law,Kano State High Court,Obinna Chukwu,05.02.2020,27/10/2021,,Adjourned ,,9918304.24,2662193.59 naira,oyo,yes
CASE200094,SUIT/FHC/9069/2022,Chinedu Adekunle,0771 812 9826,Property Law,Lagos State High Court,  Grace Adekunle,01 November 2021,2023/05/26,,Pending Hearing,Pending,"₦13,917,046.36","NGN 9,412,943",Enugu,false
CASE200229,SUIT/FHC/1946/2021,Chinedu Adekunle,01089071401,Commercial Dispute,Magistrate Court Ikeja,Tunde Nwosu,30/06/2021,26/03/2022,,Pending Hearing,Settled,"NGN 7,134,919","₦4,476,495.88",Lagos,no
CASE200029,SUIT/FHC/1228/2020,  tobi okeke,22820055778,Employment Law,Supreme Court Nigeria,Segun Olawale,12 December 2023,31-Aug-2025,not set,CLOSED,Settled,"NGN 22,355,002",23992886.40 naira,Anambra,Yes
CASE200040,suit/FHC/4372/2020,Bola Abubakar,04618723460,Labour Law,Court of Appeal Abuja,Blessing Okonkwo,19-Nov-2024,2026/02/18,30 March 2027,Struck Out,NIL,"N17,379,936","N12,049,297",Lagos,N
CASE200328,SUIT/FHC/4084/2019,Halima Adeyemi,02884318848,Family Law,Court of Appeal Abuja,Adaeze Eze,24/01/2020,02/08/2021,,Settled,unknown,"₦17,474,208.41","N16,145,331",Enugu,true
CASE200102,suit/fhc/358/2024,Zainab Balogun,+234209945101,civil litigation,Kano State High Court,Kunle Yusuf,15.03.2019,24.12.2020,27 May 2022,Adjourned ,Unknown,"NGN 9,237,658",6540406.28 naira,Kaduna,FALSE
CASE200243,suit/fhc/6095/2022,Amaka Okafor,18773477848,Family Law,Customary Court Enugu,tunde ajayi   ,08/14/2020,07.12.2021,2022/07/19,Settled Out of Court,Settled ,"₦21,310,649.28",10013046.86 naira,Lagos,1
CASE200260,suit/FHC/2184/2022,Femi Olawale,(644) 249-3631,Criminal Defence,Magistrate Court Ikeja,tunde ajayi   ,07-Sep-2019,00/00/0000,05-Dec-2021,CLOSED,won,18226763.13 naira,"₦17,057,722.13",Edo,yes
CASE200245,SUIT/FHC/2780/2021,Kunle Afolabi,0000000000,Labour Law,Supreme Court Nigeria,Amaka Adekunle,30/03/2023,2024/11/09,,Adjourned ,Settled ,2806048.00 naira,"₦780,621.74",Rivers,true
CASE200081,suit/fhc/9779/2022,chioma abubakar   ,0608 432 5621,Civil Litigation,Lagos State High Court,  amaka nnamdi,2024/07/10,2026/02/20,,Active,Withdrawn,10771591.73,8099506.25,Edo,1
CASE200136,SUIT/fhc/1934/2019,Musa Nnamdi,(862) 405-8008,Commercial dispute,Supreme Court Nigeria,Ifeoma Okeke,09.12.2019,04 September 2020,2022-08-23,Struck Out,nil,"₦18,785,595.52",13420546.26,Anambra,TRUE
CASE200046,SUIT/fhc/7173/2019,Ibrahim Mohammed,234-127-358-573,Labour Law,Customary Court Enugu,Amaka Lawal,26/07/2023,19.02.2024,03/06/2025,Adjourned ,won,"11,713,730.19 ","₦6,005,552.24",Cross River,FALSE
CASE200358,suit/FHC/2459/2025,Musa Nnamdi,+234379502097,Civil Litigation,Supreme Court Nigeria,Ngozi Balogun,08-Apr-2022,09-Mar-2024,,Active,LOST,"N654,472","N266,475",Akwa Ibom,TRUE
CASE200397,suit/FHC/8732/2021,Wale  Eze,+234115083535,Property law ,Federal High Court Abuja,Kunle Nwosu,04 December 2020,2021/04/30,30.07.2023,Adjourned,,24592557.43 naira,"9,222,773.65 ",Rivers State,false
CASE200258,?,Femi Nwosu,07374896908,Commercial Dispute,Kano State High Court,Adaeze Chukwu,04/03/2023,2023-07-28,,Settled Out of Court,LOST,"20,936,885.35 ","₦11,802,823.31",Anambra,Yes
CASE200342,suit/FHC/5682/2022,Emeka Adeyemi,+234996636580,Employment Law,Federal High Court Abuja,CHINEDU CHUKWU,11-Oct-2023,13.12.2024,15-May-2026,active,Won,"14,276,816.51 ",15057391.93 naira,Edo,Yes
CASE200408,SUIT/FHC/5513/2019,Kunle Ogundimu,234-286-716-323,CRIMINAL,Kano State High Court,Tunde Yusuf,2019-10-23,18.03.2021,18-Sep-2022,Adjourned,pending,"N14,716,293",14856948.45,Enugu,TRUE
CASE200009,SUIT/fhc/4216/2021,Amaka Adekunle,00434165182,CRIMINAL,Kano State High Court,Ifeoma Adekunle,18/07/2024,02 November 2025,2027/08/17,Closed,nil,"NGN 2,674,493","N2,388,191",Plateau,FALSE
CASE200338,SUIT/fhc/6661/2019,Fatima Adeyemi,82154544702,Labour Law,Lagos State High Court,bola adekunle,22 December 2021,21-Apr-2022,02/07/2022,CLOSED,pending,21631131.86,"₦13,936,103.83",Ogun,FALSE
CASE200070,SUIT/FHC/2678/2024,Musa Yusuf,+234769389833,Family Law,Federal High Court Lagos,Ngozi Balogun,16-Mar-2020,2021-01-13,2022-10-05,Struck Out,LOST,20929403.2,"5,536,140.62 ",Edo,no
CASE200166,SUIT/FHC/2955/2023,Tunde Nwosu,234-328-063-461,Labour Law,Federal High Court Abuja,Grace Olawale,10/03/2022,13-Jun-2022,,Adjourned ,,"NGN 7,532,303",5664953.24 naira,Imo,TRUE
CASE200203,SUIT/FHC/3047/2019,Grace Afolabi   ,+234242437540,Property Law,Lagos State High Court,Yusuf Ajayi,06/07/2023,30 March 2024,07/17/2025,Settled Out of Court,Lost,"₦16,725,957.88","15,574,001.33 ",Abuja,Y
CASE200147,suit/FHC/7943/2021,Yusuf  Adeyemi,29049047128,Commercial Dispute,Federal High Court Abuja,Fatima Nnamdi,11/03/2020,17 September 2022,12/03/2022,settled out of court,won,"NGN 3,724,505",1116669.71,Ibadan,yes
CASE200425,suit/FHC/8184/2019,Amaka Okeke,234-950-136-497,civil litigation,Magistrate Court Ikeja,Funmilayo Nwosu,08 January 2023,2023/05/13,04/07/2024,Closed,pending,"NGN 11,882,091","NGN 9,216,276",Enugu,TRUE
CASE200099,SUIT/fhc/2895/2025,Funmilayo Okafor,(094) 077-7809,Commercial Dispute,Lagos State High Court,   amara mohammed,2020/03/21,24 October 2021,,settled out of court,LOST,"₦5,822,170.24","NGN 3,941,025",Lagos,no
CASE200266,SUIT/fhc/8172/2024,Chinedu Yusuf,+234234764907,Commercial Dispute,Kano State High Court,Bisi Suleiman,09/08/2022,13-Mar-2024,2025/11/07,Struck Out,LOST,Unknown,4708088.44,Kaduna,false
CASE200426,SUIT/FHC/6640/2021,Aliyu Lawal,234-924-195-625,Family Law,Federal High Court Abuja,Wale Afolabi,10/07/2024,10/23/2025,06-Nov-2027,active,won,7485750.02,"N7,844,389",Rivers,false
CASE200113,SUIT/FHC/529/2023,CHIOMA LAWAL,(495) 880-3955,Commercial dispute,Customary Court Enugu,Fatima Suleiman,11.01.2020,09 February 2021,07-Oct-2021,Active,pending,22385141.56 naira,"NGN 12,568,988",Rivers,N
CASE200349,SUIT/FHC/9325/2025,IBRAHIM OKEKE,+234046152654,Property law ,Federal High Court Abuja,WALE OKAFOR   ,10/07/2021,12/18/2022,,Settled Out of Court,,"₦13,387,700.79",6476872.68,Abuja,0
CASE200396,SUIT/fhc/9284/2023,Tunde Afolabi,(415) 148-8814,Property law ,Federal High Court Lagos,Musa Yusuf,10/02/2023,03/06/2024,04/09/2024,Settled,Lost,18633918.12 naira,"₦16,359,928.37",Edo,false
CASE200011,SUIT/FHC/3828/2021,Sadiq Balogun,0433 339 5211,Property Law,Supreme Court Nigeria,Funmilayo Chukwu,11-Aug-2022,25.10.2023,01/01/2026,active,?,"NGN 20,395,963",19585179.69 naira,Edo,TRUE
CASE200217,SUIT/fhc/5420/2020,Musa Chukwu,234-494-787-300,Commercial Dispute,Federal High Court Abuja,Femi Olawale,,2022/01/13,unknown date,Adjourned ,Lost,16081324.41 naira,"NGN 13,803,497",Kano,true
