TaxpayerID,CompanyName,TaxType,Sector,RegistrationDate,AssessmentYear,TurnoverNGN,TaxLiabilityNGN,TaxPaidNGN,OutstandingNGN,ComplianceStatus,PenaltyNGN,ContactPhone,State,AuditFlag
TIN50779352,Zainab Okafor Enterprises,CIT,Telecoms,29/07/2022,2024,"39,078,225,732.64 ","₦9,212,397,476.09","7,908,428,208.16 ","NGN 1,303,969,268",compliant,,234-893-326-145,LAGOS,1
TIN21785053,Wale Okafor Enterprises,PIT,Banking,02/04/2016,2020,"₦3,981,749,870.04","N500,399,077",463885822.06,"₦36,513,254.65",Exempted ,,(426) 107-0335,Ogun,Yes
TIN58542302,Funmilayo Afolabi Enterprises,Withholding Tax (WHT),Real Estate,31/08/2019,2023,45327355090.21 naira,N/A,329057512.45 naira,5022196027.30 naira,Exempted,NULL,84243198392,Edo,true
TIN16397456,Tunde Okeke Enterprises,Value Added Tax (VAT),Telecoms,01/09/2017,2021,"NGN 33,749,685,476",5499429351.41 naira,"₦165,538,274.09","₦5,333,891,077.32",Compliant,"NGN 507,869,385",72649632251,Imo,true
TIN78122543,Chinedu  Abubakar Enterprises,vat,Manufacturing,2019-10-18,2023,"NGN 36,388,371,538","₦3,244,375,553.67","₦1,748,170,644.73","1,496,204,908.94 ",Under Audit,"₦148,925,318.82",0985 458 2942,Enugu,No
TIN84715586,Chidi Okafor Enterprises,VAT,  ,11/10/2010,2023,"22,002,941,011.13 ",2270637894.18,"₦359,019,339.32",NIL,compliant,103599776.99,(418) 948-5432,Anambra,true
TIN34848676,Grace Eze Enterprises,Withholding Tax (WHT),Banking,07.02.2013,2023,"N2,431,785,670",n/a,"₦9,291,093.36","N85,970,092",Under audit,,00211915891,Lagos State,true
TIN56905263,Blessing Adeyemi Enterprises,WHT,Real Estate,2010-05-08,2023,"NGN 41,115,890,611",11782597297.15 naira,"NGN 1,641,413,792","N10,141,183,505",compliant,"₦1,009,671,197.62",(713) 971-9126,Oyo,Yes
TIN64758479,Amara Bello Enterprises,vat,Real Estate,2011-07-31,2020,"NGN 46,072,284,098","N5,557,319,041",5087799291.03 naira,N/A,Compliant,"₦213,482,741.93",+234071245531,Rivers,true
TIN51419865,Ibrahim Eze Enterprises,cit,?,26/05/2012,2020,7427615167.04 naira,1990659321.79,"N540,518,301","N1,450,141,021",Partially Compliant,,234-546-772-051,Akwa Ibom,No
TIN37067027,Chioma Mohammed Enterprises,Company Income Tax (CIT),Real Estate,22.07.2022,2020,10421412159.75,"NGN 1,586,376,078","N1,034,617,228","NGN 551,758,850",Compliant,,invalid,Akwa Ibom,no
TIN13083690,Yusuf Eze Enterprises,Education Tax ,Professional Services,06/09/2022,2020,"₦5,061,941,221.19","NGN 681,557,691","NGN 342,095,682","₦339,462,008.47",Compliant,,234-048-878-995,Abuja,FALSE
TIN81592042,Musa Okeke Enterprises,cit,NIL,21/02/2020,2025,"₦36,452,869,149.97","9,145,529,753.92 ","N2,591,327,265","NGN 6,554,202,489",Under Audit,"253,217,903.78 ",+234746706751,Akwa Ibom,FALSE
TIN50777653,  Bisi Olawale Enterprises,Withholding Tax (WHT),Retail,27.07.2014,2025,"N19,135,072,249","NGN 437,944,732",132938147.51 naira,"NGN 305,006,585",Exempted ,?,01386908716,Oyo,true
TIN59611763,Fatima Nwosu Enterprises,Value Added Tax (VAT),-,20 March 2017,2023,"₦9,209,818,798.23","N2,383,849,406",686718686.24 naira,"₦1,697,130,719.40",Exempted ,"N187,843,967",+234534281644,Oyo State,false
TIN86592800,Bola Ajayi Enterprises,Personal Income Tax (PIT),Professional Services,31 October 2014,2024,"N10,461,103,699","NGN 873,998,587","₦375,656,684.46",498341902.10 naira,compliant,"75,812,112.78 ",0153 259 4795,Anambra,N
TIN38829496,Grace Mohammed Enterprises,Capital Gains Tax (CGT),Telecoms,08/05/2013,2025,"45,376,719,218.35 ",1333794666.52 naira,"NGN 448,057,336",885737330.67,NON-COMPLIANT,"₦105,881,356.43",44716198273,Enugu,N
TIN64909646,bola yusuf enterprises,VAT,Banking,2014-07-12,2021,"14,809,801,205.54 ","N454,564,033","₦74,896,606.02","₦379,667,426.96",compliant,,234-200-283-948,Delta,0
TIN80093188,Sadiq Okonkwo Enterprises,Capital Gains Tax (CGT),Professional Services,2020-12-31,2025,"N19,319,085,443","N1,723,360,421",1755103500.77,₦0.00,Exempted ,94891788.1,,Kano,N
TIN78354266,Femi Chukwu Enterprises,cit,Professional Services,19 November 2014,2020,"NGN 43,663,980,759","N9,640,138,591","N4,606,739,095","N5,033,399,495",Exempted,726096881.85,234-092-257-090,Edo,true
TIN17203176,Bola Mohammed Enterprises,WHT,?,2021/09/09,2025,48007333648.78,"N4,951,383,385","₦545,373,169.13","₦4,406,010,215.52",compliant,400771211.05 naira,(396) 987-4869,Delta,Yes
TIN93736973,Grace Adeyemi Enterprises,Value Added Tax (VAT),Oil & Gas,01 February 2022,2024,"NGN 41,956,803,572","NGN 5,842,038,768",2694208216.31 naira,"₦3,147,830,551.98",Exempted ,"NGN 446,747,019",0074 682 3546,Imo,true
TIN29932763,obinna ogundimu enterprises,VAT,FMCG,07 December 2022,--,"₦27,293,299,759.53",3069986631.7,"N2,639,489,780","N430,496,852",Compliant,"₦143,290,091.65",22101023200,FCT,TRUE
TIN22976137,Chioma Chukwu Enterprises,Education Tax (EDT),Telecoms,14 May 2013,,"NGN 46,044,032,941",9113449960.21,"2,121,239,203.63 ","N6,992,210,757",NON-COMPLIANT,"N461,128,658",234-736-542-624,Edo,No
TIN21665279,Yusuf Olawale Enterprises,Company Income Tax,Telecoms,27 December 2020,2024,"N6,535,599,507",1678631859.81 naira,1071343252.37 naira,"N607,288,607",compliant,28341687.94,+234873137971,Oyo,true
TIN42320287,Tunde Mohammed Enterprises,Value Added Tax (VAT),Oil & Gas,2013-01-12,2025,26941786411.82,"₦6,881,038,322.95",1274817809.18 naira,"₦5,606,220,513.77",Under Audit,"NGN 500,249,637",+234600128382,Edo,0
TIN20123472,   chinedu bello enterprises,Company Income Tax,Oil & Gas,2015-06-10,2022,"₦20,991,751,300.38",NIL,"NGN 891,137,356","N4,134,762,969",compliant,"N221,851,427",02344225216,Plateau,No
TIN69031898,Amara Ogundimu Enterprises,Value Added Tax (VAT),Oil & Gas,10/21/2016,2020,"N3,979,435,618",647109728.59,65394377.1,"N581,715,351",Partially Compliant,,+234105080549,Delta,1
TIN17530937,Obinna Afolabi Enterprises   ,Withholding Tax (WHT),Professional Services,10/21/2014,2023,"2,334,634,394.94 ","N303,473,205",1905485.90 naira,"N301,567,719",compliant,"₦19,543,573.47",(625) 908-4194,Cross River,N
TIN84642441,Ifeoma Yusuf Enterprises,PIT,Real Estate,22.10.2017,2024,  ,148995684.54 naira,43471172.71,105524511.83 naira,NON-COMPLIANT,"N1,155,087",(894) 204-6648,Akwa Ibom,Y
TIN19918995,Tobi Eze Enterprises,Education Tax ,Real Estate,03 August 2011,2020,"₦33,068,417,782.46",4154487666.34 naira,"NGN 1,412,595,992",2741891674.55 naira,Under Audit,7808906.99 naira,0000000000,lagos,1
TIN75149035,blessing balogun enterprises,Capital Gains Tax (CGT),Banking,12.09.2015,2021,"₦40,833,320,618.92","NGN 911,784,118","₦408,770,659.70","₦503,013,458.39",Non-Compliant,,96330833444,Akwa Ibom,No
TIN13563649,Femi Adeyemi Enterprises,WHT,Telecoms,13-Sep-2010,2024,"11,019,084,224.53 ","NGN 1,732,434,952","NGN 498,791,886",1233643065.46,compliant,,+234460422763,Cross River,FALSE
TIN89721183,Sadiq Okafor Enterprises,Personal Income Tax (PIT),Telecoms,01/21/2011,2024,"N8,780,202,090","₦1,956,920,864.84",1380617299.61,576303565.23,Exempted,132823287.96 naira,00499809497,Plateau,Y
TIN44657682,chinedu abubakar enterprises,Education Tax ,unknown,2010/12/21,2025,"N18,161,634,007","NGN 1,679,164,769","₦1,134,775,216.98","NGN 544,389,552",compliant,"N118,310,520",+234170598445,Cross River,true
TIN65717462,Bisi Afolabi Enterprises,CIT,Banking,04-Feb-2011,2020,28441220841.90 naira,"NGN 8,467,023,885","₦4,279,850,904.82","₦4,187,172,980.20",Under audit,,234-883-565-179,Rivers,Yes
TIN38511306,Kemi Okonkwo Enterprises,cit,FMCG,22 April 2013,2025,"N26,820,175,692","NGN 6,859,148,368",Unknown,"NGN 6,352,827,887",Partially Compliant,"411,973,043.59 ",94815269255,Cross River,false
TIN70178749,  Chioma Afolabi Enterprises   ,cit,Retail,22.01.2019,2024,"N10,066,507,259","₦1,744,486,186.95","N1,060,588,846","N683,897,341",Non-Compliant,,234-559-450-119,Imo,N
TIN49345327,Blessing Okonkwo Enterprises,cit,FMCG,2016-05-25,2024,"NGN 37,128,280,075",5815674017.19,715227305.79,,compliant,,76010801810,Plateau,false
TIN13123773,Ifeoma  Ajayi Enterprises,Value Added Tax (VAT),FMCG,2016-04-23,2022,34313828626.8,3920790642.66 naira,3953528878.40 naira,NGN 0,Under audit,"₦170,381,178.05",(116) 436-9028,Imo,No
TIN19834876,Ifeoma  Chukwu Enterprises   ,Capital Gains Tax (CGT),Real Estate,08-Jan-2012,2023,"N27,990,078,003","₦1,256,221,793.18",1338679786.35,nil,Compliant,,(676) 497-9741,Akwa Ibom,yes
TIN60642472,Musa Lawal Enterprises,cit,Manufacturing,29/12/2014,2020,"N42,839,770,215",11097861379.15,"N2,762,109,343","N8,335,752,036",Under Audit,210414768.61,+234697083868,Edo,Y
TIN44384897,Sadiq Yusuf Enterprises,Value Added Tax (VAT),Banking,10/08/2022,2025,"N24,400,818,809","₦2,788,676,268.79",2954332985.65 naira,0,Under audit,,+234625719760,Abuja,Yes
TIN93736973,Grace Adeyemi Enterprises,Value Added Tax (VAT),Oil & Gas,01 February 2022,2024,"NGN 41,956,803,572","NGN 5,842,038,768",2694208216.31 naira,"₦3,147,830,551.98",Exempted ,"NGN 446,747,019",0074 682 3546,Imo,true
TIN97636529,Emeka Ogundimu Enterprises,VAT,Manufacturing,06-Nov-2021,2025,"NGN 26,664,842,279","NGN 1,261,031,342","NGN 546,735,029",714296312.89 naira,Partially Compliant,27075258.56,(772) 168-8005,Delta,Y
TIN29826403,Segun Okafor Enterprises,WHT,Real Estate,13/10/2018,2021,"₦47,669,622,693.36","10,226,997,938.25 ","N8,754,052,231","NGN 1,472,945,707",Exempted,unknown,(970) 890-5836,Delta,1
TIN16771706,Fatima Nnamdi Enterprises,CIT,Telecoms,03 September 2012,2023,Unknown,2153369253.55,"₦1,457,844,418.37","NGN 695,524,835",compliant,"N202,579,562",N/A,Enugu,true
TIN90778931,Wale Abubakar Enterprises,vat,Telecoms,07/28/2015,2023,21304241458.86 naira,"NGN 3,062,579,460","₦329,549,708.99","₦2,733,029,751.48",compliant,,(787) 358-5664,Akwa Ibom,false
TIN31149672,Obinna Suleiman Enterprises,WHT,Professional Services,2019-08-06,2023,1373709767.13 naira,"₦324,797,381.03","NGN 347,240,231",₦0.00,Exempted ,"N23,733,044",0610 870 8269,KANO,FALSE
TIN11702247,Chioma Afolabi Enterprises,Withholding Tax (WHT),Oil & Gas,20 December 2011,2025,"₦39,725,353,851.65","NGN 1,038,370,503",455919570.16 naira,"₦582,450,933.06",Partially Compliant,"N41,781,639",N/A,Anambra,No
TIN34956388,Adaeze Olawale Enterprises,Company Income Tax (CIT),Real Estate,28-Jul-2012,2020,47787573960.04 naira,"NGN 11,204,967,713","₦4,836,029,739.52","N6,368,937,974",Exempted,"₦709,165,463.16",(413) 193-5923,Kano,Y
TIN10381184,Ngozi Nwosu Enterprises,Company Income Tax,Banking,not set,2021,22773315423.61,-,"N4,641,144,682",,Exempted ,,,Plateau,Yes
TIN20293854,kemi abubakar enterprises,VAT,Professional Services,08/23/2022,,"N26,787,514,824","₦5,757,823,270.10",5831649726.28,0.00 ,Compliant,"240,828,516.67 ",(913) 952-1501,KANO,Y
TIN46362851,Ifeoma Bello Enterprises,CIT,Telecoms,22/05/2016,2022,37291582184.16,"NGN 1,308,040,896","NGN 559,699,285",,Under audit,,0990 114 0034,Akwa Ibom,N
TIN38265460,Zainab Suleiman Enterprises,Withholding Tax (WHT),Manufacturing,27 August 2022,2021,"₦43,104,088,780.74","3,743,638,571.88 ",1378423378.44 naira,"N2,365,215,193",Partially Compliant,"₦359,954,455.60",0000000000,Enugu,1
TIN39081342,Yusuf Afolabi Enterprises,Education Tax (EDT),Oil & Gas,18/11/2015,2022,"NGN 20,536,126,445",null,1703759245.22,-,Under Audit,"N327,015,300",0398 654 6220,Edo,0
TIN46357448,Blessing Afolabi Enterprises,Personal Income Tax (PIT),Professional Services,2020/01/23,2021,"N13,333,666,307",  ,1351012236.78 naira,Unknown,Compliant,"N1,564,937",234-158-736-627,Enugu,1
TIN59649529,Amaka Bello Enterprises,Withholding Tax (WHT),FMCG,05/01/2012,2021,"20,740,672,262.00 ",3604024168.53,Unknown,3075785545.10 naira,Under audit,"NGN 357,962,975",(815) 969-8384,Edo,yes
TIN18072383,Femi Okeke Enterprises,Personal Income Tax (PIT),Banking,02-Mar-2011,2024,"N4,833,940,055","₦956,994,622.84",unknown,630511843.01 naira,compliant,"68,092,534.67 ",0941 224 8709,Abuja,Yes
TIN60378022,Tunde Adekunle Enterprises,Capital Gains Tax (CGT),Manufacturing,02.01.2011,2025,"NGN 40,055,906,396",7179652593.71,"₦2,013,688,769.83",5165963823.88 naira,Partially Compliant,?,75950026015,Port Harcourt,no
TIN30344320,Tobi Bello Enterprises,Company Income Tax (CIT),Oil & Gas,09.12.2010,2021,"₦36,426,288,029.96","NGN 3,506,994,933",382276120.2,"₦3,124,718,812.55",NON-COMPLIANT,,44974394640,Anambra,No
TIN32834802,adaeze adekunle enterprises,cit,Professional Services,2014-01-25,2023,11443020135.73,"770,692,921.07 ",N/A,"292,744,274.37 ",Exempted,,invalid,Ibadan,FALSE
TIN93937754,Fatima Ajayi Enterprises,Withholding Tax (WHT),FMCG,03/07/2017,2025,"NGN 15,649,383,102","₦3,312,914,633.66",3617191728.28,N0,compliant,"170,568,708.48 ",(720) 388-6217,Abuja,TRUE
TIN56215826,Chinedu  Lawal Enterprises,CIT,Manufacturing,2010/03/02,2021,"NGN 30,361,383,880","₦1,204,276,403.98","NGN 851,642,074",352634330.20000005,Exempted ,"₦107,479,981.42",+234385588195,Anambra,Y
TIN47942053,Yusuf Yusuf Enterprises,Education Tax ,Retail,2013-08-06,--,"N25,934,959,542",4108117889.09 naira,2710020623.93,"₦1,398,097,265.16",Compliant,"NGN 154,432,505",(878) 848-6999,Akwa Ibom,Y
TIN41243240,EMEKA ADEYEMI ENTERPRISES,Capital Gains Tax (CGT),FMCG,08.11.2016,2022,29515582351.62,  ,"₦2,256,761,234.23","₦670,221,168.35",Under audit,,0532 366 1850,Anambra,0
TIN64792305,Zainab Abubakar Enterprises,CIT,Oil & Gas,30/12/2016,2025,"₦43,207,938,392.36",nil,"NGN 7,084,191,776","₦5,205,817,383.84",compliant,"₦768,849,392.68",(163) 564-0723,Akwa Ibom,1
TIN23219094,Ngozi Lawal Enterprises,cit,Telecoms,16-Oct-2013,2022,"NGN 6,514,223,241",1553133629.52 naira,691476491.39 naira,"₦861,657,138.13",Compliant,140279808.46 naira,+234136090858,Imo,true
TIN87557393,ZAINAB YUSUF ENTERPRISES   ,Company Income Tax (CIT),Manufacturing,08 January 2011,2020,"NGN 48,186,143,213","₦8,834,760,659.17","NGN 6,983,742,935","N1,851,017,724",Compliant,"N128,979,548",234-077-943-325,Anambra,false
TIN65594083,Aliyu Balogun Enterprises,Company Income Tax (CIT),Telecoms,not set,n/a,null,"NGN 5,561,471,043","NGN 1,065,540,772",,Under audit,,234-708-056-856,Anambra,1
TIN82695586,Ibrahim Mohammed Enterprises,CIT,Professional Services,09/29/2018,2023,"24,866,451,647.20 ","N3,920,160,208","₦1,359,399,831.91","₦2,560,760,376.11",Partially Compliant,,0896 321 7435,Delta,Yes
TIN92306099,Kemi Adekunle Enterprises,Value Added Tax (VAT),Professional Services,06/15/2011,2024,28965355056.77 naira,"N5,232,036,528",n/a,"NGN 4,149,112,299",NON-COMPLIANT,159390800.39,234-550-113-753,Plateau,no
TIN71818316,funmilayo bello enterprises,VAT,Real Estate,12/21/2022,2024,35621783302.51 naira,"NGN 6,892,452,483","N4,530,957,639",2361494843.7400007,compliant,"NGN 146,468,441",01292059229,Enugu,false
TIN67214177,Halima Yusuf Enterprises,Value Added Tax (VAT),FMCG,2020/01/21,2025,"NGN 21,025,599,440","NGN 2,121,877,613","NGN 880,918,070","NGN 1,240,959,543",Compliant,"N133,579,250",0061 592 7387,Plateau,false
TIN31219139,Tunde Olawale Enterprises,CIT,Oil & Gas,20/02/2012,2023,15099342708.23 naira,"N4,418,245,463","₦2,020,869,347.34","2,397,376,115.97 ",compliant,"N193,903,553",72790371616,Lag,No
TIN16624908,Ifeoma Olawale Enterprises,VAT,Real Estate,15/03/2017,2023,"N44,116,941,538",9695634963.07 naira,"₦7,061,015,639.08","N2,634,619,324",compliant,"₦529,414,099.22",+234360894118,Abuja,false
TIN17524594,Amaka Abubakar Enterprises,CIT,Real Estate,2010-09-21,2024,"NGN 42,293,292,989","₦4,737,713,499.48","₦1,169,149,780.56",3568563718.9199996,compliant,"₦397,407,351.40",0141 600 9169,Kaduna,Yes
TIN26250163,Fatima Okonkwo Enterprises,Education Tax ,Oil & Gas,12/11/2022,2022,"₦3,087,147,473.47","₦83,793,342.69","NGN 22,555,758","N61,237,585",Under audit,439134.47,(994) 664-5099,Kaduna,N
TIN53800558,FEMI YUSUF ENTERPRISES,vat,Professional Services,2018-07-17,2023,"N28,168,287,374","₦7,331,595,673.95",7827247429.73,NGN 0,Exempted,"39,962,455.46 ",0000000000,Kaduna,Y
TIN44329893,Bisi Eze Enterprises,vat,Banking,02/03/2022,2024,49869972383.15,"₦13,045,783,568.92","N622,376,466","12,423,407,103.02 ",Under Audit,"N673,350,430",+234812831800,Delta,No
TIN60987765,femi  lawal enterprises,Education Tax ,  ,2015/05/17,2020,"NGN 17,180,291,028",4134634798.62 naira,"₦365,114,475.74",3769520322.88 naira,Exempted,237298146.39 naira,0000 305 6619,Enugu,No
TIN20293854,kemi abubakar enterprises,VAT,Professional Services,08/23/2022,,"N26,787,514,824","₦5,757,823,270.10",5831649726.28,0.00 ,Compliant,"240,828,516.67 ",(913) 952-1501,KANO,Y
TIN85223447,Kunle Ogundimu Enterprises,Company Income Tax,Banking,13.01.2013,2020,"₦12,427,614,183.72","N259,101,755","NGN 94,700,893","164,400,861.86 ",Exempted ,,07975649157,Anambra,TRUE
TIN56887820,Adaeze Okeke Enterprises,Company Income Tax,Real Estate,02 April 2021,2020,"₦39,383,198,130.98","NGN 4,295,027,185","NGN 1,934,891,078","₦2,360,136,107.05",Exempted ,"₦265,290,146.34",+234740837819,Edo,N
TIN94957287,Ifeoma Lawal Enterprises,CIT,Banking,29 March 2011,2022,"14,317,650,461.96 ","NGN 1,594,353,155",607186732.59 naira,,Compliant,,(848) 860-0801,Delta,TRUE
TIN43183593,IFEOMA CHUKWU ENTERPRISES,vat,Real Estate,2022/09/03,null,12445643109.76,979200049.79,"N222,165,021",757035028.78,Exempted ,,(962) 746-6621,Rivers,FALSE
TIN43856332,Obinna Yusuf Enterprises,CIT,Manufacturing,05/12/2013,2025,-,"NGN 6,090,055,243","NGN 5,194,258,566","895,796,677.93 ",compliant,"338,473,925.09 ",invalid,Ogun,no
TIN14621401,Zainab Adeyemi Enterprises,WHT,  ,13/02/2016,2022,"₦8,924,125,336.50","2,336,410,238.63 ","N1,864,352,113",,Non-Compliant,"199,114,771.52 ",invalid,abuja,false
TIN52537935,CHIDI AFOLABI ENTERPRISES   ,PIT,Banking,11.05.2014,2025,42768148290.78,"₦9,220,491,913.48",7938548244.64 naira,1281943668.8399992,Under Audit,"₦178,051,210.03",0172 031 3695,Kaduna,N
TIN36441609,Sadiq Ogundimu Enterprises,Value Added Tax (VAT),FMCG,16 June 2020,2024,17684617812.43,2073228800.33 naira,"NGN 1,679,610,853","₦393,617,947.57",Compliant,,+234158388217,Akwa Ibom,Y
TIN12169032,Ifeoma Ogundimu Enterprises,WHT,Retail,2014-09-13,-,"NGN 39,522,734,776","NGN 6,600,502,463","N2,804,614,404","₦3,795,888,059.56",Non-Compliant,,0011 950 9271,Lagos,FALSE
TIN84103662,Funmilayo Olawale Enterprises,cit,Manufacturing,13.05.2020,2020,19841591122.14,3290856451.64,2308529386.28,"NGN 982,327,065",Non-Compliant,"NGN 105,884,234",05100307620,Imo,No
TIN69843840,Tunde Afolabi Enterprises,Value Added Tax (VAT),Real Estate,2012-04-20,2020,17389984299.82,"₦4,252,184,595.74","₦977,597,680.49","NGN 3,274,586,915",Under Audit,"₦12,624,214.23",90835211896,Rivers,N
TIN42356151,SADIQ AFOLABI ENTERPRISES,WHT,Real Estate,25-Oct-2019,2025,"42,779,374,785.85 ","₦6,340,016,717.15","₦4,693,366,000.53",1646650716.62 naira,Under Audit,219417583.42 naira,+234952549206,Kano,0
TIN27020627,Bisi Mohammed Enterprises,Capital Gains Tax (CGT),Real Estate,07-Mar-2011,2021,"NGN 47,865,392,703","₦3,193,170,053.44","NGN 1,845,015,206","N1,348,154,848",compliant,,+234893186928,Kano,N
TIN13856812,Tunde Adeyemi Enterprises,VAT,Retail,2019/08/19,n/a,"₦27,031,432,691.02","₦4,250,227,391.22",4112810029.36,137417361.85999966,Exempted,"NGN 58,013,487",03493396504,Ogun,yes
TIN77484190,Obinna Balogun Enterprises,Personal Income Tax (PIT),Retail,2012/05/05,2020,18611729195.61 naira,"NGN 3,122,520,351","₦94,501,857.78","₦3,028,018,492.94",compliant,,234-728-289-540,Edo,No
TIN68211726,Amaka Nwosu Enterprises,vat,Manufacturing,2010-06-07,2025,"₦34,259,633,254.10",9699066617.42 naira,5996846996.59 naira,3702219620.83,Under audit,,234-135-992-855,Anambra,No
TIN85958106,Emeka Nwosu Enterprises   ,Personal Income Tax (PIT),Professional Services,06.10.2021,2021,"₦9,607,480,818.38","NGN 2,158,610,115","1,852,899,532.89 ","NGN 305,710,582",Under audit,,234-340-301-095,Port Harcourt,N
TIN27688070,Ifeoma Afolabi Enterprises,VAT,nil,24/07/2020,2020,"NGN 22,125,704,622",3238473362.36,"₦1,682,687,385.80",,Exempted,"NGN 237,658,950",+234698369235,Akwa Ibom,TRUE
TIN44540181,obinna  abubakar enterprises   ,Company Income Tax,Banking,12/03/2013,nil,"₦20,504,630,771.38","₦2,619,928,193.70",2577272954.58 naira,"NGN 42,655,239",Under audit,"N34,805,811",0350 238 5022,Anambra,0
TIN77076032,ifeoma abubakar enterprises,Capital Gains Tax (CGT),Manufacturing,02.05.2013,2021,14086209845.76 naira,NIL,"NGN 685,183,020","1,093,652,130.37 ",Under Audit,90170532.09 naira,234-535-412-012,Anambra,0
TIN81265283,chidi bello enterprises,Company Income Tax (CIT),Manufacturing,03.09.2018,2023,"46,832,008,274.80 ","13,672,510,063.49 ","NGN 6,444,372,728","NGN 7,228,137,336",Partially Compliant,"N228,433,742",invalid,Imo,false
TIN27198316,Zainab Bello Enterprises,Value Added Tax (VAT),Manufacturing,02/21/2014,2022,"NGN 9,894,076,679","NGN 2,160,455,792","905,895,098.54 ",,Under audit,,234-158-268-687,Enugu,false
TIN83067221,Halima Suleiman Enterprises,Company Income Tax (CIT),Retail,08.03.2010,2021,17027080397.37 naira,1363030716.10 naira,461048635.19,"NGN 901,982,081",NON-COMPLIANT,"N130,165,436",0133 760 5230,Kano,Y
TIN41366735,Halima Olawale Enterprises,Education Tax (EDT),Oil & Gas,28-Oct-2022,2023,"30,346,385,146.66 ","NGN 4,169,473,881","N2,255,125,513",,Under Audit,62598494.51 naira,N/A,Edo,false
TIN74964934,Amara Balogun Enterprises,Education Tax (EDT),Professional Services,27.11.2016,2023,"₦16,880,101,739.58","N4,142,759,846","N3,457,429,182",685330664.1599998,Non-Compliant,,0907 499 2164,Delta,No
TIN86695567,Amara Balogun Enterprises,PIT,Professional Services,29-May-2014,2020,38419099561.17,"6,607,933,140.61 ","6,190,060,837.45 ","NGN 417,872,303",Non-Compliant,,00693588249,abuja,0
TIN76728614,segun olawale enterprises,Withholding Tax (WHT),FMCG,21/10/2018,2021,"NGN 7,460,703,759","₦287,589,609.55","56,031,197.83 ","231,558,411.72 ",Compliant,"N21,992,682",(020) 304-2322,Plateau,false
TIN86020468,Segun Nnamdi Enterprises,Withholding Tax (WHT),FMCG,31 January 2014,2025,"N13,198,410,447","817,709,715.69 ",28151108.27,"789,558,607.42 ",Under Audit,"₦39,462,577.21",(243) 838-0582,Cross River,TRUE
TIN17831795,Yusuf Nwosu Enterprises,VAT,Oil & Gas,2015/11/19,2022,"NGN 29,804,596,593","N6,600,545,346","N5,337,658,136","₦1,262,887,210.46",Under audit,,09591257349,Anambra,N
TIN71442553,chinedu okonkwo enterprises   ,Personal Income Tax (PIT),  ,21 December 2017,2020,41205658986.98 naira,"NGN 3,560,621,506","₦1,206,237,941.58","₦2,354,383,564.29",NON-COMPLIANT,,05957086199,Edo,true
TIN32103201,Sadiq Okeke Enterprises,cit,Oil & Gas,02/01/2021,2021,"₦47,457,800,206.11",4259572283.78 naira,"N735,542,638","₦3,524,029,646.16",Under audit,-,invalid,Plateau,false
TIN94113197,Ngozi Suleiman Enterprises,VAT,Telecoms,22/09/2015,2023,"₦1,825,566,969.68","₦423,879,540.07","N414,488,769","9,390,771.36 ",compliant,32809662.4,91311178619,Delta,FALSE
TIN14140199,Zainab Ogundimu Enterprises,Personal Income Tax (PIT),Real Estate,05-Jul-2012,2020,"N29,528,855,622",4118822521.24,3172169185.89,946653335.3499999,Exempted ,250446235.34 naira,0107 308 7156,Delta,FALSE
TIN38664986,Femi Okonkwo Enterprises,WHT,Unknown,12-Apr-2013,2020,"8,330,458,500.32 ","NGN 1,867,587,580","₦1,925,389,314.66",N0,compliant,,+234945295171,Ogun,FALSE
TIN12129961,Blessing Okeke Enterprises,vat,Banking,15-Jun-2016,  ,24345787134.73,"₦849,169,907.89","206,203,495.03 ",642966412.86 naira,Compliant,"N61,515,354",0706 648 9008,Lagos,TRUE
TIN66507791,Tunde Abubakar Enterprises,WHT,Banking,N/A,2023,"NGN 16,148,391,015","N1,191,827,643","₦386,695,218.80","₦805,132,424.21",Exempted ,"N56,251,102",0739 713 0722,Delta,no
TIN30423975,Halima Olawale Enterprises   ,Company Income Tax,FMCG,10 October 2018,2020,"₦41,310,970,457.35","₦1,388,224,618.55","506,502,201.95 ",881722416.5999999,Non-Compliant,,(251) 618-5759,Port Harcourt,N
TIN37254845,Blessing  Lawal Enterprises,cit,Manufacturing,16.02.2020,2025,47598371476.94,"N4,015,788,073","N3,286,292,329","NGN 729,495,745",Compliant,307465656.34,05324725058,Imo,false
TIN12326283,chioma  mohammed enterprises,WHT,Oil & Gas,10/09/2022,2023,"₦1,854,539,231.18","N511,935,752","NGN 173,836,360","₦338,099,391.80",Compliant,"₦28,581,357.49",0953 774 9266,Edo,1
TIN70442481,Blessing Okeke Enterprises,PIT,FMCG,25.02.2013,2021,48846825904.45,"3,943,930,431.47 ","NGN 2,562,850,773","NGN 1,381,079,659",Under audit,"381,026,142.20 ",+234491699939,Imo,Yes
TIN41479920,Tunde Lawal Enterprises,Personal Income Tax (PIT),Oil & Gas,07.08.2016,2023,"NGN 27,652,081,624","7,911,136,565.19 ","NGN 3,301,524,491","N4,609,612,074",Exempted ,,03211221215,Rivers,false
TIN21162105,chidi  adekunle enterprises,cit,Telecoms,04-Nov-2016,2020,"38,042,754,587.83 ",1347069668.79,"N1,082,210,936","₦264,858,733.17",Under audit,"84,793,173.19 ",82251272670,Edo,1
