LoanID,BorrowerName,BorrowerPhone,Gender,LoanPurpose,PrincipalAmount,InterestRate_pct,DisbursementDate,MaturityDate,AmountRepaid,LoanStatus,CollateralType,LoanOfficer,State,NPL_Flag
MFL900009,Amara Abubakar,00434165182,M,Home Renovation,"3,851,593.96 ",13.5,14 July 2022,09 July 2023,"NGN 524,201",DEFAULTED,Land Title,bisi adeyemi,Imo,1
MFL900197,SADIQ MOHAMMED,(486) 401-5577,F,SCHOOL FEES,4662817.45 naira,28.84,04 March 2024,05/27/2025,"NGN 4,886,511",Active,NONE,tunde nnamdi,Ogun,0
MFL900360,Tobi Ogundimu,234-156-956-201,Male,business,128208.28 naira,7.85,08/08/2022,30-Sep-2023,"NGN 82,438",Defaulted,Unknown,Emeka Bello,Abuja,0
MFL900349,Sadiq Abubakar,00046152654,female,   SCHOOL FEES,1755916.27,35.85,04/02/2024,08.03.2026,"₦313,002.67",Written Off,NONE,Zainab Okeke,KANO,true
MFL900321,aliyu afolabi,05213760375,male,Medical Bills,3366896.05 naira,  ,2022/08/02,01/21/2023,"₦1,584,794.66",Fully Repaid,Land Title,Grace Suleiman,Delta,Yes
MFL900151,Sadiq Okonkwo,02395041027,M,Home Renovation,"NGN 2,890,788",31.11,31-Mar-2022,04-Apr-2023,"NGN 713,720",Active,Land Title,tunde nnamdi,Anambra,TRUE
MFL900127,FATIMA NWOSU,(562) 557-7017,male,Medical ,"N1,793,632",32.48,02/04/2024,01/24/2026,"₦1,300,744.21",Written Off,-,adaeze lawal,Imo,Yes
MFL900297,Amara Suleiman,(749) 961-6592,F,Agricultural  Input,"N4,529,308",30.09,27-Aug-2024,2026-08-27,"N1,378,725",Fully Repaid,None,Ifeoma Bello,Kaduna,N
MFL900309,Ngozi Okonkwo,0496 050 1667,Female,Equipment Purchase,"NGN 1,859,821",28.68,03-Apr-2024,,"₦606,056.13",DEFAULTED,Land Title,Chinedu Bello,Enugu,Y
MFL900183,Musa Olawale,0153 136 3631,female,  Medical Bills,4674538.07 naira,-,14 December 2022,10/05/2023,"₦180,730.28",active,Vehicle,Kunle Okeke,Lagos,N
MFL900409,Kunle Abubakar,(672) 994-9387,M,Equipment  Purchase   ,"N765,688",20.3,,01/01/2024,639546.57,Fully Repaid,guarantor,blessing nwosu,Imo,TRUE
MFL900004,FEMI SULEIMAN,(011) 848-9554,female,  Agricultural Input,"NGN 3,333,405",19.39,2023/09/20,08/24/2025,"N2,127,359",DEFAULTED,NONE,Aliyu Abubakar,Kaduna,No
MFL900252,MUSA SULEIMAN,+234569659171,female,Business Expansion,"N1,417,643",3.61,2022/08/29,2024/06/01,1186926.15 naira,Active,Vehicle,Yusuf Ajayi,Abuja,1
MFL900303,EMEKA AJAYI,09779452321,F,Agricultural Input,3425543.79,21.17,2022-02-22,07/18/2023,823144.12 naira,Written Off,Land title,Fatima Adekunle,ABUJA,TRUE
MFL900124,Tobi Adekunle,(016) 016-6299,F,Home Renovation,1440214.04 naira,8.16,07/09/2022,29.04.2024,"N574,678",Written Off,guarantor,amaka mohammed,Delta,0
MFL900331,Kemi Nwosu,+234753998935,male,School Fees,1313640.43 naira,5.25,,01/04/2023,"₦407,268.04",Written Off,guarantor,Blessing Eze,Akwa Ibom,0
MFL900210,Ifeoma Nnamdi,0515 093 9834,male,Business  Expansion,"NGN 3,473,561",14.82,01-Sep-2024,01/31/2026,"₦479,067.96",Fully repaid,guarantor,kemi okafor,Lagos,FALSE
MFL900212,Chidi Mohammed,09805626565,female,Medical Bills,"₦4,233,137.17",unknown,2023/06/16,11-Feb-2024,"N4,006,007",Overdue,Land Title,ADAEZE YUSUF,Imo,TRUE
MFL900393,Ibrahim Ogundimu,(925) 481-2147,Male,Home Renovation,"NGN 2,683,074",15.41,03/19/2023,unknown date,"N909,991",DEFAULTED,NIL,Sadiq Okonkwo,Kano,0
MFL900180,segun nnamdi,07220054364,Female,Business Expansion,  ,18.51,11/04/2024,22-Jun-2026,"₦765,460.68",DEFAULTED,Vehicle,WALE ADEKUNLE,Akwa Ibom,Y
MFL900170,Obinna Nwosu,+234027079032,female,Petty Trading,605219.39 naira,20.56,03/01/2022,06-Jul-2022,"NGN 368,890",DEFAULTED,Land title,Blessing Okonkwo,Imo,no
MFL900307,SADIQ  AFOLABI,234-683-147-276,male,School Fees,  ,15.16,12/06/2024,01/10/2026,"₦1,780,481.95",Fully repaid,Shop Stock,Aliyu Ajayi,Edo,Y
MFL900063,Chioma Adeyemi,02459334419,Female,  Medical Bills,2524332.95 naira,23.09,07/03/2023,01.02.2025,319800.55,Fully Repaid,--,Tunde Mohammed,Lagos,0
MFL900420,Emeka Chukwu,234-647-090-063,male,Medical Bills   ,"3,337,755.82 ",33.17,06-Feb-2023,2023/05/18,2472939.46 naira,DEFAULTED,Land Title,halima nnamdi,Ogun,No
MFL900355,Ifeoma Ogundimu,0749 465 3984,female,Equipment Purchase,"N4,969,106",8.51,01 March 2022,2023/03/07,"N1,956,668",Fully repaid,None,Bola Adekunle,Enugu,Yes
MFL900408,Musa Bello,+234286716323,female,Business Expansion   ,"NGN 3,904,316",17.38,28.05.2022,27.08.2023,"₦3,808,241.25",Active,Land Title,Funmilayo Okeke,Edo,Y
MFL900013,Tobi Nwosu,0472 846 3920,Male,   Home Renovation,unknown,31.71,28/02/2023,06/30/2024,"NGN 1,697,396",Defaulted,NONE,OBINNA NNAMDI,Delta,no
MFL900078,adaeze afolabi,(368) 157-9812,Male,   Equipment Purchase,"₦2,030,646.19",25.99,29.06.2023,03/27/2025,"NGN 509,179",Defaulted,Shop Stock,tunde nwosu,Plateau,1
MFL900021,Ngozi Nwosu,+234175455884,male,  business,267891.88,19.19,2022-10-06,2023-07-05,"₦246,913.69",Active,Guarantor,Zainab Okafor,Plateau,Yes
MFL900362,Ibrahim Chukwu,234-337-504-793,male,Equipment Purchase,3083943.16,32.27,2024/10/09,2026-07-29,2526531.87 naira,Overdue,guarantor,Bola Suleiman,Port Harcourt,TRUE
MFL900218,Chidi Nwosu,44714627301,female,Business Expansion,"N4,274,860",4.96,11/10/2023,25.01.2025,2906951.44,active,Vehicle,Emeka Bello,Ogun,1
MFL900032,  Amaka Okafor,+234424008254,M,Petty Trading,"₦1,838,544.40",16.13,01.12.2024,25.09.2025,"N1,228,460",Defaulted,Shop Stock,amaka adekunle,LAGOS,TRUE
MFL900089,Ifeoma Yusuf,04633312797,F,business,"3,139,438.35 ",10.57,2022-10-24,2023/10/22,--,Active,Shop Stock,Ifeoma Chukwu,Delta,FALSE
MFL900177,Bola Afolabi,+234329092791,M,SCHOOL FEES,"2,630,138.06 ",-,28/08/2023,25 May 2024,737428.01 naira,Defaulted,Land title,CHINEDU ADEKUNLE,Enugu,N
MFL900302,Fatima Abubakar,01722601645,male,Medical ,"4,220,117.50 ",12.79,03/12/2022,03/04/2024,"₦3,484,626.49",Written Off,NONE,AMARA OGUNDIMU,Enugu,0
MFL900221,Zainab Okafor,0725 204 5650,Female,  Business Expansion,"1,296,778.86 ",6.4,11/07/2024,03/20/2026,"₦1,291,950.78",Fully Repaid,Land Title,emeka olawale,Kaduna,No
MFL900327,zainab okafor,09756341085,male,Home  Renovation   ,"NGN 2,773,014",31.28,2024-10-07,2026/04/22,"2,851,795.34 ",Defaulted,Shop Stock,Grace Mohammed,Imo,FALSE
MFL900065,Amaka Okeke,09610556613,female,Business Expansion,"N793,134",12.46,31-Oct-2023,14.06.2024,"₦112,377.69",Overdue,Land Title,Fatima Afolabi,Anambra,no
MFL900394,Zainab Afolabi,0539 078 9567,F,  Home Renovation   ,"NGN 4,960,955",20.73,04/08/2023,2024-07-06,"₦4,080,339.74",Written Off,guarantor,bola chukwu,Ogun,TRUE
MFL900080,Femi Okeke,(205) 554-3840,male,Business Expansion,"₦3,873,379.35",null,18.09.2024,21.02.2025,"NGN 1,102,213",Fully repaid,Vehicle,Grace Bello,Anambra,1
MFL900123,Tunde Yusuf,+234149587020,female,Business Expansion,3973560.77 naira,8.19,05/02/2023,,1815924.13 naira,Fully repaid,Vehicle,tunde balogun,Anambra,0
MFL900193,Bisi Yusuf,0016 580 4649,Female,Business  Expansion,"NGN 3,280,460",19.94,11/08/2022,2023-06-27,"N2,152,342",active,NONE,wale nwosu,Delta,Yes
MFL900084,Aliyu Okonkwo,+234629251881,M,Medical Bills,4630493.84,3.3,12.12.2023,31/10/2024,"NGN 4,746,751",Fully Repaid,Land Title,ZAINAB EZE,Imo,TRUE
MFL900062,Tunde Ogundimu,08889921075,Male,Medical Bills,4082630.0,31.22,03/05/2024,2024/08/25,"2,577,109.36 ",active,Guarantor,Fatima Okafor,Delta,No
MFL900115,Wale Mohammed,234-145-046-173,female,  Agricultural Input,"₦696,393.31",17.48,unknown date,04/11/2023,"N275,140",Active,guarantor,Musa Nwosu,Delta,0
MFL900407,Musa Lawal   ,234-705-802-566,male,Equipment Purchase,3018516.37 naira,8.24,2023/12/07,06 February 2025,"N1,669,967",Written Off,None,Kemi Ajayi,Cross River,no
MFL900105,  Ifeoma Okeke,07214586833,Male,  Petty Trading,"₦952,092.38",32.74,2022/06/19,02 February 2023,"NGN 822,062",Fully repaid,Guarantor,ADAEZE LAWAL,Delta,false
MFL900314,Wale Lawal,234-665-729-341,female,Business Expansion,4080889.94,21.23,29-Jan-2022,21/03/2023,"N4,299,641",Fully repaid,Vehicle,Kunle Suleiman,Enugu,No
MFL900372,tobi okonkwo,+234070496110,Male,business,"₦2,158,790.31",19.29,20 October 2024,04/06/2025,447684.85 naira,Defaulted,guarantor,Segun Nnamdi,Anambra,N
MFL900242,Kemi Nnamdi,0702 695 2499,M,Home Renovation,"1,792,056.35 ",10.34,24 September 2023,04/02/2024,"NGN 1,506,238",Overdue,Land title,Segun Adekunle,Enugu,1
MFL900160,Halima Olawale,(504) 427-1739,male,Business Expansion,"₦2,084,219.77",11.0,12/09/2023,04/04/2024,"₦1,923,287.30",Active,Vehicle,blessing adeyemi,Oyo,Yes
MFL900175,Kunle Nnamdi,0219 620 7100,Female,  business,"N394,910",14.33,02/28/2023,12/07/2024,302847.04,Fully repaid,guarantor,BISI AFOLABI,Edo,yes
MFL900345,Aliyu Nwosu,82043397189,female,  Petty Trading,3308100.14,20.91,26-Mar-2024,10/30/2024,"₦3,486,769.50",Written Off,NONE,AMAKA NNAMDI,Plateau,false
MFL900077,Chidi Adekunle,234-701-645-104,F,SCHOOL  FEES   ,"N4,183,679",15.42,2024-05-13,05/27/2025,"2,516,391.88 ",Written Off,None,Ngozi Okafor,Ogun,N
MFL900272,SEGUN ADEKUNLE,(985) 700-2720,male,business   ,"3,432,302.08 ",14.79,29 September 2022,22/10/2023,1565800.77 naira,active,guarantor,Sadiq Adeyemi,Delta,Yes
MFL900219,Chidi Suleiman,+234719597964,M,   Home Renovation,4068636.33,3.88,28.09.2022,03 January 2023,"₦2,525,661.77",Active,Land Title,OBINNA BELLO,Delta,0
MFL900340,Obinna Mohammed,234-510-679-497,Female,  SCHOOL FEES,"4,070,949.57 ",3.76,2023/08/04,07/04/2024,"NGN 929,948",Active,Guarantor,CHIDI MOHAMMED,Enugu,true
MFL900254,NGOZI BELLO,0183 440 4963,Female,Medical Bills   ,"₦440,360.80",9.59,2023/08/01,06/13/2024,"₦414,720.68",active,Land title,Obinna Lawal,Kaduna,false
MFL900308,Yusuf  Olawale,234-227-770-793,F,School Fees,2062273.77,11.36,2024-03-06,11 August 2024,"NGN 781,258",active,N/A,Amara Olawale,Kaduna,true
MFL900198,Fatima Yusuf,+234178847951,Male,Petty Trading,671492.65,13.34,10 September 2023,06/05/2024,200818.44,DEFAULTED,None,BOLA EZE,Plateau,FALSE
MFL900051,Fatima Nnamdi,+234878294565,M,  Business Expansion,"₦4,573,707.96",22.77,02.06.2022,24/12/2022,"NGN 829,197",Defaulted,guarantor,Fatima Afolabi,Akwa Ibom,TRUE
MFL900060,Musa Okeke,+234845776004,F,School Fees,"N3,591,680",6.84,2024/10/17,02-Oct-2026,3529181.43,Fully repaid,Vehicle,femi nnamdi,Rivers,Y
MFL900367,Ibrahim Bello,0030 468 7506,F,Medical Bills,"NGN 1,126,206",24.62,06-Dec-2022,27/07/2023,"N888,720",Defaulted,Land Title,ibrahim nnamdi,Ogun,1
MFL900253,Emeka Olawale,05785294563,Female,Medical ,3561005.21 naira,9.82,00/00/0000,20 January 2025,798007.2,Overdue,Guarantor,Adaeze Eze,Ogun,No
MFL900311,Musa Okeke,invalid,Male,Business Expansion,"4,338,324.57 ",20.36,22/08/2024,10/20/2025,"NGN 1,708,031",Active,guarantor,Bisi Ogundimu,Rivers,TRUE
MFL900284,Aliyu Afolabi,02428757215,F,Agricultural Input,4579148.2,35.66,24/08/2023,17-Dec-2023,"NGN 4,127,383",Defaulted,Vehicle,Emeka Eze,Anambra,false
MFL900246,Sadiq Yusuf,+234671978897,M,  School Fees,"NGN 3,718,897",24.82,18-May-2022,24 June 2023,"N3,489,061",Written Off,guarantor,CHIOMA YUSUF,Cross River,true
MFL900299,Bisi Bello,234-476-174-224,Male,Petty Trading,"N812,775",9.68,2023/11/26,11/05/2024,"NGN 814,288",active,None,Funmilayo Nnamdi,Kano,Yes
MFL900094,Chidi  Okeke,77181298266,F,Equipment Purchase   ,"NGN 1,881,788",29.91,2023/01/09,12.04.2023,1952928.11,DEFAULTED,Guarantor,FEMI OLAWALE,Ogun,FALSE
MFL900117,Bola Abubakar,07807823578,male,Business Expansion,"3,119,439.28 ",15.93,20-Jul-2023,25/12/2023,"NGN 517,575",Written Off,Unknown,kunle bello,LAGOS,yes
MFL900131,Segun Bello   ,+234695832197,female,School Fees,"₦1,184,731.09",30.33,2023-08-11,2024-12-21,"₦617,101.84",Fully Repaid,NONE,fatima okeke,Anambra,0
MFL900182,  AMARA AFOLABI,234-137-995-635,Male,Home Renovation,"₦3,734,823.58",35.44,30 August 2024,N/A,"NGN 3,555,945",Written Off,Land Title,Fatima Adeyemi,Rivers,0
MFL900141,Emeka Ogundimu,87653269097,female,Equipment  Purchase,"N2,062,558",24.65,2023-01-11,01/07/2024,"N42,464",DEFAULTED,NONE,Adaeze Mohammed,Edo,No
MFL900007,Femi Ogundimu   ,invalid,Male,Petty Trading,4180830.27,33.82,18 May 2022,05.04.2023,"₦3,590,672.91",Defaulted,Land title,FEMI OLAWALE,Cross River,Yes
MFL900318,Bisi Okonkwo,+234508428910,male,Medical Bills,"1,545,075.63 ",16.44,09/26/2022,21.01.2023,"₦920,450.25",active,Land Title,Amara Okonkwo,Oyo,no
MFL900189,Chidi Lawal,03929060078,M,  Petty Trading,"₦882,454.07",Unknown,31.10.2022,2023/02/07,?,Fully Repaid,Unknown,Amara Okeke,Fct Abuja,Yes
MFL900402,Chidi Okeke,40755366684,M,  Agricultural Input,"165,304.21 ",31.73,27 March 2022,08 February 2024,115385.77 naira,Overdue,NONE,Zainab Ajayi,kano,true
MFL900109,IFEOMA  BELLO,(396) 605-5830,female,Medical Bills,"₦1,101,957.01",nil,,15-Jan-2024,"309,224.85 ",Active,guarantor,Grace Suleiman,Enugu,TRUE
MFL900029,Blessing Nnamdi,22820055778,male,  Business Expansion,N/A,13.81,31 October 2024,21 June 2026,1629187.87 naira,Active,Shop Stock,Funmilayo Lawal,Delta,yes
MFL900249,Bola Okeke,05616556503,Female,Petty Trading,4953367.75,14.54,05/31/2022,19/01/2024,"₦1,230,076.36",Defaulted,None,Ibrahim Adekunle,Oyo,Yes
MFL900233,Aliyu Lawal,01387592712,male,Business Expansion,4668428.99 naira,9.04,2022/09/04,16.06.2024,"₦941,860.33",Overdue,Shop Stock,Fatima Yusuf,Rivers,false
MFL900335,Aliyu Eze,0000000000,Female,Business Expansion,672620.55,20.09,12/04/2022,2024/01/25,"697,996.23 ",Overdue,Land title,WALE EZE,Cross River,TRUE
MFL900306,Kunle Eze,02203103037,Female,Home  Renovation,3964042.67,6.83,22/07/2022,16.01.2023,3823697.99 naira,DEFAULTED,guarantor,Obinna Balogun,Ogun,N
MFL900103,Adaeze Ogundimu,22499982795,Male,Equipment Purchase,"NGN 4,579,272",20.83,09/03/2023,20/01/2025,"N1,666,549",Fully repaid,unknown,Grace Yusuf,Edo,FALSE
MFL900390,Sadiq Mohammed,07912868578,female,Business Expansion   ,"1,267,708.93 ",34.48,15/05/2024,22.08.2025,"NGN 1,274,259",Fully repaid,?,Zainab Ajayi,Ogun,false
MFL900088,Femi Bello,0526 772 2330,M,Business Expansion   ,"N890,119",9.32,07/12/2022,2024/07/20,"N815,228",Active,NONE,kunle nwosu,Anambra,TRUE
MFL900224,HALIMA ADEKUNLE,84576521328,M,  Petty Trading,"₦718,129.63",29.02,14.06.2024,01/14/2026,"NGN 14,211",Written Off,Vehicle,IBRAHIM OGUNDIMU,Enugu,N
MFL900293,Bola Suleiman,0000000000,female,SCHOOL FEES,4729178.41 naira,  ,16.12.2022,00/00/0000,"4,153,519.13 ",active,Shop Stock,chidi balogun,oyo,Yes
MFL900260,SEGUN  NNAMDI,64424936312,female,School Fees,"₦698,855.05",14.66,2024-04-11,2024-07-26,"NGN 764,363",active,Shop Stock,Ibrahim Ogundimu,Lagos,yes
MFL900187,Kemi Lawal,(292) 983-1687,female,  Equipment Purchase,3675908.81,29.48,08/04/2024,04/25/2025,3578077.30 naira,Fully Repaid,Land Title,Obinna Yusuf,Ogun,Y
MFL900350,Zainab Balogun,234-033-993-788,F,Medical ,3501566.63 naira,--,14-Aug-2023,2023-12-07,"N3,405,423",DEFAULTED,guarantor,funmilayo balogun,Edo,1
MFL900368,chinedu adekunle,05190361332,Female,Equipment Purchase,"₦1,075,684.28",33.46,25 December 2024,05/30/2026,309931.60 naira,active,Land Title,Amara Okonkwo,Rivers,false
MFL900417,Funmilayo Adeyemi,234-183-727-422,M,  Equipment Purchase,"666,203.50 ",14.53,2023-05-18,08/06/2024,"N234,021",Active,Land Title,Adaeze Bello,Cross River,true
MFL900241,Musa Okafor,+234147732010,Female,business   ,"NGN 853,416",31.94,2022/10/20,not set,"NGN 201,786",Overdue,Guarantor,bisi yusuf,Kaduna,Y
MFL900296,Sadiq Afolabi,+234925158377,M,Medical Bills,"N1,254,122",22.72,unknown date,23-Nov-2023,462882.11 naira,DEFAULTED,Vehicle,Chidi Okeke,kano,true
MFL900018,grace okeke,+234931438663,Female,  Agricultural Input,"NGN 3,494,898",3.89,2024/07/15,2026/05/05,374870.8,DEFAULTED,NONE,Bola Okonkwo,Lagos,TRUE
MFL900334,Femi Adekunle,0737 158 6988,male,  Agricultural Input,"₦1,708,997.89",4.43,16.08.2024,22-Mar-2026,1280810.85,Written Off,Shop Stock,Bola Chukwu,Plateau,Yes
MFL900237,Kemi Nwosu,31752071678,female,School Fees,1198401.28 naira,33.11,29-Nov-2022,2023-12-02,"N978,793",Fully Repaid,guarantor,Halima Okeke,Cross River,Yes
MFL900086,Funmilayo Nwosu,12209949993,F,  SCHOOL FEES,"N1,293,581",27.27,22 February 2023,11/14/2024,"₦1,258,586.88",active,guarantor,SEGUN ADEKUNLE,Edo,1
MFL900346,Amaka Olawale,05690705626,F,Home Renovation,3235727.75 naira,5.83,03-Feb-2023,08/04/2024,1406541.32 naira,Overdue,NONE,Femi Abubakar,Kaduna,false
MFL900045,Kemi Bello,(132) 719-5005,female,  Medical Bills,"NGN 2,718,419",17.76,31/01/2022,09 April 2023,313681.1,DEFAULTED,Shop Stock,musa suleiman,Anambra,Yes
MFL900071,  tobi ogundimu,(465) 911-6655,Male,Medical ,"NGN 3,985,762",NULL,2022/02/21,30.07.2022,"₦2,580,245.54",DEFAULTED,Guarantor,Ibrahim Ajayi,Imo,1
MFL900270,Amara Ajayi,234-432-756-041,F,Business Expansion,3230047.40 naira,16.23,08-Jun-2023,2025/04/17,1661189.13 naira,Active,Land title,CHIOMA EZE,Anambra,Yes
MFL900003,Emeka Olawale,234-214-656-693,M,Business Expansion,"NGN 4,648,790",NULL,00/00/0000,28/01/2026,3112999.23 naira,Fully Repaid,None,Ifeoma Suleiman,Lagos,false
MFL900245,WALE AFOLABI,234-700-284-276,male,  Agricultural Input,"₦3,565,072.04",17.88,11/20/2024,08/06/2026,"₦734,476.73",Fully Repaid,None,Grace Ogundimu,Rivers,false
MFL900365,Kunle Okafor,(843) 089-4870,M,School Fees,"₦2,196,822.95",11.88,24.07.2024,2025-02-15,882468.69,DEFAULTED,guarantor,Segun Afolabi,Rivers,no
MFL900336,   Halima Bello,+234728813770,female,  Home Renovation,"NGN 1,629,245",25.88,00/00/0000,2024/04/12,"N861,552",Overdue,Land Title,Amaka Afolabi,Edo,FALSE
MFL900149,Musa Olawale,0292 752 4372,F,business,"N3,191,571",N/A,2024-03-24,09/02/2025,"3,326,866.67 ",Defaulted,Guarantor,AMARA OKONKWO,Oyo State,1
MFL900037,Chioma Okeke,+234735020802,F,  Home Renovation,"NGN 198,202",29.55,06/08/2024,00/00/0000,"170,946.40 ",Fully Repaid,Vehicle,kunle nnamdi,Kaduna,No
MFL900412,Chinedu Lawal,(926) 329-6762,female,Medical  ,62512.05 naira,21.52,2023/08/14,2024-12-20,"₦53,412.65",DEFAULTED,Vehicle,Tobi Eze,Oyo,Y
MFL900363,Tobi Mohammed,234-614-987-283,Male,Agricultural Input,"NGN 271,035",32.33,31 October 2024,05/07/2025,"NGN 247,486",active,Unknown,Chidi Abubakar,Abuja,true
MFL900204,Chioma Okeke,234-472-928-422,F,  business,"NGN 4,821,843",8.35,03/13/2023,2024-07-19,"N4,371,794",Defaulted,Land Title,Chidi Eze,Imo,yes
MFL900386,Bola Ajayi,invalid,female,SCHOOL FEES   ,2224410.99,22.08,12.06.2022,02/01/2023,"NGN 1,470,759",Written Off,NULL,chidi afolabi,Oyo,N
MFL900366,Obinna Balogun   ,0056 641 8775,Female,Equipment Purchase,4122377.81,22.8,25.11.2023,03/27/2025,unknown,active,Unknown,Sadiq Nnamdi,Oyo,Yes
MFL900315,  Bisi Adekunle,+234232971674,F,  SCHOOL FEES,"₦1,691,219.33",18.17,unknown date,2023/08/10,"NGN 434,442",Defaulted,NONE,Ibrahim Ogundimu,Delta,Y
MFL900036,Chidi Nwosu,63122417974,female,Medical ,3758918.96 naira,13.21,24/06/2024,2025-03-19,"3,899,256.93 ",Fully repaid,NONE,Tunde Mohammed,Ogun,FALSE
MFL900064,Wale Nwosu   ,234-315-727-919,Female,  SCHOOL FEES,"N3,325,502",33.54,10/06/2022,2023-12-21,"₦2,779,944.45",Fully Repaid,Unknown,Tobi Bello,Rivers,Yes
MFL900028,   zainab eze   ,(149) 216-4334,F,School Fees,"N4,151,202",11.5,12/29/2023,2024/10/12,"NGN 1,438,728",active,Guarantor,Sadiq Adeyemi,Abuja,FALSE
MFL900387,Zainab Nwosu,0896 112 2338,Male,business,2567916.69,22.73,13.06.2023,27-Oct-2024,--,Defaulted,NONE,Chioma Ogundimu,Plateau,Yes
MFL900059,Funmilayo Chukwu,(855) 665-9398,male,Agricultural Input,"₦2,788,025.17",7.75,2023/09/13,08/09/2024,"₦2,750,044.51",Written Off,None,chinedu okeke,Akwa Ibom,yes
MFL900173,Amaka Okeke,09825309251,F,business,"3,702,548.07 ",23.37,01/24/2022,2022-05-17,"₦3,734,433.92",Fully repaid,Guarantor,Blessing Okafor,Edo,no
MFL900067,ifeoma eze,+234832067998,female,   Home Renovation   ,"NGN 693,439",31.38,24 April 2024,2025/03/13,405073.52 naira,Written Off,None,Segun Ogundimu,Cross River,no
MFL900281,Ifeoma Nnamdi,72563669411,M,Medical ,"NGN 2,788,732",32.48,22 October 2022,20.02.2024,686848.24 naira,active,Shop Stock,ZAINAB OGUNDIMU,Delta,0
MFL900118,Tobi Yusuf,+234218230768,male,Equipment Purchase,"₦2,232,827.59",17.24,08-Sep-2023,13.01.2024,"₦2,406,242.87",DEFAULTED,Vehicle,Kunle Afolabi,Imo,false
MFL900008,sadiq eze   ,+234416335658,M,Petty Trading,"NGN 1,594,688",30.13,12-Oct-2023,unknown date,"NGN 514,760",Fully Repaid,Vehicle,Musa Ajayi,Kaduna,No
MFL900250,Aliyu Mohammed,03491141520,Male,business   ,"₦2,184,696.97",17.65,not set,2025-02-23,"₦2,304,081.70",active,Vehicle,AMARA CHUKWU,Kaduna,1
MFL900017,Wale Nwosu,234-636-556-472,male,SCHOOL FEES,4454517.75 naira,32.47,29.07.2023,20/06/2025,NULL,Written Off,Unknown,Amara Nwosu,Oyo State,no
MFL900129,bisi adekunle,+234158148769,female,  SCHOOL FEES   ,"NGN 3,907,786",18.79,2024/12/29,18 December 2025,"₦1,394,075.42",Defaulted,Vehicle,SEGUN BELLO,Rivers,FALSE
MFL900298,Kemi Lawal,+234108573278,F,Medical ,3116963.19,16.75,12-Nov-2024,2025-04-13,"N1,029,099",Fully repaid,Shop Stock,ZAINAB AFOLABI,Edo,FALSE
MFL900011,Tobi Bello,234-333-395-211,M,Agricultural Input,"NGN 2,760,441",4.96,,09/05/2024,640721.1,Defaulted,Vehicle,Amara Eze,Kano,N
MFL900119,Tobi Nnamdi,00409157018,male,business,"₦3,492,360.38",11.8,2023/12/05,2025-09-23,581254.97,Written Off,None,Femi Olawale,Imo,Y
MFL900348,Yusuf Nnamdi,0241 246 2095,M,business,958996.56,11.9,,12/17/2023,"NGN 742,653",Active,Land Title,Chioma Adeyemi,Rivers,Yes
MFL900019,ngozi afolabi,27026728857,male,Medical ,?,28.23,25-Dec-2022,28 May 2024,"136,795.32 ",Overdue,None,Musa Abubakar,Cross River,Yes
MFL900285,Segun Yusuf,+234241502745,Female,Medical Bills,"NGN 726,691",30.39,2023-03-03,09 July 2023,264929.13 naira,Written Off,Guarantor,wale abubakar,Cross River,1
MFL900086,Funmilayo Nwosu,12209949993,F,  SCHOOL FEES,"N1,293,581",27.27,22 February 2023,11/14/2024,"₦1,258,586.88",active,guarantor,SEGUN ADEKUNLE,Edo,1
MFL900322,Ngozi Abubakar,234-214-565-328,male,  Medical Bills   ,3181424.90 naira,9.75,02-Mar-2024,02-Oct-2025,"₦861,154.08",DEFAULTED,Vehicle,FATIMA OKAFOR,Plateau,N
MFL900287,Zainab Lawal,87032032074,Female,Medical ,"NGN 3,540,905",11.42,03/02/2024,29/07/2024,"2,190,750.93 ",Written Off,guarantor,Chidi Okafor,Edo,FALSE
MFL900376,  Aliyu Ogundimu,28456797232,Female,  Home Renovation,"1,118,173.53 ",23.52,17 May 2022,14.03.2023,236292.9,Active,NONE,Emeka Okonkwo,Enugu,no
MFL900369,  Emeka Adekunle,04110760954,male,business,"₦2,438,643.57",4.9,21/08/2022,09 May 2023,884773.08,Written Off,Guarantor,Obinna Olawale,Anambra,FALSE
MFL900132,Chinedu Adekunle   ,+234975817246,female,  School Fees   ,"NGN 347,981",29.51,03 January 2024,08 October 2024,"N310,511",Overdue,Unknown,OBINNA ABUBAKAR,Enugu,0
MFL900206,Chioma Yusuf,+234805525782,female,Medical ,"₦3,612,491.01",28.2,12.02.2024,11-Sep-2025,2838470.20 naira,Defaulted,Land title,Kunle Okeke,Akwa Ibom,No
MFL900169,Sadiq Bello,0506 138 7829,female,Equipment Purchase,2153036.12,18.79,08/08/2022,05 November 2023,"NGN 692,828",Written Off,NONE,IFEOMA OLAWALE,Ogun,FALSE
MFL900153,Bola Adeyemi,(604) 765-8018,male,  School Fees,"421,763.40 ",9.04,24 October 2022,2023/07/24,141797.74 naira,Defaulted,Unknown,chinedu adeyemi,Enugu,1
MFL900199,Emeka Okafor,234-116-241-124,Female,Petty Trading,"2,756,174.80 ",5.65,06 October 2024,23 July 2025,"444,920.73 ",Active,NONE,sadiq okafor,Abuja,Yes
MFL900083,Chinedu Okeke,234-823-298-324,Female,Agricultural  Input,"₦2,475,645.05",17.62,17.05.2024,22-Aug-2025,1463774.04,Defaulted,NONE,IBRAHIM ADEYEMI,Edo,no
