ReservationID,GuestName,GuestPhone,HotelName,RoomType,CheckInDate,CheckOutDate,NumberOfNights,RoomRatePerNight,TotalBill,BookingSource,PaymentStatus,State,Nationality,EarlyCheckIn
HRS200018,  Chidi Olawale,0474 689 7152,Bon Hotel,Suite,2025/05/30,,-1,106061.35,"N106,061",Corporate,Pending,Abuja,American,yes
HRS200134,Kemi Mohammed,0411 159 5034,Transcorp Hilton Abuja,Executive Room,03/20/2025,03/22/2025,2,"NGN 95,557",191114.58 naira,Walk-in,Paid,Oyo,British,N
HRS200207,aliyu chukwu   ,61347323549,Protea Hotel,Presidential,11-Jan-2025,01/18/2025,-,"₦59,895.54","N419,269",ONLINE,Pending Payment,Kaduna,Nigerian,1
HRS200176,Chinedu Yusuf,99802841390,Lagos Continental,SUITE,13-Sep-2024,14/09/2024,-1,"N253,812",253811.61 naira,Corporate,paid,Kano,American,Y
HRS200051,Wale Eze,234-662-015-720,Transcorp Hilton Abuja,Suite,01 June 2024,2024-06-08,7,"NGN 286,639","2,006,473.42 ",Phone Booking,Refunded,Kaduna,American,No
HRS200110,Chioma Suleiman,09724042269,Bon Hotel,Suite,17-Nov-2025,19-Nov-2025,null,87462.81,"₦174,925.62",walk-in,Paid,Lagos,NIGERIAN,FALSE
HRS200026,NGOZI LAWAL,234-027-011-686,Bon Hotel,Suite,20-Jun-2025,21/06/2025,1,"NGN 28,910",28910.24,Corporate,Paid,Kano,Lebanese,yes
HRS200181,Segun Adekunle,0945 919 6639,Protea Hotel,Standard,30 August 2024,2024-08-31,-1,"N286,537","N286,537",Corporate,paid,Oyo,British,Yes
HRS200294,Kunle Okeke,234-098-898-645,Transcorp Hilton Abuja,Twin Room,30.11.2025,02/12/2025,2,"₦213,531.76","427,063.52 ",Corporate,Pending Payment,Abuja,American,FALSE
HRS200192,Zainab Olawale,(910) 300-2156,Lagos Continental,SUITE,22 June 2025,2025/06/24,2,113040.96 naira,226081.92,ONLINE,Refunded,Lagos,nigerian,no
HRS200209,OBINNA ADEYEMI,12257207650,Southern Sun,Presidential,01 June 2025,,1,264420.53 naira,"NGN 264,421",Phone Booking,Paid,Lagos,NIGERIAN,TRUE
HRS200144,Kunle Abubakar,(274) 747-2197,Bon Hotel,Single,2024/11/03,2024/11/06,3,322104.14 naira,"N966,312",Phone Booking,paid,Rivers,Nigerian ,0
HRS200304,Aliyu Nnamdi,+234183061789,Golden Tulip,Presidential,10-Oct-2025,13 October 2025,3,"₦93,367.52",280102.56,ONLINE,paid,Kaduna,nigerian,true
HRS200111,kunle lawal   ,01216376182,Radisson Blu Ikeja,standard,2024-04-04,05-Apr-2024,1,--,"313,553.37 ",walk-in,paid,Rivers,nigerian,true
HRS200189,Yusuf Adeyemi,0907 426 0880,Eko Hotel & Suites,SUITE,08 August 2024,unknown date,1,"89,968.47 ",89968.47,Phone Booking,paid,ABUJA,nigerian,no
HRS200096,Tobi Nwosu,(895) 343-9611,Protea Hotel,Single,06-Jun-2024,,1,"103,825.14 ","₦103,825.14",Walk-in,Partial,Kano,American,Y
HRS200113,Blessing Okafor,0429 001 8513,Radisson Blu Ikeja,Suite,03/02/2024,09/03/2024,7,154654.65,"1,082,582.55 ",Walk-in,PAID,Kano,Nigerian ,Yes
HRS200124,Funmilayo Ogundimu,96893135030,Radisson Blu Ikeja,Standard,29.09.2025,02 October 2025,3,"NGN 231,784","695,351.49 ",Travel Agent,Pending Payment,Kaduna,NIGERIAN,no
HRS200231,Amaka Balogun,234-244-079-311,Radisson Blu Ikeja,standard,06/08/2025,2025-08-09,3,"NGN 26,289",78866.88,Walk-in,paid,Lagos,NIGERIAN,TRUE
HRS200156,Wale Nnamdi,(502) 727-5164,Radisson Blu Ikeja,Single,2025-08-27,unknown date,5,n/a,"N1,471,531",Walk in,PAID,Port Harcourt,American,N
HRS200232,  BISI CHUKWU,+234918133170,Eko Hotel & Suites,Suite,2024/03/19,20/03/2024,1,"₦168,486.49",168486.49 naira,Online,PAID,Kaduna,Lebanese,N
HRS200036,Bola Abubakar,09156716493,Protea Hotel,Deluxe,2024-08-13,08/16/2024,3,"N50,510","N151,530",Walk-in,Pending,Rivers State,NIL,yes
HRS200005,Aliyu Yusuf,04950136497,Bon Hotel,Single,27-Nov-2024,29-Nov-2024,2,"₦341,688.62","NGN 683,377",Travel Agent,Partial,Lagos,N/A,FALSE
HRS200103,chinedu eze,08788443448,Transcorp Hilton Abuja,Twin Room,18 March 2024,2024-03-19,1,"NGN 200,772","N200,772",walk-in,Pending Payment,Oyo,British,0
HRS200279,Wale Suleiman,02059556574,Bon Hotel,Standard,08/05/2024,13/05/2024,5,165946.97,829734.85 naira,Walk-in,Refunded,Rivers,Nigerian ,true
HRS200094,Sadiq Okonkwo,03474916247,Hawthorn Suites,Presidential,2024/08/02,03.08.2024,1,184751.39 naira,"NGN 184,751",ONLINE,Pending Payment,Rivers,nigerian,TRUE
HRS200064,   Blessing Adekunle,234-146-283-143,Protea Hotel,Twin Room,23/04/2025,2025-04-30,7,nil,"NGN 2,385,312",Phone Booking,Paid,Lagos,NIGERIAN,1
HRS200149,Obinna Abubakar,,Lagos Continental,Suite,20.06.2024,25 June 2024,5,"NGN 280,256",,Online,PAID,Rivers,Nigerian ,1
HRS200056,Segun Yusuf,02151826068,Bon Hotel,Suite,not set,unknown date,2,257787.46 naira,"₦515,574.92",Travel Agent,paid,Oyo,NIGERIAN,no
HRS200079,Obinna Ogundimu,0963 480 7970,Lagos Continental,Suite,16 December 2025,12/19/2025,3,"₦160,386.61",481159.82999999996,Travel Agent,PAID,Abuja,Nigerian ,1
HRS200203,Ibrahim Adekunle,0686 850 7451,Protea Hotel,Twin Room,2025-04-30,01.05.2025,-1,293056.36,"NGN 293,056",ONLINE,Pending,KANO,nigerian,yes
HRS200073,grace okafor,invalid,Golden Tulip,SUITE,2024-06-02,00/00/0000,2,"NGN 238,270",,walk-in,paid,Oyo,British,N
HRS200161,Ifeoma Nwosu,234-286-646-491,Lagos Continental,standard,15.08.2025,18-Aug-2025,3,"NGN 322,836","968,506.74 ",walk-in,Refunded,Kano,nigerian,yes
HRS200371,Zainab Adeyemi,46704622681,Golden Tulip,Presidential,08/16/2024,19 August 2024,3,"NGN 166,023","NGN 498,070",Walk in,Refunded,Rivers State,Nigerian ,no
HRS200238,Wale Afolabi,234-774-025-883,Eko Hotel & Suites,Single,07.11.2025,08/11/2025,  ,"NGN 232,932","232,932.31 ",Walk-in,Paid,Abuja,Nigerian,no
HRS200302,Femi Mohammed,61853800329,Radisson Blu Ikeja,Suite,2025/05/13,2025/05/15,2,83154.8,"N166,310",Walk-in,paid,Kano,Lebanese,Yes
HRS200378,Emeka Bello,+234607540915,Protea Hotel,standard,2024-03-03,04/03/2024,1,"NGN 151,161",151161.48,Travel Agent,Partial,Oyo,Nigerian,TRUE
HRS200267,  wale bello,03362680408,Eko Hotel & Suites,SUITE,N/A,11 October 2024,1,"₦115,403.61","N115,404",ONLINE,PAID,rivers,Ghanaian,1
HRS200040,Grace Okeke,(715) 399-1566,Southern Sun,Single,28/07/2025,04.08.2025,7,276841.66,1937891.62 naira,Online,paid,Kano,NIGERIAN,no
HRS200363,Wale Adeyemi,234-922-501-425,Southern Sun,Presidential,18.11.2025,2025/11/19,1,"NGN 339,007","N339,007",Walk-in,PAID,oyo,Nigerian ,no
HRS200320,Adaeze Ajayi,84748836076,Transcorp Hilton Abuja,Single,26 November 2024,2024-11-28,2,261771.71 naira,523543.42,Corporate,Partial,Kaduna,Lebanese,true
HRS200227,halima balogun,+234294398529,Eko Hotel & Suites,standard,2024/11/22,2024/11/24,2,138666.20 naira,277332.40 naira,Walk in,Partial,Abuja,American,0
HRS200153,Tobi Mohammed,+234768342016,Radisson Blu Ikeja,Executive Room,unknown date,10 July 2025,1,"N317,246","₦317,245.65",Travel Agent,Partial,Lagos,Lebanese,TRUE
HRS200133,Funmilayo Mohammed,0177 566 2056,Bon Hotel,SUITE,2024-12-09,10.12.2024,1,"N165,621",,ONLINE,Refunded,Fct Abuja,NIGERIAN,0
HRS200112,Amaka Bello,0916 601 0023,Eko Hotel & Suites,Executive Room,2025/04/15,2025/04/17,2,"N98,480","₦196,960.88",walk-in,Refunded,Lagos,American,N
HRS200290,Amara Adeyemi,52683415599,Hawthorn Suites,Suite,07.05.2024,2024/05/12,5,"₦232,006.06",1160030.30 naira,Corporate,Pending Payment,Abuja,n/a,yes
HRS200001,Amara  Ajayi,0533 106 0053,Protea Hotel,Twin Room,00/00/0000,19-Jan-2024,7,148160.73 naira,"NGN 1,037,125",Phone Booking,Partial,kano,nigerian,0
HRS200278,Tunde Chukwu,,Golden Tulip,Twin Room,08/12/2025,2025/08/17,5,"₦280,993.29","NGN 1,404,966",Corporate,Refunded,Kaduna,American,N
HRS200327,Grace Balogun,02812371067,Hawthorn Suites,Presidential,29 July 2024,30-Jul-2024,1,"N346,030",346030.46,Walk in,PAID,Lagos,nigerian,No
HRS200334,Funmilayo Ogundimu,234-459-648-831,Protea Hotel,SUITE,2025/03/03,03/08/2025,5,276368.35,1381841.75 naira,Walk-in,Paid,Kaduna,Ghanaian,Y
HRS200218,Kunle Yusuf,+234072728498,Golden Tulip,Executive Room,2025-01-29,03.02.2025,5,"NGN 253,867","N1,269,337",Phone Booking,Partial,LAGOS,American,false
HRS200038,Wale Ogundimu,N/A,Radisson Blu Ikeja,Deluxe,15-Aug-2024,2024-08-17,2,"303,801.72 ","NGN 607,603",Walk-in,Refunded,Kano,American,0
HRS200263,Sadiq Yusuf,(881) 056-9741,Lagos Continental,Suite,29.07.2025,03.08.2025,5,"318,543.99 ","₦1,592,719.95",Phone Booking,Paid,Lagos,Nigerian,FALSE
HRS200068,Blessing Chukwu,0112 849 7185,Eko Hotel & Suites,standard,18 October 2024,20 October 2024,2,121758.42,243516.84,walk-in,Refunded,Oyo,American,no
HRS200253,Bisi Nwosu,03502385037,Bon Hotel,Single,2025/01/02,07 January 2025,5,258671.25 naira,NIL,Travel Agent,Refunded,Lagos,Nigerian,0
HRS200318,musa okafor,06394568044,Eko Hotel & Suites,Deluxe,27.02.2024,2024-02-28,-1,264939.73 naira,264939.73 naira,Phone Booking,Paid,Oyo,nigerian,1
HRS200075,Chioma Eze,0881 609 3068,Bon Hotel,Standard,18/01/2025,01/23/2025,NULL,"N244,874","NGN 1,224,369",Walk-in,paid,Kano,nigerian,1
HRS200197,Chinedu Okonkwo,234-833-117-030,Eko Hotel & Suites,Presidential,07.01.2025,01/09/2025,2,"N136,639","₦273,278.94",Online,Pending,Rivers,NIGERIAN,0
HRS200273,Tobi  Suleiman,234-070-578-360,Bon Hotel,Suite,12-Jun-2025,13-Jun-2025,-1,"₦130,476.12","NGN 130,476",Online,Pending,Kaduna,nil,N
HRS200187,Adaeze Ogundimu,53307704611,Southern Sun,Twin Room,2025-03-13,16/03/2025,3,38269.49 naira,114808.47 naira,Phone Booking,Refunded,Rivers,Nigerian,yes
HRS200218,Kunle Yusuf,+234072728498,Golden Tulip,Executive Room,2025-01-29,03.02.2025,5,"NGN 253,867","N1,269,337",Phone Booking,Partial,LAGOS,American,false
HRS200240,Tobi Eze,(446) 176-7929,Radisson Blu Ikeja,Presidential,2025/12/17,19-Dec-2025,2,96347.39 naira,,Walk-in,Pending,Abuja,NIGERIAN,0
HRS200352,  Zainab Bello,07134324064,Lagos Continental,Single,27.12.2025,28.12.2025,-1,"₦123,996.94","123,996.94 ",ONLINE,PAID,Kaduna,American,true
HRS200035,Kemi Ogundimu,(050) 505-7397,Lagos Continental,Deluxe,07.01.2024,2024-01-14,7,"NGN 52,713","N368,989",Walk in,Pending Payment,KANO,NIGERIAN,Yes
HRS200178,Tunde Ogundimu,+234312447315,Hawthorn Suites,Standard,09 December 2024,12 December 2024,3,245294.41 naira,"N735,883",Online,Paid,Ibadan,NIGERIAN,TRUE
HRS200348,Wale Balogun,(066) 013-8241,Hawthorn Suites,Deluxe,14/05/2024,17-May-2024,3,319547.25 naira,"NGN 958,642",Phone Booking,PAID,Kano,Ghanaian,TRUE
HRS200343,Zainab Okeke,234-945-154-809,Transcorp Hilton Abuja,Executive Room,01/10/2025,,1,"NGN 268,471","₦268,470.53",Phone Booking,paid,Oyo State,Ghanaian,No
HRS200104,segun chukwu,23083402424,Lagos Continental,Twin Room,14 December 2024,19.12.2024,5,"₦223,771.76","NGN 1,118,859",Travel Agent,Pending Payment,Rivers State,nigerian,Yes
HRS200097,Ngozi Afolabi,234-109-337-118,Transcorp Hilton Abuja,Twin Room,29-Mar-2025,2025/03/30,-1,"₦202,170.52",202170.52 naira,Corporate,Refunded,Rivers,Nigerian,true
HRS200154,Ifeoma Okeke,(423) 567-7826,Hawthorn Suites,Single,unknown date,05/11/2025,1,299891.0,299891.0,Walk-in,PAID,LAGOS,Nigerian ,TRUE
HRS200353,Grace Balogun,+234295633432,Protea Hotel,Deluxe,09.03.2024,03/14/2024,5,89957.99 naira,"NGN 449,790",Walk in,paid,Abuja,NIGERIAN,no
HRS200200,  KUNLE SULEIMAN,234-363-146-249,Eko Hotel & Suites,Standard,03/31/2024,2024/04/01,1,"N144,780","N144,780",Travel Agent,Paid,Kaduna,NIGERIAN,true
HRS200076,Fatima Nwosu,(389) 097-2832,Lagos Continental,Suite,05-Jul-2024,06/07/2024,-,"NGN 204,151","₦204,150.73",Phone Booking,Paid,Lagos,nigerian,TRUE
HRS200316,Musa Ogundimu,+234330416624,Transcorp Hilton Abuja,Standard,28/03/2025,03/30/2025,2,172732.79 naira,"NGN 345,466",Walk-in,Paid,Oyo,null,Yes
HRS200265,Grace Ajayi,234-710-704-496,Transcorp Hilton Abuja,Twin Room,2025-08-21,24-Aug-2025,3,"105,120.72 ","NGN 315,362",Phone Booking,Pending Payment,Rivers State,Lebanese,no
HRS200194,Ibrahim Okeke,234-145-964-229,Eko Hotel & Suites,Single,2024/01/16,2024-01-19,-,"₦191,562.10",574686.30 naira,ONLINE,Pending,Rivers,NIGERIAN,no
HRS200251,Kunle Ogundimu,04189389846,Protea Hotel,Single,23/02/2025,2025/02/24,1,"NGN 234,690","NGN 234,690",Online,Pending,Kano,Lebanese,FALSE
HRS200173,Kemi Nnamdi,(442) 117-5361,Golden Tulip,standard,10 November 2024,11/12/2024,2,"NGN 281,517","₦563,034.98",Phone Booking,Pending,Ibadan,American,TRUE
HRS200372,Femi Suleiman,+234151602529,Bon Hotel,Deluxe,2025/04/26,28.04.2025,2,155789.26,"N311,579",walk-in,Pending Payment,rivers,NIGERIAN,Yes
HRS200338,Amaka Nwosu   ,02876754813,Hawthorn Suites,Standard,2024/02/19,,2,"₦90,758.03",181516.06,Travel Agent,Pending Payment,lagos,American,false
HRS200293,Ngozi Lawal,0657 289 4134,Hawthorn Suites,SUITE,20-Dec-2025,22-Dec-2025,2,null,"₦660,156.74",walk-in,Paid,Abuja,American,no
HRS200071,Yusuf Ogundimu,234-269-405-396,Eko Hotel & Suites,Executive Room,11/30/2025,07/12/2025,7,127394.83,"₦891,763.81",Corporate,Pending Payment,Rivers State,Ghanaian,Yes
HRS200177,Ibrahim Nwosu,(808) 823-5130,Hawthorn Suites,Twin Room,2024-07-17,18-Jul-2024,-1,"83,891.39 ","NGN 83,891",walk-in,PAID,Fct Abuja,N/A,true
HRS200357,Ifeoma Okonkwo,0401 827 2795,Lagos Continental,SUITE,2025/02/27,04/03/2025,5,69741.48,"NGN 348,707",Walk in,Partial,Kaduna,British,no
HRS200228,Chioma Okeke,(940) 626-0787,Southern Sun,standard,05/01/2024,2024-01-10,5,130466.75 naira,652333.75 naira,Corporate,Pending,Rivers,nigerian,Yes
HRS200016,Grace Balogun,(277) 689-6270,Radisson Blu Ikeja,Executive Room,07 March 2025,08-Mar-2025,1,"₦310,610.65","N310,611",ONLINE,PAID,Kano,Ghanaian,No
HRS200136,Aliyu Okeke,34199097005,Hawthorn Suites,standard,2025/11/24,25.11.2025,1,"₦180,193.51","N180,194",Corporate,paid,Oyo,American,no
HRS200101,Zainab Okonkwo,67881278686,Transcorp Hilton Abuja,standard,2025-05-26,2025/05/28,2,"₦92,349.46",?,Walk in,Pending,Oyo,British,1
HRS200369,Ibrahim Okeke,234-809-961-327,Golden Tulip,Deluxe,2024-03-06,08.03.2024,2,325114.29 naira,"650,228.58 ",Travel Agent,Refunded,Port Harcourt,Nigerian,TRUE
HRS200303,Fatima Yusuf,63347272742,Eko Hotel & Suites,Standard,12-Jul-2025,13-Jul-2025,-1,"NGN 200,012","N200,012",Corporate,paid,Kaduna,Nigerian,FALSE
HRS200306,Chioma Nnamdi,0243 477 6958,Transcorp Hilton Abuja,standard,30 January 2025,31/01/2025,1,"N202,725","N202,725",ONLINE,Paid,Oyo,Lebanese,No
HRS200052,emeka nwosu,08596263013,Golden Tulip,SUITE,17 March 2024,20/03/2024,3,279524.94,838574.82 naira,walk-in,PAID,LAGOS,Nigerian ,Yes
HRS200008,Halima Lawal,89030914363,Lagos Continental,Standard,2024-10-05,06-Oct-2024,1,154463.37,"NGN 154,463",Phone Booking,Pending Payment,Kaduna,Ghanaian,Y
HRS200367,Yusuf Okafor,234-252-654-696,Protea Hotel,Deluxe,29/01/2025,05/02/2025,7,103765.65 naira,"NGN 726,360",walk-in,paid,KANO,nigerian,true
HRS200299,Grace Abubakar,0349 678 2741,Protea Hotel,standard,23.10.2024,,3,286113.24 naira,"₦858,339.72",ONLINE,paid,Abuja,Lebanese,false
HRS200219,Tobi Okonkwo,47414070349,Hawthorn Suites,Deluxe,05-Jul-2024,2024/07/06,-1,60964.32,60964.32 naira,Walk-in,PAID,Kaduna,Nigerian ,FALSE
HRS200270,Amara Chukwu,04267320441,Transcorp Hilton Abuja,Twin Room,2024-08-15,16 August 2024,1,241211.34,241211.34 naira,ONLINE,PAID,Kaduna,Nigerian,1
HRS200258,Kunle Lawal,234-955-356-033,Lagos Continental,Suite,07/06/2024,2024/06/12,5,"N313,697","₦1,568,486.55",Travel Agent,Paid,Kano,NIGERIAN,true
HRS200125,Obinna Okonkwo,58721055247,Golden Tulip,Presidential,02 June 2024,06/04/2024,n/a,232969.69 naira,"NGN 465,939",walk-in,Pending Payment,Kano,Lebanese,Y
HRS200032,GRACE BELLO   ,234-965-555-356,Hawthorn Suites,Twin Room,07.06.2024,2024-06-08,-1,"NGN 277,846","₦277,846.46",Walk in,Paid,Oyo,nigerian,TRUE
HRS200121,Fatima Lawal,0000000000,Transcorp Hilton Abuja,Twin Room,2025-10-05,2025/10/08,3,"207,641.20 ","NGN 622,924",Walk in,PAID,Kaduna,American,no
HRS200019,Tobi Okeke,32300857666,Golden Tulip,Suite,23 November 2024,11/25/2024,2,265286.06,unknown,Corporate,Pending,rivers,Nigerian,N
HRS200178,Tunde Ogundimu,+234312447315,Hawthorn Suites,Standard,09 December 2024,12 December 2024,3,245294.41 naira,"N735,883",Online,Paid,Ibadan,NIGERIAN,TRUE
HRS200275,Chidi Chukwu,(723) 229-0310,Lagos Continental,Deluxe,00/00/0000,04-Apr-2025,7,"₦208,182.94","NGN 1,457,281",walk-in,PAID,Oyo,NIGERIAN,Yes
HRS200309,Tobi Abubakar,03044836085,Protea Hotel,Suite,05-Sep-2024,,7,232076.91 naira,1624538.37 naira,Walk-in,Refunded,LAGOS,Nigerian,N
HRS200241,musa ajayi,84259959961,Lagos Continental,Executive Room,2025-10-28,2025-10-30,unknown,50698.8,,walk-in,Pending,Lagos,British,true
HRS200305,Amaka Ajayi,02064969357,Southern Sun,Twin Room,07.11.2024,2024/11/14,7,"324,588.87 ","NGN 2,272,122",Walk-in,Pending,Lagos,British,false
HRS200375,Amara Suleiman,08612059438,Hawthorn Suites,Single,10-Jan-2024,01/13/2024,3,344752.53,,Phone Booking,Partial,Oyo State,American,true
HRS200223,Ibrahim Lawal,(449) 429-6592,Golden Tulip,Single,05 June 2025,06 June 2025,-1,331758.5,"₦331,758.50",Walk-in,Refunded,Lagos,Nigerian,yes
HRS200248,Ibrahim  Lawal   ,07855982176,Eko Hotel & Suites,standard,22/01/2024,,3,"₦86,005.07","NGN 258,015",ONLINE,Pending Payment,Kano,unknown,Y
HRS200027,Fatima Afolabi,0622 522 3728,Bon Hotel,standard,20-Dec-2024,23-Dec-2024,3,"₦222,458.58",667375.74,Online,Paid,kano,Nigerian,FALSE
HRS200031,Ibrahim Ajayi,0013 806 9847,Southern Sun,Deluxe,16 August 2024,2024-08-21,5,76151.26 naira,380756.30 naira,walk-in,Pending Payment,ABUJA,American,no
HRS200054,Grace Mohammed   ,0011 117 8309,Bon Hotel,Standard,20 December 2024,21-Dec-2024,1,208405.64 naira,"₦208,405.64",ONLINE,PAID,Rivers,nigerian,Yes
HRS200376,Adaeze Nnamdi,+234607401775,Radisson Blu Ikeja,Standard,03.08.2024,06 August 2024,3,"N167,433",502297.59 naira,Corporate,paid,abuja,Unknown,yes
HRS200321,Ifeoma Adekunle,(581) 739-0637,Protea Hotel,standard,2025-10-04,2025/10/05,1,"N78,108",78107.95,Phone Booking,Refunded,Kaduna,Lebanese,N
HRS200239,Amaka Ajayi,+234681225957,Southern Sun,Twin Room,03/15/2024,2024-03-16,1,"₦248,574.83","N248,575",Corporate,PAID,Fct Abuja,NIGERIAN,no
HRS200109,Sadiq Yusuf,(652) 717-2722,Eko Hotel & Suites,Single,10 February 2024,2024/02/11,1,"119,249.73 ","₦119,249.73",Online,Pending Payment,Oyo,Nigerian,No
HRS200065,Halima Okeke,98926256609,Radisson Blu Ikeja,Standard,28-Nov-2025,2025/11/29,1,"NGN 67,219","N67,219",walk-in,PAID,Oyo,Lebanese,Yes
HRS200061,Grace Yusuf,0758 598 8310,Transcorp Hilton Abuja,SUITE,2024/07/16,17.07.2024,-1,"₦235,574.53","₦235,574.53",ONLINE,Pending,Oyo,nigerian,false
HRS200162,Tunde Afolabi,01109617981,Radisson Blu Ikeja,Twin Room,16 February 2024,18 February 2024,2,"₦56,417.38",,Walk-in,Refunded,Kaduna,American,yes
HRS200015,Emeka Afolabi,(449) 734-7156,Lagos Continental,standard,2025/08/31,2025/09/02,2,324923.89 naira,649847.78,walk-in,Partial,Abuja,British,no
HRS200341,Tunde Yusuf   ,234-652-057-563,Protea Hotel,Executive Room,2024-04-18,23.04.2024,5,230478.66 naira,,Walk in,Paid,Kano,Ghanaian,no
HRS200055,Emeka Adeyemi,+234741926764,Transcorp Hilton Abuja,standard,15 January 2024,16.01.2024,1,142485.47,,walk-in,Pending Payment,Kaduna,NIGERIAN,true
HRS200254,  Chinedu Ajayi   ,99051699187,Bon Hotel,SUITE,23 May 2024,2024-05-24,1,325809.21,"N325,809",Phone Booking,paid,Lagos,British,Y
HRS200262,Obinna Adekunle,0000000000,Southern Sun,Standard,,22 December 2025,-1,"NGN 185,011","₦185,010.71",walk-in,Pending,Rivers,Ghanaian,N
HRS200140,Blessing Yusuf,(228) 898-5725,Southern Sun,Standard,14 February 2025,2025-02-16,2,319951.90 naira,"NGN 639,904",Online,paid,Lagos,n/a,false
HRS200338,Amaka Nwosu   ,02876754813,Hawthorn Suites,Standard,2024/02/19,,2,"₦90,758.03",181516.06,Travel Agent,Pending Payment,lagos,American,false
HRS200171,Zainab Abubakar,02334383640,Southern Sun,SUITE,26.03.2025,28.03.2025,--,163665.05 naira,"₦327,330.10",Walk in,PAID,Rivers,Nigerian ,yes
HRS200011,Emeka Mohammed,04035533803,Southern Sun,Executive Room,07 June 2024,12/06/2024,5,66056.55,"NGN 330,283",Online,Paid,Kano,Ghanaian,FALSE
HRS200164,Yusuf Mohammed,03715766053,Lagos Continental,Twin Room,2024/11/18,21/11/2024,3,-,363041.97000000003,Travel Agent,PAID,kano,Ghanaian,1
HRS200264,Chidi Adekunle,+234834831520,Hawthorn Suites,Suite,15.08.2024,08/17/2024,2,"NGN 298,782",,Travel Agent,Pending,Lagos,NIGERIAN,false
HRS200323,Zainab Abubakar,(793) 126-9789,Protea Hotel,Presidential,05/16/2024,2024-05-17,1,"NGN 146,680","₦146,679.69",Walk in,Partial,Rivers,nigerian,No
HRS200066,Obinna Suleiman,+234141818615,Protea Hotel,SUITE,13 August 2024,15 August 2024,2,194282.95 naira,388565.9,walk-in,paid,Kaduna,NIGERIAN,FALSE
HRS200126,Tobi Nnamdi,28633302126,Eko Hotel & Suites,Twin Room,07/03/2024,08/03/2024,-1,336930.42 naira,336930.42,Online,Paid,Oyo,NIGERIAN,FALSE
HRS200292,Chinedu Ajayi,(229) 812-0995,Bon Hotel,Standard,2024-02-20,,-1,"NGN 116,006",,Walk-in,paid,KANO,nigerian,no
HRS200285,Femi Ogundimu,(515) 881-5793,Hawthorn Suites,standard,00/00/0000,15-Sep-2025,2,218346.33 naira,"NGN 436,693",Online,Pending,Abuja,NIGERIAN,N
HRS200148,Zainab Balogun,07157787112,Eko Hotel & Suites,standard,18 July 2025,2025-07-25,7,255802.21 naira,"N1,790,615",Walk-in,Paid,Abuja,Lebanese,Yes
HRS200050,Tunde Afolabi,+234742333059,Golden Tulip,Deluxe,13-Jul-2024,N/A,7,110084.49,770591.43,Corporate,Pending Payment,Abuja,nigerian,TRUE
HRS200379,Chidi Afolabi,08632181227,Transcorp Hilton Abuja,Presidential,2025-03-13,,1,"N36,825",36825.16 naira,Online,Refunded,Kaduna,American,Y
HRS200211,amaka mohammed,0371 009 4388,Hawthorn Suites,Presidential,16.10.2024,,-1,102742.20 naira,,Phone Booking,Refunded,FCT,Lebanese,1
HRS200268,Yusuf Abubakar,234-954-930-596,Radisson Blu Ikeja,Executive Room,17-May-2025,2025/05/18,-1,283241.58,"N283,242",Online,Refunded,Rivers,nigerian,0
HRS200014,Ngozi Yusuf,01674233629,Eko Hotel & Suites,Standard,03/10/2024,2024-10-04,1,233229.91 naira,"233,229.91 ",Phone Booking,paid,Kaduna,nigerian,yes
HRS200116,Zainab Nwosu,(203) 036-6254,Southern Sun,Presidential,28.06.2025,29-Jun-2025,1,"NGN 35,576",35576.01 naira,Online,Partial,Lagos,Ghanaian,Y
HRS200098,Kemi Chukwu,54738202368,Golden Tulip,Twin Room,03-Jul-2025,07/05/2025,2,"292,760.68 ","N585,521",Walk-in,Paid,Rivers State,Lebanese,0
HRS200010,  Musa Mohammed,00397524508,Bon Hotel,Standard,22/09/2024,27-Sep-2024,5,"169,766.12 ","₦848,830.60",Travel Agent,Pending,Lagos,Nigerian,TRUE
HRS200269,Fatima Adekunle,0018 648 7699,Hawthorn Suites,SUITE,27-Mar-2025,,2,47006.48 naira,"₦94,012.96",Travel Agent,Paid,Oyo,NIGERIAN,0
HRS200361,chioma  ogundimu,234-576-403-816,Southern Sun,Presidential,2025/05/04,05/05/2025,1,"₦128,235.20",N/A,Walk-in,Refunded,Abuja,nigerian,Y
HRS200315,Halima Adekunle,00081867024,Eko Hotel & Suites,Single,03/04/2024,06-Mar-2024,2,"NGN 279,042",,Corporate,Pending,Rivers,Nigerian,Y
HRS200080,Chinedu  Olawale,09754510526,Hawthorn Suites,Single,20.09.2024,2024/09/21,1,"NGN 167,203","167,202.72 ",ONLINE,Pending Payment,Lag,NIGERIAN,Y
HRS200137,Blessing Abubakar,(140) 546-8356,Hawthorn Suites,Single,30 July 2024,08/01/2024,2,"N229,503","N459,005",Corporate,PAID,Kano,Ghanaian,true
HRS200300,Chioma Chukwu,(767) 412-4151,Hawthorn Suites,SUITE,26/05/2025,,7,209886.45,"NGN 1,469,205",ONLINE,Partial,Abuja,American,TRUE
HRS200108,Fatima Abubakar,0373 543 9627,Transcorp Hilton Abuja,Twin Room,28-Dec-2025,,5,"NGN 178,722",893611.25,Travel Agent,Paid,Abuja,NIGERIAN,N
HRS200132,Ngozi Mohammed,+234236903628,Hawthorn Suites,standard,2024-07-17,20/07/2024,3,133499.4,,walk-in,Refunded,Rivers,Nigerian,N
