StaffID,FullName,Ministry,GradeLevel,DateOfBirth,AppointmentDate,BasicSalary,HousingAllowance,TransportAllowance,TotalAllowances,Deductions,NetPay,BankAccountNo,State,PayStatus
MDG300038,Musa Suleiman,Ministry of Science & Technology,GL-15,10-Jan-2003,08/10/2011,"₦148,503.20","₦37,125.80",14850.32 naira,66527.83,"N7,506","₦207,524.86",2767365766,Cross River,Deducted
MDG300347,yusuf olawale,MINISTRY OF INTERIOR,GL-14,06/12/1978,06.06.2016,"NGN 527,644","NGN 131,911","NGN 52,764","₦191,058.63",72374.39,"NGN 646,329",9159460149,Plateau,Paid
MDG300091,obinna suleiman,Ministry Of Science & Technology,GL-10,07/09/1968,25-Mar-2015,"₦447,533.34","NGN 111,883","NGN 44,753","N98,164","₦96,632.01","NGN 449,065",4030955314,Imo,Pending
MDG300102,Grace Olawale,Ministry of Works,GL-7,1982/12/26,2006-11-12,"₦616,137.76",154034.44 naira,"N61,614","NGN 282,969",41645.78,857460.52 naira,8940753114,Delta,Held
MDG300174,Kemi Chukwu,Ministry Of Education,GL-1,05.08.1995,16-Jan-2016,"₦504,268.69",126067.17,"NGN 50,427",250185.5,"N65,553","NGN 688,901",1885872956,Kano,Held
MDG300406,Chinedu Okeke,ministry of science & technology,GL7,1988/05/22,09/09/2010,"NGN 660,839",165209.83 naira,"N66,084","NGN 209,767",39116.92,"NGN 831,490",8124848677,Delta,PAID
MDG300371,Ibrahim Nwosu,Ministry of Health,GL-3,06/01/1998,11/05/2001,"N615,224","₦153,805.89",61522.36,"₦185,967.68",73833.05 naira,"NGN 727,358",8380807918,kano,Suspended
MDG300029,Sadiq Abubakar,Ministry of Works,Grade Level 9,1965/05/18,2000-09-23,689970.72,"172,492.68 ","₦68,997.07","N521,503",135369.73 naira,"1,076,103.72 ",4205524948,Akwa Ibom,Pending
MDG300049,Segun Abubakar,Ministry of Works,GL-8,16/04/1991,30/12/2015,"₦289,856.60",72464.15,"N28,986","₦201,121.07","₦51,638.63","439,339.04 ",2201161561,Delta,Paid
MDG300400,Obinna Nwosu,ministry of agriculture,GL-3,1981-06-27,2016/03/08,299830.18,"N74,958","₦29,983.02","₦98,585.30","NGN 44,204","₦354,211.76",1046864165,Ogun,Suspended
MDG300150,Aliyu Yusuf,Ministry of Interior,GL-14,12/08/1994,2016/06/01,350011.86 naira,"₦87,502.96","₦35,001.19",NIL,"₦61,985.57",unknown,7487889664,Fct Abuja,paid
MDG300335,Ifeoma Ogundimu,Min. of Finance,GL-16,1988-01-26,09-Mar-2009,"₦679,354.17",169838.54 naira,67935.42,"NGN 152,795","₦122,053.18","₦710,095.80",8436788945,Enugu,Held
MDG300166,Amaka Ajayi,ministry of finance,GL-10,26 August 1977,2005-01-15,  ,149103.94 naira,59641.58,"NGN 351,609","₦71,068.31",876956.6399999999,5975099103,Edo,Pending
MDG300173,Ngozi Olawale,MINISTRY OF WORKS,Level 12,1970-05-16,2002/06/29,"₦489,689.88",122422.47 naira,48968.99,204094.95,"₦97,623.40",,3284947189,Imo,Suspended
MDG300001,Obinna Nnamdi,Ministry of Works,GL-6,27 January 1971,15 November 2001,638075.27 naira,"N159,519","₦63,807.53","₦480,901.32","47,068.44 ",1071908.15 naira,6064454108,Oyo State,Suspended
MDG300357,Musa Okeke,ministry of agriculture,Grade Level 9,26 April 1986,2006/07/21,345229.80 naira,"NGN 86,307","34,522.98 ",231086.06 naira,"NGN 27,791","NGN 548,525",3394225315,Imo,PAID
MDG300269,BOLA LAWAL,Ministry of Education,GL-13,09.05.1965,22/06/2018,"NGN 397,896","NGN 99,474","39,789.59 ","₦109,676.42","₦56,201.30",,6769415339,Cross River,Suspended
MDG300093,Obinna Okeke,Ministry of Interior,GL-4,1969/11/09,09 October 2012,533396.01,133349.00 naira,"NGN 53,340","₦176,231.31",NIL,"₦626,992.55",2241558116,FCT,paid 
MDG300030,Yusuf Yusuf,Ministry of Justice,GL-3,06/04/1969,2016/07/21,"NGN 721,419","N180,355",72141.85 naira,493465.53,"N53,820","₦1,161,064.34",6622221695,Delta,Held
MDG300014,  CHIOMA BALOGUN   ,Ministry of Finance,GL-5,10/05/1985,01-Dec-2000,"N468,951","NGN 117,238",46895.12,"NGN 189,100","46,301.83 ",,4574419893,Imo,Deducted
MDG300285,Blessing Adekunle,Ministry of Works,GL-6,20/12/1978,27/06/2014,493034.87,123258.72 naira,"NGN 49,303","N388,789","N28,304",n/a,4744741920,Kaduna,Paid
MDG300213,Kunle Chukwu,MOF,GL-17,18 February 1972,03 May 2003,"₦702,198.90",175549.73,70219.89 naira,446851.83,42663.07,1106387.66 naira,3269553108,Enugu,Pending
MDG300380,Bola Ajayi,Min. of Finance,GL-6,28-Feb-1978,05-Sep-2003,"₦674,323.69","NGN 168,581","NGN 67,432",522521.69,"NGN 150,634",1046211.44,7567210467,Kaduna,paid
MDG300036,Yusuf  Olawale   ,Finance Ministry,GL-2,28 September 1993,2015-02-10,"389,285.02 ",97321.26,"₦38,928.50",88276.83,"NGN 49,560","₦428,001.68",  ,Oyo State,paid
MDG300209,sadiq chukwu,Ministry of Education,GL-11,1974-02-18,01/08/2014,"₦736,572.27","₦184,143.07","₦73,657.23","N409,285","N103,472",N/A,1878208290,Lagos,paid
MDG300162,Amaka Bello,Ministry Of Justice,GL-3,18-Jan-1991,28 June 2008,"N501,084","NGN 125,271","50,108.38 ","260,972.02 ","105,556.65 ",656499.1799999999,3895052369,Anambra,paid 
MDG300307,Sadiq Suleiman,Ministry of Education,GL-9,not set,2010-08-10,NIL,80411.13 naira,"NGN 32,164","₦187,655.67","NGN 27,986","N481,314",3893148245,Rivers,PAID
MDG300400,Obinna Nwosu,ministry of agriculture,GL-3,1981-06-27,2016/03/08,299830.18,"N74,958","₦29,983.02","₦98,585.30","NGN 44,204","₦354,211.76",1046864165,Ogun,Suspended
MDG300246,Ibrahim Adekunle,MINISTRY OF FINANCE,GL-11,1979-12-07,07/06/2000,n/a,"27,317.40 ",10926.96 naira,"83,740.93 ",13376.05,,1574518463,Kano,Deducted
MDG300403,Segun Bello,Ministry of Works,GL-3,16/10/1978,05.04.2012,444810.46,n/a,"₦44,481.05",343901.05,"39,276.01 ","NGN 749,436",5415559366,Imo,Suspended
MDG300238,Musa Abubakar,Ministry of Works,GL-9,1994-02-02,2006-07-12,165821.27,41455.32,16582.13 naira,80397.49,"37,282.09 ",208936.67,4503011715,Lagos State,paid 
MDG300236,Grace Ogundimu,Ministry of Agriculture,GL 7,03.06.1975,27 October 2005,650225.19 naira,162556.30 naira,"NGN 65,023",369492.34,"N135,558",884159.43,6124042570,Kaduna,paid
MDG300025,Emeka Mohammed,ministry of finance,Grade Level 9,12-Mar-1993,03/25/2004,"500,517.32 ","125,129.33 ",50051.73 naira,"NGN 143,960","N89,417","NGN 555,060",4206638613,Kano,Held
MDG300354,Wale Chukwu,Ministry of Interior,GL 7,19-Aug-1986,2012/05/18,519529.15,"NGN 129,882","N51,953","NGN 369,685","NGN 111,867","777,347.28 ",6607534634,Oyo State,paid
MDG300108,Ifeoma Nwosu   ,Ministry of Justice,GL-7,N/A,2015/05/30,"N715,080","NGN 178,770","N71,508","N444,307","NGN 153,144","₦1,006,243.66",8479254034,Kano,Held
MDG300074,Femi Eze,Ministry Of Justice,GL-15,11 April 2003,16-Jan-2007,344836.20 naira,86209.05,"NGN 34,484",253626.84,80199.62,518263.42000000004,5786565002,Akwa Ibom,Deducted
MDG300059,Tunde Okeke,MOF,GL-10,01.12.1994,2004/06/01,"NGN 250,800",62699.88 naira,25079.95 naira,  ,"N32,798","₦405,813.12",5537967771,Delta,Held
MDG300428,Chioma Okeke,Ministry of Agriculture,GL-9,12/18/1969,29.06.2009,"N216,067",54016.74,"NGN 21,607","N82,333","₦16,931.60","₦281,468.52",3206291184,Ogun,Paid
MDG300210,Adaeze Suleiman,MINISTRY OF WORKS,GL-14,19.10.1971,22/12/2015,"500,532.79 ",125133.2,"50,053.28 ","NGN 145,758",117363.01 naira,"NGN 528,927",7050582054,Edo,Paid
MDG300231,Kunle Okafor,Ministry of Works,GL-9,10.06.1965,08-Apr-2004,201266.14,"₦50,316.54",20126.61,134119.4,"₦19,313.86","N316,072",3342730143,Anambra,Held
MDG300019,Aliyu Bello,Ministry of Science & Technology,Level 12,1972/01/11,31 March 2021,"N396,780",99194.97,"NGN 39,678",214497.29,"₦22,350.32","588,926.84 ",7851995445,Akwa Ibom,Pending
MDG300169,Sadiq Balogun,ministry of science & technology,GL-6,08.07.1976,2020-06-09,"NGN 117,367","₦29,341.86",11736.74,92241.57,26974.03,"N182,635",NULL,Enugu,paid
MDG300267,Sadiq Ajayi,ministry of education,GL-16,1993-07-02,21/08/2000,557606.55,"N139,402","55,760.66 ","NGN 296,945","82,451.22 ",772100.47 naira,4052666261,Delta,paid 
MDG300195,Amara Okeke,MINISTRY OF SCIENCE & TECHNOLOGY,GL-8,1969/08/06,08-Dec-2002,786458.92,"₦196,614.73","₦78,645.89","₦321,110.98","₦126,999.85",980570.0499999999,2782958800,Imo,paid
MDG300349,Aliyu Eze,MOH,GL-10,01.05.1992,20/09/2012,"N538,095","N134,524","₦53,809.50",378560.19,"₦76,578.23","NGN 840,077",5139263714,Oyo,paid 
MDG300215,Adaeze Okonkwo,Ministry of Agriculture,GL-16,05 March 1975,03/07/2013,48750.75,"N12,188",4875.07,"₦37,377.22","NGN 7,996",nil,5484140663,Oyo,PAID
MDG300369,Bola Suleiman,Ministry of Justice,GL-13,05-Jul-1968,02/26/2017,"₦666,328.84","₦166,582.21",66632.88 naira,197264.53,"N63,603",799989.97 naira,1536268042,Edo,Pending
MDG300315,Segun Mohammed,Ministry of Justice,GL-15,1998/12/23,2018-12-03,559275.96 naira,"139,818.99 ","N55,928",147537.88,"₦27,975.62",678838.22 naira,4739537055,Delta,paid
MDG300110,Tobi  Suleiman   ,Ministry of Agriculture,GL-1,09/11/1984,03/02/2003,"N539,596",134898.95,"N53,960",147858.29 naira,81558.68,--,1837601226,Lagos,PAID
MDG300405,Fatima Afolabi,MINISTRY OF SCIENCE & TECHNOLOGY,GL-17,25 January 1999,11/03/2013,"N101,426","NGN 25,356","NGN 10,143",45695.10 naira,"24,815.57 ","N122,305",5666939721,Imo,Pending
MDG300343,Yusuf Ajayi,Ministry of Finance,GL-12,22-Jan-1984,06.08.2009,"779,342.13 ",194835.53,"NGN 77,934","NGN 403,181",106732.53,"N1,075,791",5701300637,Kaduna,paid
MDG300155,Kunle Okeke,MINISTRY OF SCIENCE & TECHNOLOGY,GL-6,15-Dec-1988,30-Jun-2003,"425,750.22 ",106437.55,42575.02,144658.35,74678.50 naira,,-,Enugu,paid 
MDG300333,ZAINAB ADEKUNLE,ministry of education,GL-9,13.11.1968,25-Dec-2003,,"NGN 95,726","N38,290","NGN 181,435","₦33,686.65",530652.19,2163490217,Rivers State,Paid
MDG300412,Emeka Eze,Ministry of Education,GL-3,1988-06-24,2010/04/20,"₦447,156.82","111,789.21 ","₦44,715.68",,"N81,699",716871.41 naira,7592611838,Enugu,Suspended
MDG300373,Grace Nwosu,MINISTRY OF SCIENCE & TECHNOLOGY,GL-16,22-Feb-1969,N/A,610345.75,"₦152,586.44",61034.58,387194.32 naira,"₦77,259.27","₦920,280.80",1801635542,Imo,Deducted
MDG300250,Ibrahim Suleiman,Ministry of Justice,GL-12,23/06/1972,2019-02-22,273279.68 naira,"₦68,319.92",27327.97 naira,209457.26,"NGN 26,325","NGN 456,412",6968897423,Ogun,Deducted
MDG300114,Femi Chukwu,Ministry of Education,GL-13,18 January 1967,14/12/2002,710445.78,177611.45,"71,044.58 ","N164,758","NGN 76,051","₦799,152.44",unknown,ABUJA,Suspended
MDG300270,Sadiq Bello,Ministry of Health,GL-5,10/01/1968,19/01/2013,"₦531,732.61","132,933.15 ",53173.26 naira,"NGN 388,830","NGN 102,126","N818,436",1601683984,Kano,paid
MDG300178,Bisi Chukwu,MINISTRY OF WORKS,GL-8,1977-01-19,12 November 2014,"NGN 243,612",60903.01,"N24,361","N67,461",26744.04 naira,"NGN 284,329",2934753202,Enugu,Suspended
MDG300420,Tunde  Nnamdi,Ministry of Education,GL-11,1985-07-01,07.05.2002,"93,815.95 ",23453.99 naira,9381.59,"N62,465","N8,220","NGN 148,062",3381013615,Delta,PAID
MDG300172,Sadiq Okonkwo,Ministry of Interior,GL-16,1975/07/26,31/08/2021,"N844,512","₦211,127.90","₦84,451.16","₦562,894.50","N207,623","1,199,783.05 ",5046355935,Akwa Ibom,paid 
MDG300074,Femi Eze,Ministry Of Justice,GL-15,11 April 2003,16-Jan-2007,344836.20 naira,86209.05,"NGN 34,484",253626.84,80199.62,518263.42000000004,5786565002,Akwa Ibom,Deducted
MDG300200,Ifeoma Afolabi,Ministry of Interior,GL-4,1983/06/09,02/14/2010,"NGN 652,942","NGN 163,236",65294.24,"₦278,212.71",--,"853,608.73 ",5055984107,lagos,Suspended
MDG300375,Wale Ogundimu,ministry of education,gl-14,14/04/2003,18/03/2005,"₦803,651.27",200912.82,80365.13,"N521,501","NGN 88,827","1,236,325.00 ",4165961222,Delta,Pending
MDG300203,Zainab Chukwu,MINISTRY OF EDUCATION,GL-6,04/10/1995,12.03.2014,"NGN 486,388","NGN 121,597",48638.82 naira,271551.55 naira,--,713137.58,7166336937,Cross River,paid 
MDG300304,Zainab Nnamdi,Ministry of Interior,GL-6,19/04/1980,17/06/2019,"NGN 734,169",183542.13 naira,"NGN 73,417",294957.86 naira,"150,612.73 ","878,513.66 ",5952008977,abuja,PAID
MDG300023,Grace Bello,Ministry of Education,GL-3,12/05/1965,24.03.2002,107780.79 naira,"N26,945","10,778.08 ","NGN 45,188","NGN 15,239","₦137,729.71",1314865432,Delta,paid 
MDG300214,Bisi Okonkwo,ministry of justice,GL-14,1994-08-14,27.09.2004,"₦295,869.58","73,967.40 ",unknown,"₦93,909.27","N33,375","NGN 356,404",1125711199,Edo,Pending
MDG300091,obinna suleiman,Ministry Of Science & Technology,GL-10,07/09/1968,25-Mar-2015,"₦447,533.34","NGN 111,883","NGN 44,753","N98,164","₦96,632.01","NGN 449,065",4030955314,Imo,Pending
MDG300008,Kemi Okonkwo,MINISTRY OF AGRICULTURE,GL-2,16-Sep-2002,04/05/2014,324569.63 naira,81142.41 naira,"NGN 32,457",196674.63,"NGN 33,178",488065.87 naira,6258777951,Oyo,Held
MDG300116,tunde balogun,Ministry of Agriculture,GL-15,12 April 2002,01.08.2016,"NGN 184,023",46005.71 naira,"NGN 18,402",106262.45,40696.86,"N249,588",3615903317,Kaduna,Paid
MDG300358,Tunde Yusuf,Ministry Of Justice,GL-15,07.06.2001,2019/04/25,508294.15 naira,127073.54 naira,50829.42,"N406,192",121717.85 naira,792768.48 naira,1091638419,Edo,paid
MDG300306,bisi eze,Ministry of Science & Technology,GL-15,1974-02-07,05-Dec-2003,Unknown,"NGN 73,436",29374.49,,47873.09,,5873604230,Delta,Pending
MDG300045,Adaeze Ajayi,ministry of works,GL-7,02/01/1970,15/08/2020,"NGN 653,014","N163,254",65301.41 naira,"NGN 202,373",128775.17,726611.98,7967262588,Anambra,PAID
MDG300143,Bisi Olawale,Ministry of Interior,GL-5,1995-07-09,03 December 2014,"N156,570","₦39,142.47","N15,657","N50,669","₦36,372.18","NGN 170,867",--,Delta,Paid
MDG300204,Funmilayo Yusuf,Ministry of Works,GL-3,1969/06/27,2005-09-30,"N819,892","NGN 204,973","NGN 81,989",633761.97,131859.76,1321794.06 naira,8758403661,Abuja,Suspended
MDG300144,Blessing Lawal,ministry of health,Grade Level 9,15-Jan-2002,04/18/2021,"767,603.82 ","NGN 191,901",76760.38,530314.83,"84,504.61 ","N1,213,414",5855535478,Cross River,PAID
MDG300310,Emeka Ajayi,MINISTRY OF EDUCATION,GL-14,14.08.1990,07/02/2010,"NGN 562,528","NGN 140,632",56252.83,"NGN 116,712",null,612374.5399999999,2522712544,Rivers,Suspended
MDG300244,Obinna Olawale,ministry of finance,GL-10,12 April 1970,2014-11-06,"N315,743","NGN 78,936","₦31,574.29","N110,225",61119.66 naira,364848.23,2891108423,Enugu,Held
MDG300001,Obinna Nnamdi,Ministry of Works,GL-6,27 January 1971,15 November 2001,638075.27 naira,"N159,519","₦63,807.53","₦480,901.32","47,068.44 ",1071908.15 naira,6064454108,Oyo State,Suspended
MDG300024,Funmilayo Adeyemi,ministry of education,Level 12,07.01.1966,11.04.2008,"768,180.52 ","₦192,045.13","N76,818","N360,348","136,365.58 ","N992,163",8966988016,Lagos State,Held
MDG300076,Musa Ajayi,ministry of finance,GL-4,06/15/1975,20-Jan-2020,266803.25,"NGN 66,701","N26,680",201076.73 naira,"NGN 55,897",411983.14,6298688005,Kaduna,Paid
MDG300063,Segun Ajayi,ministry of science & technology,Level 12,15/07/1975,23-Jul-2008,226672.51 naira,56668.13,22667.25 naira,"₦84,380.61","₦47,367.75","NGN 263,685",9192438789,Abuja,Pending
MDG300003,Funmilayo Lawal,MINISTRY OF JUSTICE,GL-16,06/09/1983,30-Oct-2016,null,"209,061.73 ",83624.69 naira,"N176,957",106359.83,906844.25 naira,2668192967,Imo,Suspended
MDG300299,Adaeze Balogun,MINISTRY OF AGRICULTURE,GL-6,08-Jun-1980,26/08/2020,626533.80 naira,"N156,633","62,653.38 ","NGN 323,457","₦150,104.79",799886.12,3206776595,Oyo,paid 
MDG300107,Chioma Balogun,Ministry of Justice,GL 7,08.04.1985,02-Nov-2011,"N544,622","₦136,155.48","54,462.19 ","171,007.99 ","NGN 106,933",608696.89,,Rivers,Suspended
MDG300344,Bola Okeke,Ministry Of Finance,GL-16,24/01/1982,2002/07/14,"₦841,096.74","N210,274","NGN 84,110","N184,989","NGN 169,258",856827.67 naira,1993060041,Plateau,paid 
MDG300119,Sadiq Abubakar,Ministry of Education,GL-17,07/06/1982,07/01/2009,"₦68,004.89",17001.22 naira,"NGN 6,800","N31,509","NGN 12,904",86609.5,3814118428,Oyo State,Held
MDG300041,Fatima Abubakar,Ministry Of Agriculture,GL-15,2002-12-06,2014-03-27,619453.89 naira,"NGN 154,863",61945.39,239542.17 naira,"₦104,409.65","754,586.41 ",3097778113,Anambra,Suspended
MDG300115,Blessing Nnamdi,Ministry of Agriculture,gl-14,1969/01/08,,"₦457,630.26","114,407.57 ",45763.03,"NGN 280,000","NGN 64,972",,1131568583,Rivers,paid
MDG300032,Sadiq Eze,MINISTRY OF INTERIOR,gl-14,24-Aug-1989,06/08/2009,"N169,137",42284.25 naira,"NGN 16,914","NGN 99,194","NGN 29,308","₦239,023.26",--,Enugu,Deducted
MDG300302,obinna adeyemi,MINISTRY OF WORKS,GL-4,1982/01/26,29 March 2002,"₦846,197.51","NGN 211,549","NGN 84,620","NGN 602,271",86966.62,"N1,361,502",4106976037,Kano,paid
MDG300100,Emeka Lawal,MINISTRY OF SCIENCE & TECHNOLOGY,GL-12,12/24/1985,02/13/2017,358367.42 naira,89591.85 naira,"₦35,836.74","₦137,981.46","NGN 64,303","₦432,045.52",6095382070,Ogun,paid 
MDG300301,Ibrahim Eze,ministry of works,GL-2,1972/11/07,29/04/2015,"₦199,573.82","49,893.46 ","NGN 19,957","₦106,013.83","NGN 12,154","₦293,433.69",6041965886,Abuja,Pending
MDG300329,TUNDE  YUSUF,Ministry of Works,Level 12,1990/11/27,12 December 2013,"N455,710","NGN 113,928","45,571.05 ","₦350,124.96","NGN 108,564",697271.10 naira,3821209775,Enugu,PAID
MDG300132,  WALE CHUKWU,Ministry Of Interior,GL-5,18 June 1989,17 April 2007,537124.48,unknown,"53,712.45 ",-,67236.40 naira,664641.96 naira,6891476496,Kaduna,Deducted
MDG300130,  BOLA ADEYEMI,Ministry of Finance,GL-12,14.07.1996,14-Sep-2007,"N323,892","₦80,972.92",32389.17,--,"₦71,956.02","464,040.43 ",1093382780,Kaduna,Suspended
MDG300048,Kunle Okeke,Ministry of Health,GL-3,11.01.1984,04-Mar-2012,88258.56 naira,"₦22,064.64",8825.86,"₦58,573.98","NGN 8,049",138783.22,9559889837,Akwa Ibom,Deducted
MDG300435,Segun Suleiman,HEALTH MINISTRY,GL-13,01/21/1990,2016/09/24,"NGN 255,033",63758.15 naira,"N25,503",nil,"NGN 38,574","N380,385",7566326190,Cross River,paid
MDG300390,Ngozi Mohammed,Ministry Of Agriculture,GL7,,18-Nov-2006,"₦788,937.49","NGN 197,234","N78,894","NGN 340,982","NGN 48,345","1,081,574.38 ",null,Anambra,paid 
MDG300140,Chioma Olawale   ,MINISTRY OF SCIENCE & TECHNOLOGY,GL7,18-Nov-1975,11/03/2001,"N260,411","65,102.77 ","N26,041","₦170,696.11","₦33,272.20","₦397,835.00",4229358726,Abuja,Pending
MDG300085,Yusuf Ogundimu,Ministry of Agriculture,GL-13,15.11.1975,26 July 2002,"609,028.85 ",152257.21,60902.89 naira,154588.97 naira,110200.74,-,9264413177,Rivers,paid 
MDG300105,Musa Afolabi,Ministry of Science & Technology,GL-7,,05/13/2013,"NGN 358,845",89711.26 naira,35884.5,207321.32,84471.9,"₦481,694.45",2942212433,Enugu,Held
MDG300142,Kemi Suleiman,Ministry Of Agriculture,GL-5,08/26/2001,2018/01/24,"847,215.11 ","211,803.78 ","NGN 84,722",280887.91,,954178.83 naira,--,Imo,PAID
MDG300322,Amara Bello,ministry of interior,Level 12,04/26/1985,07/25/2018,694330.15 naira,173582.54 naira,"₦69,433.01","316,702.14 ","NGN 138,100",,9628802417,Abuja,paid
MDG300137,Kunle Abubakar,MINISTRY OF JUSTICE,GL-15,26/01/1973,27/07/2003,482113.05 naira,"₦120,528.26","₦48,211.31","NGN 136,797",114809.18 naira,,7586651399,Edo,Pending
MDG300332,Fatima Mohammed,MOF,GL-8,27-Mar-1996,13 May 2020,"NGN 832,941","208,235.21 ",null,348637.88 naira,"NGN 104,142","1,077,436.75 ",3088803757,Kaduna,Deducted
MDG300196,SEGUN OKONKWO   ,MINISTRY OF INTERIOR,GL-4,1983/09/10,09/13/2007,"416,195.45 ",104048.86,"₦41,619.55",240370.58,"N58,054","N598,512",4641356751,Imo,Paid
MDG300058,Segun Nnamdi,Ministry of Education,GL-13,1989/02/27,2002-04-19,"₦214,366.85","53,591.71 ","N21,437","154,843.76 ","N29,312",339898.81 naira,3106631393,Kaduna,Suspended
MDG300253,Aliyu Balogun,Ministry of Science & Technology,GL7,09-Jul-1976,12/01/2006,454044.1,113511.02,"NGN 45,404","₦230,137.53",59574.24,,4255524735,Akwa Ibom,Deducted
MDG300006,Segun Yusuf,ministry of health,GL-3,1985/04/09,11/06/2019,"NGN 173,162","NGN 43,290",17316.18,136192.42,"NGN 23,792","N285,562",8652475164,Port Harcourt,Paid
MDG300247,Bola Lawal,Ministry of Agriculture,GL-2,1992-11-20,10/06/2005,843509.96 naira,"N210,877",84351.0,"NGN 489,949","NGN 74,125",1259333.62 naira,3603746205,Rivers,Paid
MDG300257,Bola Mohammed,Ministry of Education,GL-12,05/11/1995,2013-04-12,"N584,989","NGN 146,247","₦58,498.87",315916.43,"NGN 38,720",862185.4299999999,5544439617,Ogun,PAID
MDG300067,Aliyu Eze,Ministry of Education,GL-3,03/13/2001,2011/04/09,"NGN 462,711",115677.77,"NGN 46,271",227102.90 naira,"₦26,933.13",662880.86 naira,2703056950,KANO,Suspended
MDG300129,Amara Ajayi,Ministry of Education,GL-17,28.05.1993,2014-08-16,"NGN 625,520",156380.10 naira,62552.04 naira,"N354,358","NGN 147,327","₦832,551.50",6802917516,Port Harcourt,Suspended
MDG300240,Yusuf Balogun,ministry of health,GL-3,00/00/0000,2008/03/11,"NGN 687,408","171,851.88 ","₦68,740.75","₦535,066.86","NGN 142,679",1079795.8499999999,6532487967,Edo,Suspended
MDG300086,Ngozi Suleiman,MOH,Level 12,19 August 1992,17 March 2004,"N254,100","₦63,524.96","₦25,409.99",105705.56 naira,"36,209.19 ","N323,596",7969321484,Enugu,Pending
MDG300117,Adaeze Adekunle,Ministry of Education,GL-13,15/08/1974,03-Aug-2000,116877.92,"₦29,219.48","N11,688",29452.02 naira,20561.73,"NGN 125,768",3099158759,Cross River,Deducted
MDG300175,Chidi Mohammed,Ministry of Agriculture,GL-1,29/03/1997,05-Nov-2020,"N606,935","₦151,733.84","60,693.54 ","N352,149",123987.53 naira,"₦835,096.68",5847237635,Anambra,Suspended
MDG300429,amaka adeyemi,Ministry of Justice,GL 7,14-Dec-1983,03/15/2008,"N125,695","N31,424","₦12,569.48","NGN 71,758",null,177076.26 naira,?,Kaduna,Paid
MDG300395,Halima Suleiman,ministry of finance,GL-12,21/04/1965,2014-01-27,318504.91 naira,79626.23,31850.49,"NGN 118,793","33,223.25 ",N/A,6313656585,LAGOS,Pending
MDG300198,FUNMILAYO ABUBAKAR,Ministry of Education,GL7,1975-09-01,29-Jun-2008,253205.17,"NGN 63,301","₦25,320.52","N192,481",55630.63,"₦390,055.62",5707588546,Anambra,Paid
MDG300066,Kemi Balogun,Ministry of Works,GL-7,23/01/1985,06/01/2009,"NGN 667,760","N166,940","N66,776","₦363,766.00","₦120,991.94","N910,534",1279883809,Akwa Ibom,paid
MDG300028,Chinedu Adekunle,Ministry of Health,GL-16,1970-04-25,2002-06-16,"NGN 135,776",33944.0,"N13,578",78981.84,23383.00 naira,"NGN 191,375",5009405650,Enugu,Suspended
MDG300219,Amara Balogun,MINISTRY OF AGRICULTURE,GL-10,1968/08/31,2014-07-05,"N113,295","N28,324","₦11,329.48","N73,066","6,694.50 ","₦179,665.99",3150271290,FCT,Suspended
MDG300125,Yusuf Ajayi,Ministry of Interior,Level 12,17.05.2000,13 January 2004,"N593,275",148318.65 naira,59327.46 naira,370181.45,"N140,413","N823,043",6402306666,Cross River,Held
MDG300281,Aliyu Olawale,ministry of education,GL-14,1974/08/02,2018/12/21,473172.7,"₦118,293.18","NGN 47,317",138600.59,"NGN 113,811","NGN 497,962",6636109871,Ogun,paid 
MDG300181,Sadiq Okeke,Ministry of Health,GL-6,03 September 2000,01/31/2015,"54,042.63 ","13,510.66 ","N5,404",21027.37,"2,948.03 ","NGN 72,122",1909142277,lagos,PAID
MDG300109,MUSA OKONKWO,Ministry of Science & Technology,GL-13,09.11.2001,05-Jul-2003,"NGN 421,562","NGN 105,391","N42,156",332260.91,"NGN 100,516","₦653,307.10",9153526831,Lagos,PAID
MDG300009,SEGUN AJAYI,Ministry of Science & Technology,GL-10,04 September 1980,15-Jun-2016,"NGN 666,417",166604.24 naira,"N66,642",417703.38 naira,"N67,967","1,016,153.65 ",9048780120,Delta,Suspended
MDG300122,Bisi Okafor,ministry of agriculture,GL-12,07.11.1994,2018/11/10,"N812,759","₦203,189.80","NGN 81,276",241089.41,"138,643.13 ",,NULL,Delta,paid 
MDG300294,   Emeka Suleiman,Ministry of Works,GL-16,26/05/2002,2021-10-16,  ,195963.03,78385.21 naira,509294.92 naira,"N156,329",,4857374744,Imo,Suspended
MDG300252,Segun Yusuf,Ministry of Justice,GL-13,1993-04-08,25-Nov-2003,"N597,058",149264.55,"₦59,705.82","₦299,137.76","₦141,613.01","₦754,582.95",1168578726,Rivers,paid 
MDG300145,Funmilayo Ajayi,Ministry of Interior,GL-4,11.11.1977,04/28/2008,"505,372.38 ","N126,343","NGN 50,537",185903.47,"₦68,470.32","₦622,805.53",8743302721,Akwa Ibom,Suspended
MDG300255,Ibrahim  Bello,ministry of finance,GL-5,11/12/1986,2016-09-02,"495,092.62 ","NGN 123,773","N49,509","NGN 210,491","₦81,641.86","₦623,941.68",3737302765,Fct Abuja,PAID
MDG300295,Yusuf Nwosu,Ministry of Education,GL7,1980/05/20,04/01/2016,  ,"N109,949",43979.7,"N221,110",NULL,576288.5,8804265085,Plateau,Held
