StudentMatric,StudentName,University,Faculty,Department,DegreeType,Level,EntryMode,DateOfBirth,EnrollmentDate,CGPA,StudentEmail,PhoneNumber,State,ScholarshipHolder
YZB/76879/03,Adaeze Nwosu,Covenant University,Law,Dept of Accounting,bsc,200,UTME,24/03/2006,17 March 2020,1.94,adaeze.nwosu@oauife.edu.ng,234-752-545-991,Anambra,Y
ahI/48164/01,Chinedu Adeyemi,Ahmadu Bello University (ABU),Management Sciences,Dept of Physics,B.A.,level 300,UTME ,2006-09-08,N/A,4.04,chinedu.adeyemi@oauife.edu.ng,05991624731,Anambra,N
SLR/28405/03,Emeka Yusuf,Obafemi Awolowo University (OAU),Law,Dept of Electrical Engineering,M.Sc.,500,Transfer,2001-12-18,2020-02-26,0.74,emeka.yusuf@oauife.edu.ng,16328708317,Edo,Y
YMh/48365/03,Bisi Abubakar,Lagos State University (LASU),Education,Dept of Physics,MBBS,500,Post-UTME,21/08/2004,02-May-2019,1.45,bisi.abubakar@gmail.com,+234132370589,Akwa Ibom,true
aFg/54069/01,Ifeoma Nnamdi,Lagos State University (LASU),Management Sciences,Dept of Physics,MBBS,300,utme,10/24/1999,2020-12-13,4.17,N/A,80396522395,Anambra,Y
fiF/46058/03,Funmilayo Afolabi,University of Lagos (UNILAG),Arts,Dept of Accounting,Bsc,400 level,Post-UTME,04.09.2008,03-Jun-2021,4.94,funmilayo.afolabi@oauife.edu.ng,0115 869 3806,Imo,1
fAX/84126/01,Chidi Okonkwo,University of Lagos (UNILAG),arts,Dept of Biochemistry,bsc,600,Transfer,16/10/1997,2024-07-19,2.85,chidi.okonkwo@oauife.edu.ng,25449481260,Plateau,No
aDG/46726/03,Musa Chukwu,Covenant University,Law,Dept of Biochemistry,Bsc,500,Transfer,26/09/2010,18-Mar-2024,4.83,musa.chukwu@oauife.edu.ng,234-467-737-826,Abuja,false
Wbe/27947/03,Yusuf Yusuf,Obafemi Awolowo University (OAU),science,Dept of Economics,M.Sc.,200,UTME ,N/A,2020/01/30,1.96,yusuf.yusuf@oauife.edu.ng,0000000000,Ibadan,yes
VLZ/88111/02,Chinedu Suleiman,Obafemi Awolowo University (OAU),Science,Dept of Computer Science,Ph.D,100,utme,2006-05-24,2022-02-06,0.89,chinedu.suleiman@gmail.com,0426 221 8909,Abuja,yes
adB/83257/01,Funmilayo Nnamdi,University of Nigeria Nsukka (UNN),Social Sciences,Dept of Computer Science,B.Sc,500,direct entry,18 June 2005,18 June 2023,2.39,funmilayo.nnamdi@gmail.com,0764 835 0305,Rivers,0
DXT/88549/01,Blessing Balogun,Obafemi Awolowo University (OAU),science,Dept of Electrical Engineering,B.Eng,200L,direct entry,2006/11/13,2019-04-02,4.33,blessing.balogun@oauife.edu.ng,52621815997,Cross River,FALSE
RUX/92611/01,Yusuf Okonkwo,Covenant University,Management Sciences,Dept of Accounting,LLB,level 300,UTME ,11/19/1999,12-Aug-2022,2.38,yusuf.okonkwo@oauife.edu.ng,+234663193149,Enugu,yes
HSP/36965/03,Femi Suleiman,Ahmadu Bello University (ABU),social sciences,Dept of Biochemistry,LLB,300,Transfer,2008-01-18,09-Nov-2023,2.84,NULL,234-186-449-251,Imo,0
IOX/83765/04,Ngozi Suleiman,Ahmadu Bello University (ABU),Arts,Dept of Electrical Engineering,MBBS,100,direct entry,23 May 2002,03/11/2024,4.13,ngozi.suleiman@student.unilag.edu.ng,0891 411 7393,Cross River,false
iQZ/72714/02,  Zainab Balogun,Obafemi Awolowo University (OAU),Education,Dept of Accounting,M.Sc.,300,Post-UTME,2010/11/13,17 July 2023,3.93,zainab.balogun@student.unilag.edu.ng,68486661889,Ogun,Y
WiJ/66904/03,Tunde Mohammed,Obafemi Awolowo University (OAU),management sciences,Dept of Computer Science,MBBS,200,Post-UTME,02/10/2004,26.04.2020,3.16,tunde.mohammed@gmail.com,04733848421,Oyo,yes
eNk/97688/03,YUSUF MOHAMMED,University of Nigeria Nsukka (UNN),LAW,n/a,B.A.,200L,direct entry,unknown date,07.05.2022,2.39,yusuf.mohammed@student.unilag.edu.ng,0445 187 0534,Kaduna,no
BcQ/86401/02,Amara Okeke,Lagos State University (LASU),Arts,Dept of Accounting,Bsc,100L,direct entry,16.11.2007,14.11.2021,1.32,amara.okeke@gmail.com,54973348434,Plateau,true
MIO/66084/01,Obinna Nwosu,Ahmadu Bello University (ABU),social sciences,-,B.Sc,500,UTME ,21.03.2004,02/25/2023,1.19,obinna.nwosu@student.unilag.edu.ng,(386) 120-7501,Enugu,Y
cbe/96067/04,ALIYU  OKONKWO   ,University of Lagos (UNILAG),engineering,Dept of Economics,B.A.,200,Transfer,23.01.1999,2021-12-18,4.83,aliyu.okonkwo@gmail.com,06046618398,Cross River,TRUE
RKe/38909/04,Segun Yusuf,University of Lagos (UNILAG),Law,Dept of Physics,B.Ed,100L,Direct Entry,11 September 2005,10/03/2021,4.84,segun.yusuf@gmail.com,08922680182,Oyo,TRUE
UZG/11668/01,Tunde Okonkwo,University of Nigeria Nsukka (UNN),social sciences,Dept of Economics,B.A.,200L,Transfer,23-Sep-2009,25 June 2019,1.37,tunde.okonkwo@student.unilag.edu.ng,234-688-143-536,Akwa Ibom,FALSE
JTK/96196/03,Ifeoma Okafor,Obafemi Awolowo University (OAU),ARTS,Dept of Law,B.Sc.,300,UTME ,05 November 2009,23.12.2021,4.69,?,0858 877 0435,LAGOS,N
LSM/13049/01,Sadiq Adeyemi,Ahmadu Bello University (ABU),engineering,Dept of Law,B.Eng,level 300,UTME ,16 August 2002,21/10/2022,2.95,sadiq.adeyemi@gmail.com,52398680002,Anambra,TRUE
TKh/18752/02,Blessing Mohammed,Lagos State University (LASU),Faculty of Medicine,Dept of Computer Science,M.Sc.,500,UTME ,04-Mar-1999,10/15/2021,NULL,blessing.mohammed@gmail.com,08347359774,Oyo,Y
kEN/49389/01,Chidi Balogun,Lagos State University (LASU),Medicine,Dept of Law,B.Sc,400 level,UTME ,2001-05-17,17-Jan-2019,3.79,chidi.balogun@gmail.com,+234158144914,Oyo,no
LNB/13853/01,Blessing Nnamdi,University of Lagos (UNILAG),Management Sciences,Dept of Economics,LLB,200L,Post-UTME,1995-03-10,19.07.2024,0.55,blessing.nnamdi@student.unilag.edu.ng,04705516940,Imo,FALSE
eEB/68599/03,Musa Mohammed,Obafemi Awolowo University (OAU),MEDICINE,Dept of Electrical Engineering,LLB,200L,direct entry,2003-04-16,2020-02-07,3.04,musa.mohammed@student.unilag.edu.ng,(271) 111-6152,Imo,N
kAb/24617/04,Blessing Balogun,Obafemi Awolowo University (OAU),EDUCATION,Dept of Biochemistry,B.Sc,200L,UTME,02-Jun-2008,28-Jan-2021,2.69,blessing.balogun@oauife.edu.ng,51823374989,oyo,no
aCX/92638/01,Bola Adekunle,Ahmadu Bello University (ABU),Science,Dept of Economics,MBBS,100L,utme,1997/12/01,,2.84,bola.adekunle@student.unilag.edu.ng,06230913075,Kano,Yes
dEb/87810/03,Emeka Ogundimu,University of Lagos (UNILAG),Science,Dept of Law,Bsc,200,UTME ,1999-06-24,2020-03-11,0.7,emeka.ogundimu@student.unilag.edu.ng,(419) 182-5537,Anambra,0
FFA/52710/01,Kunle Nwosu,Ahmadu Bello University (ABU),Law,Dept of Law,M.Sc.,200L,UTME ,21 March 2000,14.05.2022,1.89,kunle.nwosu@oauife.edu.ng,234-461-849-926,Plateau,No
HPk/57798/02,  OBINNA OKAFOR,Obafemi Awolowo University (OAU),Management Sciences,unknown,B.Sc.,400,Direct Entry,27.06.1996,31.08.2022,2.47,obinna.okafor@student.unilag.edu.ng,50648909010,Plateau,No
UQD/30483/03,Emeka Suleiman,Lagos State University (LASU),Science,Dept of Physics,LLB,200,Post-UTME,2003/12/02,01/12/2019,3.9,emeka.suleiman@student.unilag.edu.ng,(027) 716-7014,Akwa Ibom,No
ZAX/17863/01,Aliyu Eze   ,Obafemi Awolowo University (OAU),science,Dept of Electrical Engineering,B.Ed,400,Direct Entry,26-Sep-2001,26/04/2020,1.1,aliyu.eze@gmail.com,04119986798,Rivers,TRUE
SBj/99527/04,Grace Yusuf,Obafemi Awolowo University (OAU),ARTS,Dept of Electrical Engineering,B.Sc,600,Direct Entry,1998-12-13,30/10/2021,0.95,grace.yusuf@gmail.com,234-139-837-354,Plateau,1
ENf/37097/01,wale abubakar   ,Obafemi Awolowo University (OAU),Arts,Dept of Accounting,LLB,300,utme,1999-12-21,30-Sep-2020,n/a,wale.abubakar@gmail.com,0953 394 2104,Edo,FALSE
Aaf/57629/04,Segun Okafor,University of Lagos (UNILAG),Education,,Bsc,200,UTME ,01.04.2007,03/05/2024,2.46,segun.okafor@student.unilag.edu.ng,234-756-289-002,Imo,N
kKG/17017/03,MUSA  ADEYEMI,University of Nigeria Nsukka (UNN),Science,nil,B.Sc.,200,Transfer,21-Oct-2001,01.09.2018,2.5,musa.adeyemi@student.unilag.edu.ng,84036900343,Cross River,Yes
RVM/57250/02,Kemi Lawal,Lagos State University (LASU),Social Sciences,Dept of Law,B.Eng,100L,utme,29 February 2008,03-Mar-2023,3.7,kemi.lawal@student.unilag.edu.ng,+234271361115,FCT,no
MEJ/23497/02,  chidi yusuf,University of Nigeria Nsukka (UNN),Social Sciences,Dept of Electrical Engineering,B.Sc,400 level,Transfer,2000/09/17,2023/03/10,3.03,chidi.yusuf@student.unilag.edu.ng,+234159514846,Abuja,FALSE
Wdh/85669/02,  emeka mohammed,Lagos State University (LASU),Science,Dept of Electrical Engineering,B.A.,200L,Transfer,2004-09-05,26/02/2020,4.47,emeka.mohammed@oauife.edu.ng,57387571775,Port Harcourt,FALSE
QYG/28594/01,Aliyu Adekunle,University of Nigeria Nsukka (UNN),education,Dept of Computer Science,Ph.D,100,UTME,02/13/2009,15 May 2024,4.63,aliyu.adekunle@oauife.edu.ng,+234019948837,Rivers,No
GKO/29929/04,Halima Adeyemi,Ahmadu Bello University (ABU),Social Sciences,Dept of Computer Science,MBBS,500,utme,28-Sep-1998,14-Aug-2024,2.19,halima.adeyemi@gmail.com,invalid,Plateau,TRUE
PHO/25097/01,Chioma Okonkwo,Lagos State University (LASU),Medicine,Dept of Electrical Engineering,bsc,200,Transfer,13 June 1997,12-Jul-2023,3.57,chioma.okonkwo@student.unilag.edu.ng,10433218196,oyo,N
UEU/33794/01,Obinna Suleiman,Ahmadu Bello University (ABU),EDUCATION,Dept of Law,Bsc,400,Transfer,12-Jun-2007,12.11.2021,2.46,obinna.suleiman@student.unilag.edu.ng,234-884-443-106,Enugu,true
ATi/73321/04,Emeka Adekunle,Obafemi Awolowo University (OAU),Social Sciences,Dept of Physics,B.Sc,level 300,utme,2008-04-01,23/11/2019,1.31,emeka.adekunle@oauife.edu.ng,0113 055 4885,Oyo State,true
YcP/99506/04,Bola Okafor,Ahmadu Bello University (ABU),Education,Dept of Accounting,M.Sc.,200L,UTME ,05/02/2001,2022/12/30,3.59,bola.okafor@oauife.edu.ng,234-985-931-746,Plateau,Yes
ZSQ/15232/02,Zainab Ajayi,Obafemi Awolowo University (OAU),education,Dept of Electrical Engineering,M.Sc.,100L,direct entry,20-Sep-1999,28.02.2020,3.04,zainab.ajayi@student.unilag.edu.ng,+234908272318,Ogun,false
cfb/77367/01,Blessing Chukwu,Lagos State University (LASU),social sciences,Dept of Accounting,bsc,200,Direct Entry,06-Aug-2006,2019/03/28,3.14,blessing.chukwu@gmail.com,+234472779010,Abuja,yes
ZOb/42029/04,Bola Olawale,Obafemi Awolowo University (OAU),management sciences,Dept of Accounting,B.Sc,500,Post-UTME,04/06/2008,00/00/0000,  ,bola.olawale@oauife.edu.ng,invalid,Abuja,N
ZbP/47547/02,Tunde Yusuf,Obafemi Awolowo University (OAU),Law,Dept of Electrical Engineering,LLB,400 level,utme,21/11/2003,07.03.2024,3.15,tunde.yusuf@student.unilag.edu.ng,06218518888,Imo,false
GbR/47324/01,sadiq okeke   ,University of Lagos (UNILAG),SOCIAL SCIENCES,Dept of Economics,B.Ed,level 300,Direct Entry,05/08/2001,N/A,2.8,sadiq.okeke@oauife.edu.ng,+234478872874,Abuja,yes
AVO/75648/03,Yusuf Abubakar,Ahmadu Bello University (ABU),Management Sciences,Dept of Law,B.Eng,300,UTME,1996-06-01,26.08.2021,3.44,yusuf.abubakar@student.unilag.edu.ng,N/A,Delta,TRUE
bZU/63311/02,AMAKA MOHAMMED   ,Covenant University,Law,Dept of Accounting,M.Sc.,200L,UTME ,2005-02-27,09 November 2023,1.09,n/a,89994043898,Rivers,No
hTf/49344/02,Bola Okonkwo,Covenant University,Education,Dept of Economics,B.Ed,level 300,Post-UTME,31.01.1998,01 July 2020,4.59,bola.okonkwo@student.unilag.edu.ng,(103) 886-2912,Edo,0
JEM/73195/04,ifeoma ogundimu,University of Nigeria Nsukka (UNN),MEDICINE,Dept of Computer Science,Ph.D,600,direct entry,27.07.2004,2022/05/20,0.99,ifeoma.ogundimu@gmail.com,+234955271774,Rivers,0
QWW/56186/02,Grace Olawale,Obafemi Awolowo University (OAU),arts,Dept of Economics,bsc,600,Post-UTME,1995-08-21,04/16/2023,3.78,grace.olawale@student.unilag.edu.ng,49972787558,Cross River,N
fGe/67301/04,  BLESSING SULEIMAN,University of Lagos (UNILAG),Medicine,N/A,bsc,level 300,Transfer,22/02/1996,2021/08/24,4.92,blessing.suleiman@student.unilag.edu.ng,02546291486,ABUJA,false
CDZ/84878/02,Amara Eze,Obafemi Awolowo University (OAU),Science,Dept of Electrical Engineering,bsc,100L,Transfer,03/12/1996,18/02/2020,2.47,amara.eze@gmail.com,+234290349446,Rivers,Yes
ObO/80694/02,Halima Afolabi,Lagos State University (LASU),engineering,Dept of Economics,LLB,100L,UTME,28 May 2010,2024/03/05,nil,halima.afolabi@gmail.com,0152 742 0549,Enugu,true
dSH/25720/04,Segun Abubakar,University of Nigeria Nsukka (UNN),Medicine,n/a,B.Eng,200,Transfer,2006/09/07,2023/08/28,n/a,segun.abubakar@gmail.com,80841241182,Anambra,true
LCb/74291/02,Funmilayo Nnamdi   ,University of Nigeria Nsukka (UNN),arts,Dept of Computer Science,Bsc,level 300,UTME,2007-04-24,2022/05/23,1.11,nil,,Cross River,true
ObQ/75697/01,Chioma Olawale,University of Nigeria Nsukka (UNN),Engineering,Dept of Physics,B.Eng,100,Direct Entry,11.12.1995,14.02.2022,2.08,chioma.olawale@gmail.com,11288013361,Ogun,0
jRU/30502/02,Wale Okonkwo,Lagos State University (LASU),ENGINEERING,Dept of Physics,B.Eng,200L,UTME,01/26/1997,09/04/2023,4.62,Unknown,234-965-652-341,Imo,false
eYD/31098/01,Tobi Mohammed,Ahmadu Bello University (ABU),Engr,Dept of Computer Science,bsc,level 300,Transfer,01/14/2006,13-Sep-2019,3.76,tobi.mohammed@student.unilag.edu.ng,54019380262,Imo,Y
PaD/28966/02,Amara Okonkwo,Ahmadu Bello University (ABU),Arts,Dept of Physics,M.Sc.,300,Transfer,2005/03/14,09/26/2018,1.66,amara.okonkwo@student.unilag.edu.ng,06103579727,Rivers,true
XfV/93245/03,Ibrahim Ajayi,Obafemi Awolowo University (OAU),Education,Dept of Biochemistry,B.Sc,100,Direct Entry,30-Oct-1998,31-Jul-2023,3.02,ibrahim.ajayi@gmail.com,77418625652,Akwa Ibom,No
bQf/21892/02,chioma  lawal,University of Nigeria Nsukka (UNN),ENGINEERING,null,B.Sc.,400 level,UTME,19/12/2002,26/02/2022,1.3,-,03869222196,Cross River,FALSE
VRi/58424/04,Zainab Lawal,University of Lagos (UNILAG),law,Dept of Law,B.A.,600,direct entry,30.04.1996,11/15/2022,0.96,zainab.lawal@gmail.com,+234190229413,Kaduna,FALSE
QRe/25147/04,Aliyu Okeke,University of Lagos (UNILAG),Law,Dept of Biochemistry,bsc,300,utme,2002-09-24,16/04/2023,1.09,aliyu.okeke@gmail.com,invalid,Lag,true
KDJ/14606/01,Adaeze Lawal,Obafemi Awolowo University (OAU),SCIENCE,Dept of Law,MBBS,300,UTME,01/23/2005,22 February 2023,3.63,adaeze.lawal@student.unilag.edu.ng,234-486-289-023,Lagos State,N
UcW/72973/03,Bola Olawale,University of Nigeria Nsukka (UNN),Social Sciences,Dept of Electrical Engineering,Ph.D,400,UTME ,2007/10/07,28-May-2019,1.68,bola.olawale@oauife.edu.ng,0124 998 5698,Delta,0
DMd/49319/03,Musa Abubakar,Lagos State University (LASU),Law,Dept of Biochemistry,MBBS,200L,UTME,13 May 2004,05/07/2022,1.09,musa.abubakar@student.unilag.edu.ng,(205) 336-4525,Plateau,FALSE
LiN/55252/01,Amara Chukwu,Obafemi Awolowo University (OAU),Arts,Dept of Biochemistry,M.Sc.,200L,Post-UTME,11.04.2009,10/12/2020,3.29,,03792374740,Cross River,yes
eGi/95490/04,Segun  Ogundimu,Obafemi Awolowo University (OAU),management sciences,Dept of Electrical Engineering,M.Sc.,100L,UTME ,16-Oct-1999,N/A,2.27,segun.ogundimu@gmail.com,75869261796,Ogun,Y
Peg/45003/02,Adaeze Balogun,Obafemi Awolowo University (OAU),Management Sciences,Dept of Accounting,B.Eng,500,UTME ,2000-11-22,08/01/2024,unknown,adaeze.balogun@oauife.edu.ng,+234788191485,Kaduna,no
PLe/36186/03,  CHIDI AJAYI,Covenant University,Management Sciences,Dept of Biochemistry,Ph.D,300,utme,15/08/1998,30.10.2020,2.56,chidi.ajayi@student.unilag.edu.ng,07165726284,Lagos,true
eCf/14131/04,CHIOMA OKAFOR,Lagos State University (LASU),MEDICINE,NIL,B.Sc,400 level,Transfer,2001/10/24,01/01/2021,2.43,chioma.okafor@oauife.edu.ng,234-883-552-312,Anambra,No
aHd/75951/01,Amaka Adekunle,Covenant University,Law,Dept of Electrical Engineering,B.Ed,300,Post-UTME,2005/06/23,02/04/2020,3.23,amaka.adekunle@oauife.edu.ng,0427 010 3930,Anambra,1
BDE/92853/04,Ngozi  Okafor,Obafemi Awolowo University (OAU),ENGINEERING,Dept of Economics,B.Eng,200L,Direct Entry,01 January 1995,2024/03/28,3.7,N/A,82586736226,Imo,TRUE
ZbP/47547/02,Tunde Yusuf,Obafemi Awolowo University (OAU),Law,Dept of Electrical Engineering,LLB,400 level,utme,21/11/2003,07.03.2024,3.15,tunde.yusuf@student.unilag.edu.ng,06218518888,Imo,false
THi/89958/04,Ibrahim Nnamdi,University of Lagos (UNILAG),Arts,Dept of Law,B.Eng,200,Post-UTME,17 March 2000,2023/12/13,3.47,ibrahim.nnamdi@oauife.edu.ng,00861317127,Abuja,FALSE
JKO/71803/01,Emeka Lawal,Covenant University,Arts,Dept of Biochemistry,B.Ed,100,Post-UTME,2007-12-29,20-Apr-2024,0.62,emeka.lawal@gmail.com,0114 351 9066,Enugu,0
Wbe/49769/02,OBINNA MOHAMMED,University of Nigeria Nsukka (UNN),MEDICINE,Dept of Accounting,B.Sc.,level 300,utme,00/00/0000,27-Mar-2024,1.51,obinna.mohammed@gmail.com,(713) 315-0983,Imo,no
gei/51089/01,Segun Balogun,Lagos State University (LASU),engineering,Dept of Economics,Bsc,level 300,direct entry,02-Mar-1997,10.02.2020,?,segun.balogun@oauife.edu.ng,+234596158657,Lagos,TRUE
bJL/19843/02,  chidi mohammed,Lagos State University (LASU),law,Dept of Economics,B.A.,500,Post-UTME,04 July 1997,08 September 2020,3.25,chidi.mohammed@gmail.com,(838) 065-7875,Delta,Y
ERk/43031/01,Grace Adeyemi,University of Nigeria Nsukka (UNN),Social Sciences,Dept of Law,M.Sc.,100L,Direct Entry,1996-06-06,2020/04/28,3.57,grace.adeyemi@student.unilag.edu.ng,0091 343 1611,Rivers,true
ikd/90973/01,Chioma Okeke,University of Lagos (UNILAG),ENGINEERING,Dept of Physics,bsc,100L,utme,10-Jul-1999,18/03/2024,?,chioma.okeke@gmail.com,+234858994417,Enugu,No
EkF/83176/01,Halima Olawale,Lagos State University (LASU),education,Dept of Physics,B.Sc,200L,UTME ,03/24/2009,30.05.2022,0.8,halima.olawale@oauife.edu.ng,96499091334,Rivers,No
Hjb/95471/03,Yusuf Adekunle,University of Nigeria Nsukka (UNN),Engineering,Dept of Economics,Ph.D,100L,Transfer,2010/08/04,02/29/2024,4.05,yusuf.adekunle@gmail.com,234-804-436-995,Abuja,yes
XIP/77404/03,Halima Lawal,Obafemi Awolowo University (OAU),Science,Dept of Electrical Engineering,MBBS,100L,UTME,20.09.2005,22 February 2020,0.53,halima.lawal@oauife.edu.ng,+234651801704,Rivers State,TRUE
TOk/26176/02,Ibrahim Okonkwo,Lagos State University (LASU),Social Sciences,Dept of Physics,B.A.,200L,Direct Entry,09/09/1997,07-Nov-2020,2.41,ibrahim.okonkwo@oauife.edu.ng,0364 037 6137,Rivers,Yes
Nka/36784/03,Funmilayo Abubakar,Obafemi Awolowo University (OAU),Social Sciences,Dept of Accounting,B.Sc,level 300,direct entry,08-Sep-2003,unknown date,2.62,funmilayo.abubakar@gmail.com,invalid,Ogun,Y
IGG/49257/02,Segun Nwosu,University of Lagos (UNILAG),social sciences,Dept of Biochemistry,B.Ed,400 level,utme,1997-02-09,03/25/2022,1.72,segun.nwosu@gmail.com,05037589975,Anambra,TRUE
LJf/60831/03,Kemi Chukwu   ,Obafemi Awolowo University (OAU),Engineering,Dept of Economics,M.Sc.,100L,Post-UTME,29.01.2006,2019/11/23,0.96,kemi.chukwu@student.unilag.edu.ng,06788317121,Plateau,TRUE
iHA/38358/01,Adaeze Mohammed,Obafemi Awolowo University (OAU),Arts,Dept of Computer Science,Ph.D,100,Direct Entry,18/12/2000,2023-06-23,4.27,adaeze.mohammed@student.unilag.edu.ng,234-394-278-816,Ogun,0
HjB/17472/02,Amaka Afolabi,University of Nigeria Nsukka (UNN),Medicine,NIL,M.Sc.,100,UTME,N/A,20 June 2020,3.64,amaka.afolabi@gmail.com,08564205930,Kaduna,true
ALX/55844/01,EMEKA OLAWALE,University of Lagos (UNILAG),LAW,Dept of Physics,B.Eng,level 300,UTME ,24.04.2008,2022-10-29,2.6,emeka.olawale@oauife.edu.ng,0086 353 6541,kano,yes
caj/82250/02,Grace Abubakar,Lagos State University (LASU),engineering,Dept of Biochemistry,B.Sc,100L,Post-UTME,24.09.2008,25.11.2018,2.67,grace.abubakar@oauife.edu.ng,+234718702621,Kaduna,TRUE
TVB/18888/01,Chinedu Adeyemi   ,University of Lagos (UNILAG),Science,Dept of Accounting,B.Sc,400,UTME ,21 April 2004,2023/03/09,2.42,chinedu.adeyemi@gmail.com,234-062-312-038,Ogun,Yes
kZc/38159/04,Amara Lawal,Lagos State University (LASU),Education,Dept of Law,B.Eng,level 300,Transfer,02/06/2009,09.10.2020,4.41,amara.lawal@gmail.com,234-125-674-680,Cross River,TRUE
gCP/55436/04,Tunde Mohammed,Covenant University,ARTS,N/A,B.Ed,100,direct entry,1997-09-03,13.03.2019,2.89,tunde.mohammed@student.unilag.edu.ng,(213) 568-0442,Ogun,FALSE
QgS/94983/02,Kunle Adeyemi,University of Lagos (UNILAG),Law,-,B.Ed,level 300,UTME ,01.06.2008,11/07/2023,3.73,n/a,(990) 453-0174,Enugu,0
gOU/52488/02,Obinna Olawale,Ahmadu Bello University (ABU),arts,Dept of Electrical Engineering,LLB,level 300,Post-UTME,2001-01-31,2021/09/03,4.44,obinna.olawale@gmail.com,25546659051,Oyo State,false
UHW/62178/02,Blessing Olawale,University of Nigeria Nsukka (UNN),Law,Dept of Physics,B.Ed,400 level,utme,14/12/1998,19 December 2019,2.59,nil,68011280598,Kaduna,1
JHh/22696/02,Ibrahim  Yusuf,University of Lagos (UNILAG),Science,Dept of Electrical Engineering,M.Sc.,400,direct entry,1997-07-28,2020/12/01,0.8,ibrahim.yusuf@gmail.com,23884969653,lagos,Y
EHI/35368/02,Ibrahim Chukwu,University of Nigeria Nsukka (UNN),medicine,Dept of Electrical Engineering,B.Sc,200L,Post-UTME,1999/06/01,19/04/2020,4.3,ibrahim.chukwu@oauife.edu.ng,234-712-406-596,Edo,true
CPM/50635/04,ibrahim okonkwo   ,Covenant University,Law,Dept of Law,MBBS,level 300,Post-UTME,16.01.2010,07.06.2020,3.83,nil,13836702410,Kaduna,false
jhA/44289/03,Kunle Adeyemi,Covenant University,Arts,Dept of Economics,B.Ed,200L,Direct Entry,09-Nov-2006,07/02/2021,1.06,kunle.adeyemi@student.unilag.edu.ng,09835841687,Fct Abuja,FALSE
jXW/71016/01,Sadiq Eze,Obafemi Awolowo University (OAU),SCIENCE,Dept of Economics,M.Sc.,300,direct entry,09 April 2007,00/00/0000,0.57,sadiq.eze@oauife.edu.ng,234-033-230-982,Enugu,true
BTg/77969/04,Amaka Abubakar,Lagos State University (LASU),Law,unknown,B.Sc.,300,UTME,10 October 2001,19.12.2021,2.49,nil,+234323651994,Cross River,true
GfM/89102/02,Wale Yusuf,Ahmadu Bello University (ABU),arts,Dept of Law,bsc,100L,direct entry,27/03/2008,08/09/2020,2.83,wale.yusuf@oauife.edu.ng,0482 175 9464,Kano,Yes
QNg/13121/03,Ibrahim Abubakar,University of Nigeria Nsukka (UNN),Medicine,Dept of Accounting,MBBS,400 level,direct entry,18-Sep-2007,30 March 2021,4.51,ibrahim.abubakar@gmail.com,(643) 815-6149,Abuja,Yes
MYW/65919/01,  obinna bello,Obafemi Awolowo University (OAU),Medicine,Dept of Law,B.Sc,100L,Transfer,30 December 1996,19-Feb-2022,2.39,obinna.bello@student.unilag.edu.ng,234-000-307-562,Rivers,1
ViY/72338/01,funmilayo nwosu,University of Nigeria Nsukka (UNN),Arts,Dept of Economics,M.Sc.,100L,Transfer,2008/03/09,31/10/2023,2.39,funmilayo.nwosu@gmail.com,09232719374,Anambra,no
LVQ/61698/04,Halima Olawale,University of Nigeria Nsukka (UNN),Education,Dept of Economics,B.Eng,100,utme,1996-02-13,19-Dec-2022,1.23,halima.olawale@oauife.edu.ng,05300119721,Akwa Ibom,false
RLH/69151/03,Bola Mohammed,Covenant University,Arts,Dept of Biochemistry,B.A.,600,direct entry,05/16/2000,09/14/2018,0.8,bola.mohammed@oauife.edu.ng,(658) 202-9702,Cross River,No
aBA/81001/02,Grace Bello,Ahmadu Bello University (ABU),Engineering,Dept of Law,B.Sc.,500,Transfer,18/09/1996,2019/08/14,0.83,grace.bello@oauife.edu.ng,0563 421 6073,Anambra,yes
dFI/22579/01,Segun Okafor,University of Nigeria Nsukka (UNN),Social Sciences,Dept of Law,bsc,600,UTME,02/03/1995,2023/04/30,4.86,segun.okafor@oauife.edu.ng,07192856543,Akwa Ibom,No
OED/11274/04,Femi Adeyemi,Obafemi Awolowo University (OAU),Social Sciences,Dept of Accounting,B.A.,100,Transfer,10/06/2009,09-Oct-2022,?,femi.adeyemi@gmail.com,06887676772,Anambra,yes
KWM/42409/02,Musa Adeyemi   ,Ahmadu Bello University (ABU),Medical Sciences,Dept of Accounting,LLB,100,UTME,2008/02/12,2019-01-20,1.51,musa.adeyemi@gmail.com,0000000000,Ogun,TRUE
CEY/27813/01,Blessing Okonkwo,Covenant University,Arts,Dept of Law,B.Ed,level 300,Transfer,10 May 2009,2020/06/25,3.23,blessing.okonkwo@oauife.edu.ng,(818) 141-2478,Akwa Ibom,0
eAU/64565/02,ZAINAB CHUKWU,Covenant University,medicine,Dept of Computer Science,LLB,200,UTME,13 January 1998,2022-05-15,1.24,zainab.chukwu@student.unilag.edu.ng,N/A,Ibadan,FALSE
HBX/63154/04,Grace Okafor,Covenant University,Law,Dept of Law,B.Eng,400 level,UTME,23 September 1995,2021-11-13,1.62,grace.okafor@oauife.edu.ng,234-753-556-093,Delta,No
YZK/15230/02,Chinedu Nwosu,Lagos State University (LASU),Engr,Dept of Biochemistry,B.Eng,100,Post-UTME,10 April 2010,00/00/0000,1.44,chinedu.nwosu@gmail.com,0759 492 9955,Oyo,false
