AccountNo,CustomerName,CustomerPhone,DISCO,TariffCategory,AccountType,BillingMonth,UnitsConsumed_kWh,TariffRate_per_kWh,BillAmount,PreviousArrears,TotalAmountDue,PaymentStatus,MeterNumber,State
DISCO830357,Chioma Adeyemi,0526 772 2330,PHED (Port Harcourt),R2,Pre-paid,02.04.2025,2343.3,58.57 naira,"NGN 137,247",,"N137,247",paid ,MTR1954291,Imo
DISCO655092,amara okonkwo,0915 671 6493,KEDCO (Kano),Commercial (C1),Postpaid,17.01.2024,2284.9,208.79 naira,"477,064.27 ",  ,477064.271,Arrears,MTR3779093,Lagos
DISCO178265,Segun Bello,09634807970,KEDCO (Kano),Commercial (C1),Prepaid,2025/01/15,1517.31,NIL,344778.3513,20863.93,"N365,642",UNPAID,MTR9818011,Cross River
DISCO301474,Fatima Balogun,22694053967,IBDC (Ibadan),Residential (R2),prepaid,18 May 2024,1684.16,96.13,"₦161,898.30","₦49,461.51","₦211,359.81",Partially Paid,unknown,Oyo
DISCO953696,YUSUF OLAWALE,invalid,PHED (Port Harcourt),R2,Post paid,2024/09/16,1961.37,170.83 naira,335060.8371,"NGN 32,522",?,UNPAID,MTR9500739,Ogun
DISCO498649,Femi  Abubakar,,IBDC (Ibadan),R1,Prepaid,22/05/2025,2808.74,139.05,"NGN 390,555","N25,817","₦416,372.59",Partially Paid,MTR6913626,Kaduna
DISCO157393,Femi Bello,01137995635,PHED (Port Harcourt),Industrial (D3),Post paid,06-Jun-2024,Unknown,₦131.27,3082.2196000000004,"₦3,322.84",,UNPAID,MTR8006128,Akwa Ibom
DISCO955058,Kunle Okeke,234-268-768-118,IKEDC (Ikeja),Residential (R2),prepaid,28-Jan-2025,2993.61,N109,"₦324,926.43",n/a,324926.4294,Paid,MTR7291982,Ogun
DISCO557367,Kemi Adeyemi,234-849-830-220,EEDC (Enugu),R1,Postpaid,2025/01/25,1681.75,NGN 219,"N368,875",-,368875.04 naira,paid,MTR6704686,Lagos
DISCO419894,tobi ajayi,0000000000,KEDCO (Kano),R2,Postpaid,2024-10-10,2236.79,NGN 192,"NGN 429,083",51360.08,"N480,444",Arrears,MTR6938057,Anambra
DISCO751339,tobi afolabi,(314) 181-8615,KEDCO (Kano),C1 ,Prepaid,28.06.2024,781.14,82.61 naira,"NGN 64,530",,64529.975399999996,Partial,MTR2378217,Oyo State
DISCO266794,Grace Afolabi,(864) 168-6227,KEDCO (Kano),Industrial (D3),Post paid,2024-09-06,40.5,143.88 ,5827.139999999999,,"5,827.14 ",Paid,NIL,Cross River
DISCO410155,Adaeze Nnamdi,97740633569,EKEDC (Eko),C1 ,Pre-paid,16.12.2024,4299.77,105.76 ,454743.68 naira,52654.74 naira,507398.42 naira,UNPAID,NULL,LAGOS
DISCO170966,Ngozi Afolabi,0504 427 1739,AEDC (Abuja),C1 ,prepaid,21.02.2025,3261.57,N183,--,"NGN 69,240","₦664,672.38",paid ,MTR2170363,Fct Abuja
DISCO470653,TOBI OKAFOR   ,78519610646,KEDCO (Kano),R1,Post paid,01-Dec-2024,3433.91,NGN 92,"₦314,649.17","NGN 5,298",,paid ,MTR3258890,Kaduna
DISCO143826,  halima nnamdi,+234395041027,EKEDC (Eko),Industrial (D3),Post paid,30.05.2024,3775.75,NGN 166,628247.04 naira,"N7,505","₦635,751.77",Unpaid,NIL,Imo
DISCO957928,Wale Okafor,62095935186,AEDC (Abuja),Industrial (D3),Pre-paid,23.04.2025,1680.36,107.47 naira,180588.29 naira,19084.25 naira,199672.5392,Unpaid,MTR9409792,Kaduna
DISCO970795,Aliyu Okonkwo,234-405-147-705,EKEDC (Eko),Commercial (C1),POSTPAID,unknown date,1746.02,229.60 naira,400886.192,6949.52 naira,"N407,836",Paid,MTR8111802,Abuja
DISCO410160,zainab  chukwu,09759230450,KEDCO (Kano),Industrial (D3),POSTPAID,01/30/2025,2579.72,₦122.49,"NGN 315,990","₦78,179.48","₦394,169.38",Arrears,MTR9764329,Ogun
DISCO779586,Tobi Okonkwo,53907895677,EKEDC (Eko),R1,Postpaid,01/25/2025,778.28,217.38,"NGN 169,183",,"N169,183",Unpaid,MTR2352974,Edo
DISCO937204,Kunle Ogundimu,0014 556 1681,AEDC (Abuja),r1,POSTPAID,2024-08-08,-,₦213.93,599665.0437,77069.92 naira,,Unpaid,MTR7448481,oyo
DISCO708571,Aliyu Chukwu,08430894870,PHED (Port Harcourt),Commercial (C1),POSTPAID,N/A,2388.78,N116,"₦277,528.46",null,277528.46040000004,paid,MTR1750733,Akwa Ibom
DISCO925814,Amaka Ogundimu,01027079032,EEDC (Enugu),R1,Postpaid,20.01.2024,2727.52,NGN 133,361778.25 naira,"NGN 13,190","₦374,968.14",paid,MTR2175912,Edo
DISCO558905,Chioma Olawale,(101) 194-7072,PHED (Port Harcourt),Residential (R2),Postpaid,12/15/2024,4128.74,124.79 ,"₦515,225.46","NGN 10,441","NGN 525,667",Partial,MTR5819564,Cross River
DISCO788091,Chinedu Chukwu,234-495-528-938,AEDC (Abuja),commercial,Post paid,2024/08/30,null,NGN 73,"NGN 242,114",69544.29,,Arrears,MTR4560896,Enugu
DISCO422862,Femi Balogun,(612) 590-4729,IBDC (Ibadan),commercial,Prepaid,26/01/2024,3735.98,133.37,"498,267.65 ",,498267.65 naira,Arrears,MTR8796743,Imo
DISCO616256,Kemi Yusuf,234-380-701-765,KEDCO (Kano),Residential,prepaid,04/29/2025,--,NGN 107,"₦379,271.97",14466.73 naira,393738.70 naira,Partially Paid,MTR7546043,Enugu
DISCO776383,Emeka Lawal,33898881671,EEDC (Enugu),R1,prepaid,2024/01/09,1793.75,N97,"174,836.81 ",N/A,"₦174,836.81",Arrears,MTR3858105,Rivers State
DISCO246728,Fatima Nnamdi,38055257828,AEDC (Abuja),C1 ,Pre-paid,not set,1054.83,63.20 naira,"₦66,665.26",,,UNPAID,MTR5402331,Delta
DISCO881981,segun okeke,234-160-166-299,AEDC (Abuja),Commercial (C1),Postpaid,29-Mar-2024,NULL,₦155.26,"₦191,597.05",,-,paid ,MTR3161205,Kano
DISCO127168,Obinna Yusuf,11150835354,IKEDC (Ikeja),Residential,Postpaid,2024-04-11,1872.35,₦170.40,"319,048.44 ",73657.52,392705.96 naira,paid ,MTR3388446,Ibadan
DISCO759921,Ifeoma Adekunle,0644 726 4908,IKEDC (Ikeja),Residential (R2),Post paid,2024/03/09,3334.15,111.47 ,"₦371,657.70",,"N371,658",Partial,NULL,Plateau
DISCO341679,Amaka Eze,(580) 778-7956,EKEDC (Eko),Residential (R2),prepaid,06 August 2024,593.83,148.45 ,"₦88,154.06","N62,327","NGN 150,481",Arrears,MTR4775141,Plateau
DISCO319256,segun nwosu,07700284276,IBDC (Ibadan),Residential (R1),Post paid,23.03.2025,1164.6,₦112.87,131448.40 naira,--,"N131,448",Partial,MTR4730791,ABUJA
DISCO127007,  sadiq ajayi,N/A,IKEDC (Ikeja),Residential (R2),Post paid,06/16/2024,289.34,86.5,"N25,028",Unknown,N/A,Paid,MTR4984820,Lagos
DISCO950838,Obinna Nwosu,08519611594,EEDC (Enugu),R1,Prepaid,2024/10/10,1721.39,NGN 226,"388,689.86 ",,"NGN 388,690",Paid,MTR3368143,Anambra
DISCO626470,Wale Balogun   ,0698 042 0439,PHED (Port Harcourt),r1,Prepaid,11/11/2024,2398.95,152.31,"NGN 365,384",n/a,365384.0745,paid ,MTR7351799,Ogun
DISCO770870,Ifeoma Afolabi,0033 373 6346,PHED (Port Harcourt),Residential (R1),Pre-paid,20.05.2025,2793.48,183.05 ,"₦511,346.51",-,"NGN 511,347",Paid,MTR1343331,Kano
DISCO831550,NGOZI EZE,0284 567 9723,PHED (Port Harcourt),Residential,Prepaid,17-May-2024,2241.02,NGN 64,"N142,775","NGN 47,094","N189,869",Partially Paid,N/A,Kano
DISCO866113,Bisi Okafor,0432 806 3461,PHED (Port Harcourt),R1,prepaid,12/06/2024,1418.74,174.84 naira,"N248,053","N1,696","₦249,748.68",UNPAID,MTR7808038,Akwa Ibom
DISCO810783,Grace Lawal,234-810-220-317,IBDC (Ibadan),C1 ,POSTPAID,03-May-2024,4177.08,179.57 naira,"NGN 750,078",,"NGN 750,078",paid,MTR4267721,Oyo State
DISCO696467,TOBI NWOSU,87189813129,IKEDC (Ikeja),Residential (R2),Prepaid,06/05/2025,357.32,147.58 naira,"NGN 52,733",,52733.29 naira,Arrears,MTR3818423,Plateau
DISCO826139,Musa Okeke,0236 458 7506,KEDCO (Kano),R1,Post paid,2024/02/17,4156.94,N112,"NGN 466,533",,"NGN 466,533",Arrears,MTR9811573,Akwa Ibom
DISCO903729,Yusuf Lawal,0537 950 2097,AEDC (Abuja),Industrial (D3),POSTPAID,2024/07/17,1870.37,₦103.09,"N192,816",37048.00 naira,"NGN 229,864",Partially Paid,MTR6219393,Delta
DISCO220105,Grace Abubakar,28861957612,IBDC (Ibadan),Industrial (D3),Postpaid,22-May-2025,127.91,NIL,24174.989999999998,65912.12,"₦90,087.11",Paid,MTR1879381,Ogun
DISCO661339,Kemi Chukwu,0450 090 2559,KEDCO (Kano),commercial,Pre-paid,10-Dec-2024,827.47,100.89 naira,83483.45 naira,14652.92 naira,"NGN 98,136",UNPAID,MTR8581944,Abuja
DISCO267811,Ngozi Eze,+234149587020,AEDC (Abuja),commercial,Postpaid,15/05/2024,3784.11,177.91 naira,  ,,"N673,231",Arrears,NULL,Edo
DISCO808615,Halima Mohammed,234-102-574-326,IKEDC (Ikeja),R2,Pre-paid,00/00/0000,,74.17 naira,"N293,497",N/A,"293,497.37 ",Partial,MTR7608750,Rivers
DISCO566088,Zainab Adeyemi,(441) 448-8501,KEDCO (Kano),R2,POSTPAID,05-Feb-2025,795.31,127.36 ,"N101,291","N19,600",120890.9216,Partial,MTR3320915,Akwa Ibom
DISCO651967,Kunle Mohammed,(714) 628-3143,IBDC (Ibadan),Industrial (D3),prepaid,04/16/2024,632.77,109.39 ,"N69,219",unknown,unknown,Arrears,MTR7082101,Kaduna
DISCO983846,musa yusuf,234-442-944-401,AEDC (Abuja),r1,Post paid,2024-05-30,2211.76,NGN 167,"NGN 370,094",Unknown,370093.8008000001,Partial,MTR2431567,Imo
DISCO302399,Chinedu Eze,07697499564,EKEDC (Eko),Commercial (C1),prepaid,08.05.2025,21.45,-,"N4,418","NGN 27,099","31,516.72 ",UNPAID,MTR2945079,Enugu
DISCO149623,Bisi Mohammed,+234075536668,IBDC (Ibadan),Industrial (D3),Pre-paid,16-May-2024,1516.13,  ,"₦281,105.66",nil,,paid ,MTR8616105,Delta
DISCO273495,  tunde lawal,234-961-122-338,IBDC (Ibadan),Residential (R2),Pre-paid,2024-06-23,1183.72,₦188.45,"N223,072",14185.69 naira,"237,257.72 ",Partially Paid,MTR9688728,Ogun
DISCO229501,ALIYU BALOGUN,(056) 641-8775,KEDCO (Kano),R2,prepaid,01/10/2025,47.95,₦139.70,n/a,NULL,"₦6,698.61",UNPAID,MTR5176029,Port Harcourt
DISCO915915,Segun Balogun,31952569040,AEDC (Abuja),R1,POSTPAID,06/06/2025,1403.91,N97,135800.21430000002,n/a,135800.21 naira,Partially Paid,MTR1556646,lagos
DISCO349338,Femi Chukwu,234-765-326-909,KEDCO (Kano),Residential (R1),Post paid,04.06.2024,3942.4,NGN 120,474940.928,"NGN 53,215",--,Arrears,MTR1743420,Imo
DISCO729274,Ibrahim Okeke,65094801413,KEDCO (Kano),Residential,Post paid,2024-04-01,2261.76,NGN 91,"₦206,340.36",,n/a,Arrears,MTR8101503,Cross River
DISCO533923,Funmilayo Nnamdi,N/A,PHED (Port Harcourt),R2,prepaid,03/29/2024,1594.23,204.78,"N326,466",16099.71 naira,342566.12940000003,Partially Paid,MTR8628509,FCT
DISCO921352,yusuf chukwu   ,0064 256 9087,AEDC (Abuja),R1,Postpaid,16.06.2025,Unknown,97.95 ,417553.99350000004,"N46,293","NGN 463,847",Partially Paid,MTR1705368,Ogun
DISCO862438,Ibrahim Suleiman,234-868-528-975,EKEDC (Eko),r1,Pre-paid,26 April 2024,2657.13,N67,"₦176,805.43",,,UNPAID,MTR4701474,Enugu
DISCO781691,Sadiq Balogun   ,234-159-416-516,IBDC (Ibadan),R1,prepaid,07.02.2025,2392.58,225.89,"N540,460",60744.60 naira,"N601,204",UNPAID,MTR8771699,Anambra
DISCO496939,Halima Yusuf,234-312-241-797,AEDC (Abuja),Industrial (D3),POSTPAID,2024-05-21,3084.12,N77,"₦236,058.54","₦12,424.99","NGN 248,484",Partial,MTR5121459,Anambra
DISCO109699,sadiq okafor,0049 478 7300,AEDC (Abuja),R1,Pre-paid,08/11/2024,2762.73,NGN 201,556220.4309,,556220.4309,Unpaid,MTR9217504,Rivers
DISCO277898,Wale Olawale,75859883103,EEDC (Enugu),C1 ,prepaid,2025-01-12,3800.85,N216,"NGN 819,235",78380.45,897615.6589999999,Partially Paid,-,Delta
DISCO436231,Bola Lawal,234-149-828-246,KEDCO (Kano),C1 ,Pre-paid,03 December 2024,4178.9,N204,851367.30 naira,"₦34,863.23",886230.5269999999,Partially Paid,N/A,Edo
DISCO761963,Wale Okafor,04958803955,PHED (Port Harcourt),R2,Prepaid,02 February 2024,3894.84,₦77.77,302901.7068,,302901.7068,Partial,?,Plateau
DISCO535453,Sadiq Nwosu   ,+234333395211,IBDC (Ibadan),R2,Prepaid,,3389.19,NGN 188,"₦636,523.77",NIL,"636,523.77 ",Paid,MTR2600862,Ogun
DISCO291252,Fatima Ajayi,0140 369 6566,IBDC (Ibadan),commercial,prepaid,30-Jan-2025,Unknown,N79,"115,250.13 ",,"₦115,250.13",Unpaid,unknown,Kaduna
DISCO295346,Chioma Okeke,(153) 779-5995,IKEDC (Ikeja),R1,Post paid,26-Apr-2024,4303.35,99.38,"₦427,666.92",unknown,427666.92 naira,Partial,MTR1135474,Ogun
DISCO566036,Wale Mohammed,234-624-058-008,IBDC (Ibadan),Residential (R1),Postpaid,2025-02-22,706.14,147.88,"104,423.98 ",,"N104,424",Paid,MTR9340414,Akwa Ibom
DISCO741158,Emeka Adeyemi,71215134228,AEDC (Abuja),R1,prepaid,2025-02-10,688.26,NGN 88,"₦60,243.40",,nil,UNPAID,MTR1658042,kano
DISCO514815,Obinna Afolabi,234-337-504-793,KEDCO (Kano),R1,Postpaid,05/14/2024,29.54,₦210.17,6208.42 naira,"NGN 67,978","₦74,186.79",UNPAID,MTR5247904,Lagos
DISCO169356,Grace Adekunle,0675 661 8443,EEDC (Enugu),Residential (R2),Post paid,06/03/2024,197.14,NGN 60,"NGN 11,860","32,098.38 ",43958.32 naira,Arrears,MTR4275627,FCT
DISCO659718,Chinedu Nnamdi,08556659398,IKEDC (Ikeja),Commercial (C1),Post paid,23 June 2024,nil,N97,187322.8152,,187322.8152,Paid,MTR6829790,Kano
DISCO802192,Grace Olawale,+234815118567,KEDCO (Kano),commercial,Prepaid,30.07.2024,2677.37,₦199.46,534028.22 naira,,"N534,028",paid ,MTR4553726,Cross River
DISCO793816,ngozi adeyemi,+234974121820,AEDC (Abuja),Residential (R2),Post paid,2024-09-01,--,NGN 227,"NGN 112,520",unknown,,Paid,MTR8856113,Abuja
DISCO543089,Chidi Nnamdi,,AEDC (Abuja),Residential (R1),POSTPAID,15/06/2024,3676.19,179.53,"NGN 659,986",,659986.3907,paid,MTR1687095,Akwa Ibom
DISCO993902,Chioma Chukwu,invalid,AEDC (Abuja),Commercial (C1),Prepaid,2025/05/24,2577.78,₦217.99,N/A,"N1,716",563646.60 naira,Partially Paid,MTR7426092,Akwa Ibom
DISCO491665,Grace Adeyemi,0465 217 0730,IBDC (Ibadan),R2,Post paid,25.03.2025,2936.58,174.99 naira,"NGN 513,872",,"NGN 513,872",Partial,MTR4462747,Anambra
DISCO609563,Chioma Okeke,06334141115,EKEDC (Eko),Residential (R1),Post paid,12 April 2025,101.39,203.43,"₦20,625.77",53046.93 naira,"73,672.70 ",paid,MTR3921984,Akwa Ibom
DISCO895597,Sadiq Suleiman,48995299787,AEDC (Abuja),Industrial (D3),prepaid,09/07/2024,N/A,₦98.64,"₦338,083.67",,"N338,084",Partial,MTR2410278,Ogun
DISCO380505,Ifeoma Bello,234-416-335-658,EEDC (Enugu),Industrial (D3),Post paid,08 March 2024,4418.63,125.75 naira,"₦555,642.72",-,555642.72 naira,Partial,MTR3671838,Delta
DISCO125630,kemi okafor   ,0000000000,EKEDC (Eko),commercial,Postpaid,2025-04-21,2637.47,NGN 220,579056.5385,  ,579056.54 naira,Partial,MTR6757060,Enugu
DISCO197330,Sadiq Adeyemi,34327560417,EEDC (Enugu),R2,Prepaid,19.03.2024,897.39,N142,"127,483.22 ",--,127483.22 naira,Paid,MTR6794346,Ibadan
DISCO470757,Funmilayo Okeke,39155963632,EKEDC (Eko),R1,POSTPAID,2024-06-17,416.69,151.54 ,"N63,145",--,,Unpaid,MTR2910141,Oyo
DISCO594626,Fatima Nnamdi,05587716947,PHED (Port Harcourt),Commercial (C1),Postpaid,08 January 2024,3423.44,₦140.03,"₦479,384.30",null,"479,384.30 ",paid,MTR7004831,Ogun
DISCO936959,Wale Balogun,234-033-521-103,EKEDC (Eko),Residential (R2),POSTPAID,2024-02-11,4296.43,NGN 100,431447.5006,unknown,unknown,Partially Paid,MTR2806126,kano
DISCO450421,Aliyu Ogundimu,+234723804682,IKEDC (Ikeja),commercial,prepaid,2024/12/31,1220.86,106.4,"NGN 129,900",,  ,Paid,MTR4541937,Kaduna
DISCO395039,grace  yusuf,04849102562,IBDC (Ibadan),C1 ,Postpaid,25-Oct-2024,3326.17,173.54 naira,577223.5418,"N65,216",,paid,MTR7971003,Plateau
DISCO660544,Blessing Yusuf   ,0487 282 9979,EKEDC (Eko),Commercial (C1),prepaid,01-Dec-2024,nil,NGN 208,"N233,716",,"N233,716",Partial,MTR4041426,Akwa Ibom
DISCO112831,Adaeze Okonkwo,+234118489554,KEDCO (Kano),Residential,prepaid,2024/07/19,3252.26,-,null,56538.3,447297.33900000004,Paid,MTR7773227,Lagos
DISCO512908,Wale Bello,234-753-998-935,EEDC (Enugu),C1 ,Pre-paid,2025-06-21,2724.62,70.23 naira,191350.06 naira,,"N191,350",Arrears,MTR8747549,Enugu
DISCO525323,Kemi Nwosu,0717 911 0065,EKEDC (Eko),Commercial (C1),Prepaid,02/05/2024,32.98,198.44,6544.55 naira,n/a,6544.551199999999,Partially Paid,MTR4757673,Imo
DISCO827622,Zainab Abubakar,06524077848,AEDC (Abuja),Residential (R2),Prepaid,23-Jun-2025,4105.3,72.97,?,,"NGN 299,564",Partial,MTR9746235,Kano
DISCO995521,Tobi Mohammed,66377805292,IKEDC (Ikeja),R1,prepaid,04/05/2025,2852.86,₦87.15,"₦248,626.75","₦45,429.76","₦294,056.51",Paid,MTR5903912,FCT
DISCO425912,Yusuf Nwosu,(345) 911-2382,KEDCO (Kano),Industrial (D3),Pre-paid,08/07/2024,4025.86,N222,"N894,103",NULL,"₦894,103.25",paid,MTR7898699,Kaduna
DISCO418529,Aliyu Suleiman,+234319508501,PHED (Port Harcourt),Residential (R2),Prepaid,26/05/2024,3602.18,₦76.91,"₦277,043.66","₦75,841.12",352884.7838,Unpaid,-,Imo
DISCO913674,Emeka Okafor,(771) 812-9826,EKEDC (Eko),C1 ,POSTPAID,2024-08-10,3481.07,99.05,344799.98 naira,"₦25,116.10",369916.0835,Partially Paid,MTR2805415,Edo
DISCO479273,Ngozi Yusuf,18435797863,IKEDC (Ikeja),C1 ,Postpaid,2024/07/24,2526.85,₦76.33,192874.4605,,192874.4605,Paid,MTR8732036,Edo
DISCO359305,Blessing Olawale,07912868578,AEDC (Abuja),R1,prepaid,07 May 2024,3115.82,nil,"₦251,446.67","₦63,943.19",,Partial,MTR3305088,Kaduna
DISCO223911,Yusuf Abubakar,0492 683 1589,KEDCO (Kano),C1 ,POSTPAID,2025-02-07,2045.37,N226,462499.06 naira,,"NGN 462,499",paid ,MTR4279429,Imo
DISCO162911,Fatima Mohammed,09377100409,EEDC (Enugu),Residential,Post paid,14-Feb-2024,863.83,NGN 186,"NGN 160,983",1141.18 naira,"N162,125",UNPAID,MTR8759816,kano
DISCO661339,Kemi Chukwu,0450 090 2559,KEDCO (Kano),commercial,Pre-paid,10-Dec-2024,827.47,100.89 naira,83483.45 naira,14652.92 naira,"NGN 98,136",UNPAID,MTR8581944,Abuja
DISCO341679,Amaka Eze,(580) 778-7956,EKEDC (Eko),Residential (R2),prepaid,06 August 2024,593.83,148.45 ,"₦88,154.06","N62,327","NGN 150,481",Arrears,MTR4775141,Plateau
DISCO881421,Adaeze Balogun,+234910371705,AEDC (Abuja),Residential (R1),Prepaid,02/08/2024,2648.61,N69,183972.45059999998,,183972.45059999998,paid,MTR4702011,Anambra
DISCO405891,KUNLE CHUKWU,(187) 734-7784,EEDC (Enugu),Industrial (D3),POSTPAID,27.03.2025,1293.28,116.11,150162.7408,,150162.74 naira,Arrears,MTR1080505,Kaduna
DISCO146981,Ifeoma  Chukwu   ,234-232-971-674,IKEDC (Ikeja),R1,Postpaid,2024-10-29,725.16,142.09 ,"NGN 103,038",Unknown,"103,037.98 ",UNPAID,MTR7551149,Delta
DISCO825396,Wale Eze,(308) 069-5814,EEDC (Enugu),Industrial (D3),prepaid,2024-03-18,3587.18,N126,"NGN 452,846","43,289.23 ",,Partial,n/a,Plateau
DISCO903070,ZAINAB OGUNDIMU,07656124815,KEDCO (Kano),R2,Prepaid,20/05/2024,1799.51,₦160.80,"₦289,361.21",,289361.21 naira,paid ,MTR5918284,Plateau
DISCO974038,Bola Balogun,234-405-682-996,AEDC (Abuja),Residential,Prepaid,2025-02-12,3448.92,142.83 naira,"₦492,609.24",,492609.24 naira,Paid,MTR5708762,Plateau
DISCO207257,Sadiq Okonkwo,(632) 543-1074,EKEDC (Eko),r1,Prepaid,25-Sep-2024,Unknown,145.76 ,"433,437.77 ",n/a,"N433,438",UNPAID,MTR9152287,Lagos
DISCO628947,sadiq chukwu,24124620952,EKEDC (Eko),r1,prepaid,04/10/2024,Unknown,₦204.09,856045.30 naira,,"NGN 856,045",UNPAID,MTR5392305,Delta
DISCO889253,Bisi Ogundimu,+234398554743,IBDC (Ibadan),R1,Postpaid,11 April 2024,1351.25,221.70 naira,"₦299,572.12",NIL,299572.12 naira,paid ,MTR5665644,Akwa Ibom
DISCO960668,Bola Eze,234-230-085-766,KEDCO (Kano),commercial,prepaid,04-Sep-2024,870.83,₦154.17,"NGN 134,256",--,"₦134,255.86",paid,MTR7913356,Imo
DISCO131361,Ibrahim Nwosu,(392) 906-0078,PHED (Port Harcourt),C1 ,Postpaid,29-Jan-2024,1134.31,93.46,"₦106,012.61",,"N106,013",Partial,MTR5554508,Enugu
DISCO827622,Zainab Abubakar,06524077848,AEDC (Abuja),Residential (R2),Prepaid,23-Jun-2025,4105.3,72.97,?,,"NGN 299,564",Partial,MTR9746235,Kano
DISCO165073,Kunle Ajayi,234-615-347-355,AEDC (Abuja),Residential (R1),Post paid,27-Jan-2025,nil,NGN 98,"N331,806","22,095.59 ",,paid ,MTR6997357,Kano
DISCO555398,Tobi Nwosu,(043) 416-5182,KEDCO (Kano),Residential,Postpaid,07.02.2025,3503.0,221.07,"₦774,408.21",NIL,"NGN 774,408",Partially Paid,MTR5996426,Delta
DISCO389947,adaeze lawal,18362644886,PHED (Port Harcourt),Commercial (C1),Prepaid,2024-04-03,1737.01,₦111.53,null,nil,"N193,729",paid,MTR4088624,Akwa Ibom
DISCO476482,Segun Olawale,70231643348,PHED (Port Harcourt),R1,prepaid,20.12.2024,nil,152.81,"N138,070",4413.59 naira,142483.5374,Partially Paid,MTR3272041,Cross River
DISCO321505,Obinna Suleiman,84576521328,PHED (Port Harcourt),Commercial (C1),Pre-paid,2024/08/13,4080.51,N112,"N458,894","NGN 3,891",462785.24 naira,UNPAID,MTR4940163,Delta
DISCO956416,Bola Yusuf,(669) 078-2633,KEDCO (Kano),Residential,Postpaid,24/05/2025,3376.44,220.9,"NGN 745,856",,"N745,856",Paid,MTR1448808,Imo
DISCO875626,Chinedu Ajayi,04618723460,IKEDC (Ikeja),C1 ,Prepaid,24.08.2024,2023.95,NGN 128,"₦259,328.71",NULL,259328.71 naira,Paid,MTR5812955,Delta
DISCO600895,Amaka Olawale,+234242437540,EKEDC (Eko),Residential (R2),POSTPAID,13/04/2024,1992.63,60.84 ,"N121,232","₦29,107.00",150338.6092,Arrears,MTR6071075,Akwa Ibom
DISCO485976,funmilayo suleiman,234-993-908-926,EEDC (Enugu),Industrial (D3),POSTPAID,05.05.2025,2326.93,unknown,187690.17 naira,"NGN 37,199","₦224,888.91",Partial,MTR7715027,Cross River
DISCO400199,Ifeoma Okonkwo,234-583-230-241,EEDC (Enugu),r1,prepaid,02/25/2025,n/a,71.19,"NGN 18,394",--,"N18,394",Partially Paid,MTR5193608,Lagos
DISCO576084,Funmilayo Yusuf,234-275-480-157,AEDC (Abuja),commercial,Pre-paid,05.07.2024,1064.62,136.08 naira,"₦144,873.49",n/a,"N144,873",Paid,MTR2327921,Rivers
DISCO135843,Bola Ajayi,234-618-306-719,KEDCO (Kano),Residential,POSTPAID,07 May 2025,4280.28,N85,361854.87 naira,6012.86 naira,367867.73 naira,paid ,MTR4405484,Plateau
DISCO819146,Grace Yusuf,234-975-817-246,EEDC (Enugu),Residential (R2),Post paid,30.03.2024,1249.93,178.99 naira,"NGN 223,725",?,223724.97070000003,Unpaid,MTR7009438,Enugu
DISCO426155,Ngozi Yusuf,02064474212,IBDC (Ibadan),C1 ,Prepaid,23.11.2024,3185.93,212.02 ,"N675,481",,,paid,MTR6340289,Ogun
DISCO922741,Kunle Okeke,0000000000,IBDC (Ibadan),Residential (R1),Postpaid,2025-01-31,3087.39,95.37,"N294,444",,"₦294,444.38",Partial,MTR2675054,Anambra
DISCO442146,aliyu  okafor,0354 946 5190,EEDC (Enugu),R1,Post paid,20-Dec-2024,1808.11,₦227.68,"₦411,670.48",,"NGN 411,670",UNPAID,MTR2056402,Plateau
DISCO809175,Amaka Nwosu,00910939111,EEDC (Enugu),R2,Postpaid,N/A,1409.53,N220,309814.69 naira,,"NGN 309,815",paid ,MTR5429641,Kaduna
DISCO688842,Emeka Chukwu,0364 622 5179,IBDC (Ibadan),Commercial (C1),POSTPAID,10/30/2024,909.85,NGN 186,"NGN 169,068","NGN 15,864","184,932.26 ",paid ,MTR8931634,Delta
DISCO245431,Amara Okeke,234-728-463-920,EKEDC (Eko),Industrial (D3),POSTPAID,2025-04-16,938.91,N198,  ,--,"N185,707",Unpaid,MTR7878625,Edo
DISCO499647,tunde olawale,(492) 515-8377,IBDC (Ibadan),Residential,Postpaid,2025-04-25,24.34,NULL,"N3,586","NGN 11,731","NGN 15,317",Partial,MTR8306137,Edo
DISCO600107,Blessing Adekunle,97794523219,KEDCO (Kano),Residential (R2),Post paid,05/08/2024,1730.29,₦55.12,"₦95,373.58","NGN 64,190","NGN 159,564",Arrears,MTR6251431,Anambra
DISCO694919,Segun Olawale,07932302346,PHED (Port Harcourt),Commercial (C1),Prepaid,05/09/2024,521.41,N160,NIL,"NGN 35,328","N118,801",Unpaid,null,Akwa Ibom
DISCO785603,Amara Yusuf,+234116241124,EEDC (Enugu),Residential (R1),POSTPAID,15/08/2024,2011.43,₦221.19,"₦444,908.20",,"₦444,908.20",Paid,MTR5664602,Rivers
DISCO266794,Grace Afolabi,(864) 168-6227,KEDCO (Kano),Industrial (D3),Post paid,2024-09-06,40.5,143.88 ,5827.139999999999,,"5,827.14 ",Paid,NIL,Cross River
DISCO651107,Blessing Mohammed,11284971859,AEDC (Abuja),r1,Pre-paid,05/25/2025,936.13,N210,"₦196,493.69","₦42,176.81","₦238,670.50",Unpaid,NULL,Kano
